,Flavonifractor plautii,Faecalibacterium prausnitzii_C,Faecalibacterium prausnitzii,Faecalibacterium sp900539885,Faecalibacterium prausnitzii_G,Faecalibacterium prausnitzii_J,Faecalibacterium prausnitzii_A,Faecalibacterium sp900758465,Faecalibacterium prausnitzii_H,Faecalibacterium prausnitzii_E,Faecalibacterium prausnitzii_F,Gemmiger formicilis,Gemmiger sp900540775,Anaerotruncus colihominis,Ruminococcus_E bromii_B,Ruminococcus_E bromii,Blautia_A obeum,Blautia_A wexlerae,Blautia_A wexlerae_B,Agathobacter sp900317585,Mediterraneibacter faecis,Mediterraneibacter torques,Mediterraneibacter lactaris,Enterocloster bolteae,Enterocloster citroniae,Enterocloster asparagiformis,Enterocloster clostridioformis,Coprococcus eutactus,Dorea_A longicatena_B,Dorea_A longicatena,Lachnospira eligens_A,Roseburia inulinivorans,Roseburia intestinalis,Anaerostipes hadrus,Eubacterium_G ventriosum,Bariatricus comes,Bariatricus comes_A,Anaerobutyricum hallii,Anaerobutyricum soehngenii,Dorea formicigenerans,Coprococcus_A catus,Eubacterium_I ramulus,Clostridium_Q symbiosum,Bacteroides_F pectinophilus,Ruminococcus_B gnavus,Hungatella effluvii,Bacteroides uniformis,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides timonensis,Bacteroides stercoris,Bacteroides sp900552405,Bacteroides intestinalis_A,Bacteroides xylanisolvens,Bacteroides eggerthii,Bacteroides fragilis,Bacteroides fluxus,Bacteroides finegoldii,Bacteroides intestinalis,Bacteroides faecis,Bacteroides nordii,Bacteroides salyersiae,Bacteroides sp902362375,Bacteroides oleiciplenus,Bacteroides fragilis_A,Bacteroides clarus,Phocaeicola dorei,Phocaeicola vulgatus,Phocaeicola plebeius,Phocaeicola massiliensis,Phocaeicola coprocola,Phocaeicola coprophilus,Prevotella sp900313215,Prevotella sp900551275,Prevotella copri_A,Prevotella stercorea,Prevotella sp015074785,Prevotella copri,Paraprevotella clara,Paraprevotella xylaniphila,Alistipes onderdonkii,Alistipes finegoldii,Alistipes shahii,Alistipes putredinis,Alistipes_A indistinctus,Parabacteroides distasonis,Parabacteroides goldsteinii,Parabacteroides distasonis_A,Parabacteroides gordonii,Parabacteroides merdae,Parabacteroides johnsonii,Parabacteroides timonensis,Butyricimonas virosa,Odoribacter splanchnicus,Barnesiella intestinihominis,Parasutterella excrementihominis,Escherichia coli,Escherichia fergusonii,Escherichia ruysiae,Escherichia sp005843885,Escherichia coli_E,Escherichia albertii,Hafnia alvei,Klebsiella pneumoniae,Akkermansia muciniphila,Akkermansia muciniphila_B,Erysipelatoclostridium ramosum,Catenibacterium sp000437715,Catenibacterium mitsuokai,Holdemania filiformis,Holdemanella biformis,Streptococcus salivarius,Streptococcus sp001556435,Streptococcus thermophilus,Adlercreutzia celatus_A,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Bifidobacterium catenulatum,Bifidobacterium ruminantium,Bifidobacterium bifidum,Desulfovibrio sp900556755,Bilophila wadsworthia,Dialister invisus,Veillonella parvula_A,Phascolarctobacterium_A succinatutens,Acidaminococcus fermentans,Mitsuokella multacida,Ligilactobacillus ruminis,Sutterella wadsworthensis,Acidaminococcus intestini,Phascolarctobacterium_A succinatutens_A,Megasphaera elsdenii
Flavonifractor plautii,0.0,0.5333036257324028,0.5333036257324028,0.5333036257324028,0.5333036257324028,0.5333036257324028,0.5333036257324028,0.5333036257324028,0.5333036257324028,0.5333036257324028,0.5333036257324028,0.6384767736272028,0.6384767736272028,0.6611341339648173,0.8176081706979138,0.8176081706979138,0.560668236610786,0.5351386120327855,0.5351386120327855,0.6492668299996343,0.6727731217088185,0.6727731217088185,0.6877814241013509,0.6957660727929851,0.5798314433319938,0.680342423400067,0.569095469793587,0.6970177146470926,0.7043263149017513,0.7043263149017513,0.5845788607094081,0.6272801371595604,0.634859719576212,0.6136217926857548,0.6746033517059782,0.6701998565270151,0.6701998565270151,0.6848492607916336,0.5567481190492043,0.5534434196051884,0.44067004013261213,0.5761971388595415,0.554513180331535,0.7085256543878979,0.6605225670783974,0.5105515071965239,0.7757736469465143,0.8073671931580082,0.7848223902489189,0.7232278545135253,0.778729610568138,0.7848223902489189,0.7871062286850314,0.7938867555526257,0.7869599902496316,0.7801099725068733,0.7344395674981266,0.7961397851367553,0.7871062286850314,0.7264494102686013,0.7201777030677793,0.7510671807961766,0.7938867555526257,0.7216198505481919,0.7801099725068733,0.7513111705461992,0.7809816520272299,0.7784873207019851,0.8032891888525796,0.7419710048694113,0.7911664752200644,0.8008959534151566,0.7932942708333334,0.7932942708333334,0.7932942708333334,0.810337852251245,0.7932942708333334,0.7932942708333334,0.7585993367034041,0.7563225230586135,0.7344770669096888,0.7290102127985107,0.7503241364191537,0.8263374724803638,0.7017071029573756,0.7557616570819816,0.6750039909983676,0.7557616570819816,0.6825053091882958,0.7727851286149838,0.7656519727579808,0.6750039909983676,0.6727747525028118,0.7848773468548719,0.769145879939784,0.7099388810531264,0.7849034373558418,0.7328923460684619,0.7849034373558418,0.7849034373558418,0.7849034373558418,0.7497007769879319,0.7046363850317722,0.7619754459982705,0.7993226232952384,0.7993226232952384,0.7026832182140258,0.686613834403127,0.686613834403127,0.7915659720638973,0.7689074968913793,0.6731703665816279,0.6731703665816279,0.7550565423370833,0.6977697347715373,0.7220267931398773,0.787475100523537,0.6848773553141874,0.6854423029243276,0.7421499837891736,0.767305145731063,0.7466293244286458,0.7589780769894701,0.7230694668820679,0.6921425533957941,0.7090182259862121,0.7493244958948884,0.7548529520307583,0.7696686846171382,0.7553957314955793,0.6921425533957941,0.6678261414559243
Faecalibacterium prausnitzii_C,0.5333036257324028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579379592602268,0.579379592602268,0.6381677158701825,0.7719437121431652,0.7719437121431652,0.46697364332325775,0.4993777536612267,0.4993777536612267,0.5171432876299533,0.5804307049409977,0.5804307049409977,0.6437734986281882,0.6227219139086178,0.5573960041947887,0.6024413451866351,0.5561244236064269,0.6217148467039018,0.6390091264667536,0.6390091264667536,0.520085837425839,0.5734278444202108,0.5718920437853648,0.61617100936613,0.6360319116706501,0.6099244310487921,0.6099244310487921,0.6193916301996881,0.531629385190507,0.5376430535841021,0.5080669435915959,0.5604341898809064,0.5267232806243849,0.6445563204219322,0.6279839643854908,0.5080567786369601,0.7035518917518704,0.7225425838644126,0.6893198260338455,0.6722945301394547,0.7093172123266204,0.6893198260338455,0.6957821564835625,0.7134366611645212,0.7044221688696772,0.6927785352551616,0.6876037714964227,0.7367949172053485,0.6957821564835625,0.7113273374907294,0.7093155997786629,0.7059757145982022,0.7134366611645212,0.6800600903413008,0.6927785352551616,0.6754267326981573,0.7155279696347459,0.7062890133478079,0.7347898802432054,0.7083247824659333,0.7286884513086431,0.7379851252348502,0.7221236852550109,0.7221236852550109,0.7221236852550109,0.8107246450887438,0.7221236852550109,0.7221236852550109,0.7327917820591644,0.73402146119478,0.7053212181031729,0.7138152411934088,0.7390817153925853,0.8018429022488562,0.6712580586697046,0.6871070424498711,0.6081914972456214,0.6871070424498711,0.6257951883334245,0.6783398811712567,0.6805774761079427,0.6081914972456214,0.6678951263775815,0.7532048418208863,0.7275105008256586,0.6912060672905272,0.7420927012352877,0.7124711316397229,0.7420927012352877,0.7420927012352877,0.7420927012352877,0.7061404213605027,0.6849975038315312,0.7280790266051944,0.7321439724728447,0.7321439724728447,0.6238325593395253,0.665629400078438,0.665629400078438,0.7715979105277257,0.7663330809269454,0.6517395679935409,0.6517395679935409,0.7417703473302228,0.6895266989520987,0.6526403081697074,0.7603765877826385,0.6302181555726293,0.6107858451925561,0.6599362689984213,0.693978813532809,0.7040078916450533,0.7435266167301644,0.6668848324726793,0.6469034064102162,0.6957974137931034,0.675869239472799,0.6996612604578867,0.7325428424060133,0.7250099802813834,0.6469034064102162,0.645198360290208
Faecalibacterium prausnitzii,0.5333036257324028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579379592602268,0.579379592602268,0.6381677158701825,0.7719437121431652,0.7719437121431652,0.46697364332325775,0.4993777536612267,0.4993777536612267,0.5171432876299533,0.5804307049409977,0.5804307049409977,0.6437734986281882,0.6227219139086178,0.5573960041947887,0.6024413451866351,0.5561244236064269,0.6217148467039018,0.6390091264667536,0.6390091264667536,0.520085837425839,0.5734278444202108,0.5718920437853648,0.61617100936613,0.6360319116706501,0.6099244310487921,0.6099244310487921,0.6193916301996881,0.531629385190507,0.5376430535841021,0.5080669435915959,0.5604341898809064,0.5267232806243849,0.6445563204219322,0.6279839643854908,0.5080567786369601,0.7035518917518704,0.7225425838644126,0.6893198260338455,0.6722945301394547,0.7093172123266204,0.6893198260338455,0.6957821564835625,0.7134366611645212,0.7044221688696772,0.6927785352551616,0.6876037714964227,0.7367949172053485,0.6957821564835625,0.7113273374907294,0.7093155997786629,0.7059757145982022,0.7134366611645212,0.6800600903413008,0.6927785352551616,0.6754267326981573,0.7155279696347459,0.7062890133478079,0.7347898802432054,0.7083247824659333,0.7286884513086431,0.7379851252348502,0.7221236852550109,0.7221236852550109,0.7221236852550109,0.8107246450887438,0.7221236852550109,0.7221236852550109,0.7327917820591644,0.73402146119478,0.7053212181031729,0.7138152411934088,0.7390817153925853,0.8018429022488562,0.6712580586697046,0.6871070424498711,0.6081914972456214,0.6871070424498711,0.6257951883334245,0.6783398811712567,0.6805774761079427,0.6081914972456214,0.6678951263775815,0.7532048418208863,0.7275105008256586,0.6912060672905272,0.7420927012352877,0.7124711316397229,0.7420927012352877,0.7420927012352877,0.7420927012352877,0.7061404213605027,0.6849975038315312,0.7280790266051944,0.7321439724728447,0.7321439724728447,0.6238325593395253,0.665629400078438,0.665629400078438,0.7715979105277257,0.7663330809269454,0.6517395679935409,0.6517395679935409,0.7417703473302228,0.6895266989520987,0.6526403081697074,0.7603765877826385,0.6302181555726293,0.6107858451925561,0.6599362689984213,0.693978813532809,0.7040078916450533,0.7435266167301644,0.6668848324726793,0.6469034064102162,0.6957974137931034,0.675869239472799,0.6996612604578867,0.7325428424060133,0.7250099802813834,0.6469034064102162,0.645198360290208
Faecalibacterium sp900539885,0.5333036257324028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579379592602268,0.579379592602268,0.6381677158701825,0.7719437121431652,0.7719437121431652,0.46697364332325775,0.4993777536612267,0.4993777536612267,0.5171432876299533,0.5804307049409977,0.5804307049409977,0.6437734986281882,0.6227219139086178,0.5573960041947887,0.6024413451866351,0.5561244236064269,0.6217148467039018,0.6390091264667536,0.6390091264667536,0.520085837425839,0.5734278444202108,0.5718920437853648,0.61617100936613,0.6360319116706501,0.6099244310487921,0.6099244310487921,0.6193916301996881,0.531629385190507,0.5376430535841021,0.5080669435915959,0.5604341898809064,0.5267232806243849,0.6445563204219322,0.6279839643854908,0.5080567786369601,0.7035518917518704,0.7225425838644126,0.6893198260338455,0.6722945301394547,0.7093172123266204,0.6893198260338455,0.6957821564835625,0.7134366611645212,0.7044221688696772,0.6927785352551616,0.6876037714964227,0.7367949172053485,0.6957821564835625,0.7113273374907294,0.7093155997786629,0.7059757145982022,0.7134366611645212,0.6800600903413008,0.6927785352551616,0.6754267326981573,0.7155279696347459,0.7062890133478079,0.7347898802432054,0.7083247824659333,0.7286884513086431,0.7379851252348502,0.7221236852550109,0.7221236852550109,0.7221236852550109,0.8107246450887438,0.7221236852550109,0.7221236852550109,0.7327917820591644,0.73402146119478,0.7053212181031729,0.7138152411934088,0.7390817153925853,0.8018429022488562,0.6712580586697046,0.6871070424498711,0.6081914972456214,0.6871070424498711,0.6257951883334245,0.6783398811712567,0.6805774761079427,0.6081914972456214,0.6678951263775815,0.7532048418208863,0.7275105008256586,0.6912060672905272,0.7420927012352877,0.7124711316397229,0.7420927012352877,0.7420927012352877,0.7420927012352877,0.7061404213605027,0.6849975038315312,0.7280790266051944,0.7321439724728447,0.7321439724728447,0.6238325593395253,0.665629400078438,0.665629400078438,0.7715979105277257,0.7663330809269454,0.6517395679935409,0.6517395679935409,0.7417703473302228,0.6895266989520987,0.6526403081697074,0.7603765877826385,0.6302181555726293,0.6107858451925561,0.6599362689984213,0.693978813532809,0.7040078916450533,0.7435266167301644,0.6668848324726793,0.6469034064102162,0.6957974137931034,0.675869239472799,0.6996612604578867,0.7325428424060133,0.7250099802813834,0.6469034064102162,0.645198360290208
Faecalibacterium prausnitzii_G,0.5333036257324028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579379592602268,0.579379592602268,0.6381677158701825,0.7719437121431652,0.7719437121431652,0.46697364332325775,0.4993777536612267,0.4993777536612267,0.5171432876299533,0.5804307049409977,0.5804307049409977,0.6437734986281882,0.6227219139086178,0.5573960041947887,0.6024413451866351,0.5561244236064269,0.6217148467039018,0.6390091264667536,0.6390091264667536,0.520085837425839,0.5734278444202108,0.5718920437853648,0.61617100936613,0.6360319116706501,0.6099244310487921,0.6099244310487921,0.6193916301996881,0.531629385190507,0.5376430535841021,0.5080669435915959,0.5604341898809064,0.5267232806243849,0.6445563204219322,0.6279839643854908,0.5080567786369601,0.7035518917518704,0.7225425838644126,0.6893198260338455,0.6722945301394547,0.7093172123266204,0.6893198260338455,0.6957821564835625,0.7134366611645212,0.7044221688696772,0.6927785352551616,0.6876037714964227,0.7367949172053485,0.6957821564835625,0.7113273374907294,0.7093155997786629,0.7059757145982022,0.7134366611645212,0.6800600903413008,0.6927785352551616,0.6754267326981573,0.7155279696347459,0.7062890133478079,0.7347898802432054,0.7083247824659333,0.7286884513086431,0.7379851252348502,0.7221236852550109,0.7221236852550109,0.7221236852550109,0.8107246450887438,0.7221236852550109,0.7221236852550109,0.7327917820591644,0.73402146119478,0.7053212181031729,0.7138152411934088,0.7390817153925853,0.8018429022488562,0.6712580586697046,0.6871070424498711,0.6081914972456214,0.6871070424498711,0.6257951883334245,0.6783398811712567,0.6805774761079427,0.6081914972456214,0.6678951263775815,0.7532048418208863,0.7275105008256586,0.6912060672905272,0.7420927012352877,0.7124711316397229,0.7420927012352877,0.7420927012352877,0.7420927012352877,0.7061404213605027,0.6849975038315312,0.7280790266051944,0.7321439724728447,0.7321439724728447,0.6238325593395253,0.665629400078438,0.665629400078438,0.7715979105277257,0.7663330809269454,0.6517395679935409,0.6517395679935409,0.7417703473302228,0.6895266989520987,0.6526403081697074,0.7603765877826385,0.6302181555726293,0.6107858451925561,0.6599362689984213,0.693978813532809,0.7040078916450533,0.7435266167301644,0.6668848324726793,0.6469034064102162,0.6957974137931034,0.675869239472799,0.6996612604578867,0.7325428424060133,0.7250099802813834,0.6469034064102162,0.645198360290208
Faecalibacterium prausnitzii_J,0.5333036257324028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579379592602268,0.579379592602268,0.6381677158701825,0.7719437121431652,0.7719437121431652,0.46697364332325775,0.4993777536612267,0.4993777536612267,0.5171432876299533,0.5804307049409977,0.5804307049409977,0.6437734986281882,0.6227219139086178,0.5573960041947887,0.6024413451866351,0.5561244236064269,0.6217148467039018,0.6390091264667536,0.6390091264667536,0.520085837425839,0.5734278444202108,0.5718920437853648,0.61617100936613,0.6360319116706501,0.6099244310487921,0.6099244310487921,0.6193916301996881,0.531629385190507,0.5376430535841021,0.5080669435915959,0.5604341898809064,0.5267232806243849,0.6445563204219322,0.6279839643854908,0.5080567786369601,0.7035518917518704,0.7225425838644126,0.6893198260338455,0.6722945301394547,0.7093172123266204,0.6893198260338455,0.6957821564835625,0.7134366611645212,0.7044221688696772,0.6927785352551616,0.6876037714964227,0.7367949172053485,0.6957821564835625,0.7113273374907294,0.7093155997786629,0.7059757145982022,0.7134366611645212,0.6800600903413008,0.6927785352551616,0.6754267326981573,0.7155279696347459,0.7062890133478079,0.7347898802432054,0.7083247824659333,0.7286884513086431,0.7379851252348502,0.7221236852550109,0.7221236852550109,0.7221236852550109,0.8107246450887438,0.7221236852550109,0.7221236852550109,0.7327917820591644,0.73402146119478,0.7053212181031729,0.7138152411934088,0.7390817153925853,0.8018429022488562,0.6712580586697046,0.6871070424498711,0.6081914972456214,0.6871070424498711,0.6257951883334245,0.6783398811712567,0.6805774761079427,0.6081914972456214,0.6678951263775815,0.7532048418208863,0.7275105008256586,0.6912060672905272,0.7420927012352877,0.7124711316397229,0.7420927012352877,0.7420927012352877,0.7420927012352877,0.7061404213605027,0.6849975038315312,0.7280790266051944,0.7321439724728447,0.7321439724728447,0.6238325593395253,0.665629400078438,0.665629400078438,0.7715979105277257,0.7663330809269454,0.6517395679935409,0.6517395679935409,0.7417703473302228,0.6895266989520987,0.6526403081697074,0.7603765877826385,0.6302181555726293,0.6107858451925561,0.6599362689984213,0.693978813532809,0.7040078916450533,0.7435266167301644,0.6668848324726793,0.6469034064102162,0.6957974137931034,0.675869239472799,0.6996612604578867,0.7325428424060133,0.7250099802813834,0.6469034064102162,0.645198360290208
Faecalibacterium prausnitzii_A,0.5333036257324028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579379592602268,0.579379592602268,0.6381677158701825,0.7719437121431652,0.7719437121431652,0.46697364332325775,0.4993777536612267,0.4993777536612267,0.5171432876299533,0.5804307049409977,0.5804307049409977,0.6437734986281882,0.6227219139086178,0.5573960041947887,0.6024413451866351,0.5561244236064269,0.6217148467039018,0.6390091264667536,0.6390091264667536,0.520085837425839,0.5734278444202108,0.5718920437853648,0.61617100936613,0.6360319116706501,0.6099244310487921,0.6099244310487921,0.6193916301996881,0.531629385190507,0.5376430535841021,0.5080669435915959,0.5604341898809064,0.5267232806243849,0.6445563204219322,0.6279839643854908,0.5080567786369601,0.7035518917518704,0.7225425838644126,0.6893198260338455,0.6722945301394547,0.7093172123266204,0.6893198260338455,0.6957821564835625,0.7134366611645212,0.7044221688696772,0.6927785352551616,0.6876037714964227,0.7367949172053485,0.6957821564835625,0.7113273374907294,0.7093155997786629,0.7059757145982022,0.7134366611645212,0.6800600903413008,0.6927785352551616,0.6754267326981573,0.7155279696347459,0.7062890133478079,0.7347898802432054,0.7083247824659333,0.7286884513086431,0.7379851252348502,0.7221236852550109,0.7221236852550109,0.7221236852550109,0.8107246450887438,0.7221236852550109,0.7221236852550109,0.7327917820591644,0.73402146119478,0.7053212181031729,0.7138152411934088,0.7390817153925853,0.8018429022488562,0.6712580586697046,0.6871070424498711,0.6081914972456214,0.6871070424498711,0.6257951883334245,0.6783398811712567,0.6805774761079427,0.6081914972456214,0.6678951263775815,0.7532048418208863,0.7275105008256586,0.6912060672905272,0.7420927012352877,0.7124711316397229,0.7420927012352877,0.7420927012352877,0.7420927012352877,0.7061404213605027,0.6849975038315312,0.7280790266051944,0.7321439724728447,0.7321439724728447,0.6238325593395253,0.665629400078438,0.665629400078438,0.7715979105277257,0.7663330809269454,0.6517395679935409,0.6517395679935409,0.7417703473302228,0.6895266989520987,0.6526403081697074,0.7603765877826385,0.6302181555726293,0.6107858451925561,0.6599362689984213,0.693978813532809,0.7040078916450533,0.7435266167301644,0.6668848324726793,0.6469034064102162,0.6957974137931034,0.675869239472799,0.6996612604578867,0.7325428424060133,0.7250099802813834,0.6469034064102162,0.645198360290208
Faecalibacterium sp900758465,0.5333036257324028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579379592602268,0.579379592602268,0.6381677158701825,0.7719437121431652,0.7719437121431652,0.46697364332325775,0.4993777536612267,0.4993777536612267,0.5171432876299533,0.5804307049409977,0.5804307049409977,0.6437734986281882,0.6227219139086178,0.5573960041947887,0.6024413451866351,0.5561244236064269,0.6217148467039018,0.6390091264667536,0.6390091264667536,0.520085837425839,0.5734278444202108,0.5718920437853648,0.61617100936613,0.6360319116706501,0.6099244310487921,0.6099244310487921,0.6193916301996881,0.531629385190507,0.5376430535841021,0.5080669435915959,0.5604341898809064,0.5267232806243849,0.6445563204219322,0.6279839643854908,0.5080567786369601,0.7035518917518704,0.7225425838644126,0.6893198260338455,0.6722945301394547,0.7093172123266204,0.6893198260338455,0.6957821564835625,0.7134366611645212,0.7044221688696772,0.6927785352551616,0.6876037714964227,0.7367949172053485,0.6957821564835625,0.7113273374907294,0.7093155997786629,0.7059757145982022,0.7134366611645212,0.6800600903413008,0.6927785352551616,0.6754267326981573,0.7155279696347459,0.7062890133478079,0.7347898802432054,0.7083247824659333,0.7286884513086431,0.7379851252348502,0.7221236852550109,0.7221236852550109,0.7221236852550109,0.8107246450887438,0.7221236852550109,0.7221236852550109,0.7327917820591644,0.73402146119478,0.7053212181031729,0.7138152411934088,0.7390817153925853,0.8018429022488562,0.6712580586697046,0.6871070424498711,0.6081914972456214,0.6871070424498711,0.6257951883334245,0.6783398811712567,0.6805774761079427,0.6081914972456214,0.6678951263775815,0.7532048418208863,0.7275105008256586,0.6912060672905272,0.7420927012352877,0.7124711316397229,0.7420927012352877,0.7420927012352877,0.7420927012352877,0.7061404213605027,0.6849975038315312,0.7280790266051944,0.7321439724728447,0.7321439724728447,0.6238325593395253,0.665629400078438,0.665629400078438,0.7715979105277257,0.7663330809269454,0.6517395679935409,0.6517395679935409,0.7417703473302228,0.6895266989520987,0.6526403081697074,0.7603765877826385,0.6302181555726293,0.6107858451925561,0.6599362689984213,0.693978813532809,0.7040078916450533,0.7435266167301644,0.6668848324726793,0.6469034064102162,0.6957974137931034,0.675869239472799,0.6996612604578867,0.7325428424060133,0.7250099802813834,0.6469034064102162,0.645198360290208
Faecalibacterium prausnitzii_H,0.5333036257324028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579379592602268,0.579379592602268,0.6381677158701825,0.7719437121431652,0.7719437121431652,0.46697364332325775,0.4993777536612267,0.4993777536612267,0.5171432876299533,0.5804307049409977,0.5804307049409977,0.6437734986281882,0.6227219139086178,0.5573960041947887,0.6024413451866351,0.5561244236064269,0.6217148467039018,0.6390091264667536,0.6390091264667536,0.520085837425839,0.5734278444202108,0.5718920437853648,0.61617100936613,0.6360319116706501,0.6099244310487921,0.6099244310487921,0.6193916301996881,0.531629385190507,0.5376430535841021,0.5080669435915959,0.5604341898809064,0.5267232806243849,0.6445563204219322,0.6279839643854908,0.5080567786369601,0.7035518917518704,0.7225425838644126,0.6893198260338455,0.6722945301394547,0.7093172123266204,0.6893198260338455,0.6957821564835625,0.7134366611645212,0.7044221688696772,0.6927785352551616,0.6876037714964227,0.7367949172053485,0.6957821564835625,0.7113273374907294,0.7093155997786629,0.7059757145982022,0.7134366611645212,0.6800600903413008,0.6927785352551616,0.6754267326981573,0.7155279696347459,0.7062890133478079,0.7347898802432054,0.7083247824659333,0.7286884513086431,0.7379851252348502,0.7221236852550109,0.7221236852550109,0.7221236852550109,0.8107246450887438,0.7221236852550109,0.7221236852550109,0.7327917820591644,0.73402146119478,0.7053212181031729,0.7138152411934088,0.7390817153925853,0.8018429022488562,0.6712580586697046,0.6871070424498711,0.6081914972456214,0.6871070424498711,0.6257951883334245,0.6783398811712567,0.6805774761079427,0.6081914972456214,0.6678951263775815,0.7532048418208863,0.7275105008256586,0.6912060672905272,0.7420927012352877,0.7124711316397229,0.7420927012352877,0.7420927012352877,0.7420927012352877,0.7061404213605027,0.6849975038315312,0.7280790266051944,0.7321439724728447,0.7321439724728447,0.6238325593395253,0.665629400078438,0.665629400078438,0.7715979105277257,0.7663330809269454,0.6517395679935409,0.6517395679935409,0.7417703473302228,0.6895266989520987,0.6526403081697074,0.7603765877826385,0.6302181555726293,0.6107858451925561,0.6599362689984213,0.693978813532809,0.7040078916450533,0.7435266167301644,0.6668848324726793,0.6469034064102162,0.6957974137931034,0.675869239472799,0.6996612604578867,0.7325428424060133,0.7250099802813834,0.6469034064102162,0.645198360290208
Faecalibacterium prausnitzii_E,0.5333036257324028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579379592602268,0.579379592602268,0.6381677158701825,0.7719437121431652,0.7719437121431652,0.46697364332325775,0.4993777536612267,0.4993777536612267,0.5171432876299533,0.5804307049409977,0.5804307049409977,0.6437734986281882,0.6227219139086178,0.5573960041947887,0.6024413451866351,0.5561244236064269,0.6217148467039018,0.6390091264667536,0.6390091264667536,0.520085837425839,0.5734278444202108,0.5718920437853648,0.61617100936613,0.6360319116706501,0.6099244310487921,0.6099244310487921,0.6193916301996881,0.531629385190507,0.5376430535841021,0.5080669435915959,0.5604341898809064,0.5267232806243849,0.6445563204219322,0.6279839643854908,0.5080567786369601,0.7035518917518704,0.7225425838644126,0.6893198260338455,0.6722945301394547,0.7093172123266204,0.6893198260338455,0.6957821564835625,0.7134366611645212,0.7044221688696772,0.6927785352551616,0.6876037714964227,0.7367949172053485,0.6957821564835625,0.7113273374907294,0.7093155997786629,0.7059757145982022,0.7134366611645212,0.6800600903413008,0.6927785352551616,0.6754267326981573,0.7155279696347459,0.7062890133478079,0.7347898802432054,0.7083247824659333,0.7286884513086431,0.7379851252348502,0.7221236852550109,0.7221236852550109,0.7221236852550109,0.8107246450887438,0.7221236852550109,0.7221236852550109,0.7327917820591644,0.73402146119478,0.7053212181031729,0.7138152411934088,0.7390817153925853,0.8018429022488562,0.6712580586697046,0.6871070424498711,0.6081914972456214,0.6871070424498711,0.6257951883334245,0.6783398811712567,0.6805774761079427,0.6081914972456214,0.6678951263775815,0.7532048418208863,0.7275105008256586,0.6912060672905272,0.7420927012352877,0.7124711316397229,0.7420927012352877,0.7420927012352877,0.7420927012352877,0.7061404213605027,0.6849975038315312,0.7280790266051944,0.7321439724728447,0.7321439724728447,0.6238325593395253,0.665629400078438,0.665629400078438,0.7715979105277257,0.7663330809269454,0.6517395679935409,0.6517395679935409,0.7417703473302228,0.6895266989520987,0.6526403081697074,0.7603765877826385,0.6302181555726293,0.6107858451925561,0.6599362689984213,0.693978813532809,0.7040078916450533,0.7435266167301644,0.6668848324726793,0.6469034064102162,0.6957974137931034,0.675869239472799,0.6996612604578867,0.7325428424060133,0.7250099802813834,0.6469034064102162,0.645198360290208
