,Flavonifractor plautii,Faecalibacterium prausnitzii_C,Faecalibacterium prausnitzii,Faecalibacterium sp900539885,Faecalibacterium prausnitzii_G,Faecalibacterium prausnitzii_J,Faecalibacterium prausnitzii_A,Faecalibacterium sp900758465,Faecalibacterium prausnitzii_H,Faecalibacterium prausnitzii_E,Faecalibacterium prausnitzii_F,Gemmiger formicilis,Gemmiger sp900540775,Anaerotruncus colihominis,Ruminococcus_E bromii_B,Ruminococcus_E bromii,Blautia_A obeum,Blautia_A wexlerae,Blautia_A wexlerae_B,Agathobacter sp900317585,Mediterraneibacter faecis,Mediterraneibacter torques,Mediterraneibacter lactaris,Enterocloster bolteae,Enterocloster citroniae,Enterocloster asparagiformis,Enterocloster clostridioformis,Coprococcus eutactus,Dorea_A longicatena_B,Dorea_A longicatena,Lachnospira eligens_A,Roseburia inulinivorans,Roseburia intestinalis,Anaerostipes hadrus,Eubacterium_G ventriosum,Bariatricus comes,Bariatricus comes_A,Anaerobutyricum hallii,Anaerobutyricum soehngenii,Dorea formicigenerans,Coprococcus_A catus,Eubacterium_I ramulus,Clostridium_Q symbiosum,Bacteroides_F pectinophilus,Ruminococcus_B gnavus,Hungatella effluvii,Bacteroides uniformis,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides timonensis,Bacteroides stercoris,Bacteroides sp900552405,Bacteroides intestinalis_A,Bacteroides xylanisolvens,Bacteroides eggerthii,Bacteroides fragilis,Bacteroides fluxus,Bacteroides finegoldii,Bacteroides intestinalis,Bacteroides faecis,Bacteroides nordii,Bacteroides salyersiae,Bacteroides sp902362375,Bacteroides oleiciplenus,Bacteroides fragilis_A,Bacteroides clarus,Phocaeicola dorei,Phocaeicola vulgatus,Phocaeicola plebeius,Phocaeicola massiliensis,Phocaeicola coprocola,Phocaeicola coprophilus,Prevotella sp900313215,Prevotella sp900551275,Prevotella copri_A,Prevotella stercorea,Prevotella sp015074785,Prevotella copri,Paraprevotella clara,Paraprevotella xylaniphila,Alistipes onderdonkii,Alistipes finegoldii,Alistipes shahii,Alistipes putredinis,Alistipes_A indistinctus,Parabacteroides distasonis,Parabacteroides goldsteinii,Parabacteroides distasonis_A,Parabacteroides gordonii,Parabacteroides merdae,Parabacteroides johnsonii,Parabacteroides timonensis,Butyricimonas virosa,Odoribacter splanchnicus,Barnesiella intestinihominis,Parasutterella excrementihominis,Escherichia coli,Escherichia fergusonii,Escherichia ruysiae,Escherichia sp005843885,Escherichia coli_E,Escherichia albertii,Hafnia alvei,Klebsiella pneumoniae,Akkermansia muciniphila,Akkermansia muciniphila_B,Erysipelatoclostridium ramosum,Catenibacterium sp000437715,Catenibacterium mitsuokai,Holdemania filiformis,Holdemanella biformis,Streptococcus salivarius,Streptococcus sp001556435,Streptococcus thermophilus,Adlercreutzia celatus_A,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Bifidobacterium catenulatum,Bifidobacterium ruminantium,Bifidobacterium bifidum,Desulfovibrio sp900556755,Bilophila wadsworthia,Dialister invisus,Veillonella parvula_A,Phascolarctobacterium_A succinatutens,Acidaminococcus fermentans,Mitsuokella multacida,Ligilactobacillus ruminis,Sutterella wadsworthensis,Acidaminococcus intestini,Phascolarctobacterium_A succinatutens_A,Megasphaera elsdenii
Flavonifractor plautii,0.0,0.5581418188960912,0.5581418188960912,0.5581418188960912,0.5581418188960912,0.5581418188960912,0.5581418188960912,0.5581418188960912,0.5581418188960912,0.5581418188960912,0.5581418188960912,0.58009768009768,0.58009768009768,0.5404632152588555,0.7038667951011421,0.7038667951011421,0.5399670374948495,0.4697537473233405,0.4697537473233405,0.6392642642642643,0.7327236521867395,0.7327236521867395,0.7395812562313061,0.6479134466769707,0.5784684592577446,0.6876753319618478,0.5190695477624276,0.6427249972793557,0.6320766008378217,0.6320766008378217,0.5238273453093812,0.6482412060301508,0.6469997993176801,0.586032038723061,0.5729537366548043,0.6740641111858328,0.6740641111858328,0.6175614300687085,0.4532520325203252,0.6198496526786563,0.5019830028328611,0.4926241710650968,0.5627362055933485,0.5972831470213669,0.7495008319467554,0.4620116186353799,0.8189451022604952,0.8255805488825799,0.8170238273640043,0.6584418551519305,0.7870962243245547,0.8170238273640043,0.8057793616361946,0.8219187824479055,0.796388336646786,0.806165028940638,0.7515933844292053,0.7992644543277454,0.8057793616361946,0.6571555951850201,0.6831149619611159,0.6953684886084073,0.8219187824479055,0.6668497363796133,0.806165028940638,0.7623785832741057,0.7903668579985026,0.7892109380821102,0.8196601941747572,0.6827570970948857,0.7903690369036904,0.8067528136723635,0.7497393117831074,0.7497393117831074,0.7497393117831074,0.7081908929303979,0.7497393117831074,0.7497393117831074,0.741396997109018,0.7394711992445704,0.6259092049159769,0.647051914493775,0.7265876298134363,0.7417147457399704,0.6828001854427446,0.7860054851382403,0.649352040269894,0.7860054851382403,0.6348523599162985,0.7762909319899245,0.7597003619223971,0.649352040269894,0.6555674901539563,0.7224828581739444,0.7872845585648962,0.6774875621890547,0.77087023914969,0.6662869294448241,0.77087023914969,0.77087023914969,0.77087023914969,0.6810756830016407,0.7156368614274158,0.6921899946780202,0.7891844536476584,0.7891844536476584,0.7117786391042205,0.7045348837209302,0.7045348837209302,0.7917376007263648,0.744307577454274,0.6513476586759408,0.6513476586759408,0.7120854724573331,0.5797665369649805,0.8246713852376137,0.8157385263637399,0.719765798505956,0.6887831747621432,0.78983250568134,0.6862566636328176,0.6935090828533452,0.6844317873609981,0.6486984282907662,0.6165311653116532,0.582270325988919,0.7126625038386734,0.7327001356852103,0.724937425899091,0.6409666283084005,0.6165311653116532,0.5814967002863902
Faecalibacterium prausnitzii_C,0.5581418188960912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46326977180368867,0.46326977180368867,0.6172148355493352,0.7152372169279639,0.7152372169279639,0.35727177733447324,0.5274714155620763,0.5274714155620763,0.4249061326658323,0.5767963547143358,0.5767963547143358,0.6537114546852311,0.5681918363748568,0.5104130206510326,0.6145707131895646,0.5688568034359864,0.48307063631056624,0.5020593080724877,0.5020593080724877,0.53841642228739,0.5498862244004901,0.5481811822315494,0.5557954012200845,0.5652263374485597,0.5085303801257108,0.5085303801257108,0.5906355772846935,0.5363544813695871,0.5514548742396843,0.4841822061415716,0.5711565443976749,0.49251644736842104,0.6587072869493619,0.614292258360055,0.5389416315049227,0.7350090462651848,0.7374909830152797,0.7255998921542195,0.7090245809085381,0.7178539757611587,0.7255998921542195,0.7192315665814387,0.7252120976620685,0.6891711229946524,0.7190148630389387,0.6988803358992302,0.7348473676448901,0.7192315665814387,0.7036752136752137,0.7213195470211718,0.7248355673965532,0.7252120976620685,0.6977379428083653,0.7190148630389387,0.6943440800444691,0.7258297258297258,0.7050210603730694,0.753835327234342,0.7156151284897123,0.727091020910209,0.7467107628154432,0.6535669344690737,0.6535669344690737,0.6535669344690737,0.7708109165606964,0.6535669344690737,0.6535669344690737,0.6949179168957662,0.6934306569343065,0.6679284565155673,0.6818550202611436,0.6882775674213739,0.7842202548886078,0.6407500392279931,0.7163736914872605,0.6783733826247689,0.7163736914872605,0.6778756338404057,0.6806390047359865,0.6865528909813152,0.6783733826247689,0.7235779572277931,0.7545100172241864,0.7233881926619357,0.7148864592094197,0.6942711287577992,0.6651174799896721,0.6942711287577992,0.6942711287577992,0.6942711287577992,0.6782677839623219,0.6503834138028969,0.6713719085394307,0.7106263194933146,0.7106263194933146,0.5923852183650615,0.6184847897694246,0.6184847897694246,0.7452142206016408,0.7046769291106971,0.700418410041841,0.700418410041841,0.7438209076175041,0.671811211789306,0.7258244483015126,0.7011913912375096,0.6174643450870592,0.7024627720504009,0.6746705044690198,0.6949269640742203,0.693702373653324,0.7465780211184982,0.6691793083953641,0.6750497017892645,0.6423764660642184,0.5913660025130139,0.6034701237937421,0.7676456427539721,0.6653722939520434,0.6750497017892645,0.6410376474995317
Faecalibacterium prausnitzii,0.5581418188960912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46326977180368867,0.46326977180368867,0.6172148355493352,0.7152372169279639,0.7152372169279639,0.35727177733447324,0.5274714155620763,0.5274714155620763,0.4249061326658323,0.5767963547143358,0.5767963547143358,0.6537114546852311,0.5681918363748568,0.5104130206510326,0.6145707131895646,0.5688568034359864,0.48307063631056624,0.5020593080724877,0.5020593080724877,0.53841642228739,0.5498862244004901,0.5481811822315494,0.5557954012200845,0.5652263374485597,0.5085303801257108,0.5085303801257108,0.5906355772846935,0.5363544813695871,0.5514548742396843,0.4841822061415716,0.5711565443976749,0.49251644736842104,0.6587072869493619,0.614292258360055,0.5389416315049227,0.7350090462651848,0.7374909830152797,0.7255998921542195,0.7090245809085381,0.7178539757611587,0.7255998921542195,0.7192315665814387,0.7252120976620685,0.6891711229946524,0.7190148630389387,0.6988803358992302,0.7348473676448901,0.7192315665814387,0.7036752136752137,0.7213195470211718,0.7248355673965532,0.7252120976620685,0.6977379428083653,0.7190148630389387,0.6943440800444691,0.7258297258297258,0.7050210603730694,0.753835327234342,0.7156151284897123,0.727091020910209,0.7467107628154432,0.6535669344690737,0.6535669344690737,0.6535669344690737,0.7708109165606964,0.6535669344690737,0.6535669344690737,0.6949179168957662,0.6934306569343065,0.6679284565155673,0.6818550202611436,0.6882775674213739,0.7842202548886078,0.6407500392279931,0.7163736914872605,0.6783733826247689,0.7163736914872605,0.6778756338404057,0.6806390047359865,0.6865528909813152,0.6783733826247689,0.7235779572277931,0.7545100172241864,0.7233881926619357,0.7148864592094197,0.6942711287577992,0.6651174799896721,0.6942711287577992,0.6942711287577992,0.6942711287577992,0.6782677839623219,0.6503834138028969,0.6713719085394307,0.7106263194933146,0.7106263194933146,0.5923852183650615,0.6184847897694246,0.6184847897694246,0.7452142206016408,0.7046769291106971,0.700418410041841,0.700418410041841,0.7438209076175041,0.671811211789306,0.7258244483015126,0.7011913912375096,0.6174643450870592,0.7024627720504009,0.6746705044690198,0.6949269640742203,0.693702373653324,0.7465780211184982,0.6691793083953641,0.6750497017892645,0.6423764660642184,0.5913660025130139,0.6034701237937421,0.7676456427539721,0.6653722939520434,0.6750497017892645,0.6410376474995317
Faecalibacterium sp900539885,0.5581418188960912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46326977180368867,0.46326977180368867,0.6172148355493352,0.7152372169279639,0.7152372169279639,0.35727177733447324,0.5274714155620763,0.5274714155620763,0.4249061326658323,0.5767963547143358,0.5767963547143358,0.6537114546852311,0.5681918363748568,0.5104130206510326,0.6145707131895646,0.5688568034359864,0.48307063631056624,0.5020593080724877,0.5020593080724877,0.53841642228739,0.5498862244004901,0.5481811822315494,0.5557954012200845,0.5652263374485597,0.5085303801257108,0.5085303801257108,0.5906355772846935,0.5363544813695871,0.5514548742396843,0.4841822061415716,0.5711565443976749,0.49251644736842104,0.6587072869493619,0.614292258360055,0.5389416315049227,0.7350090462651848,0.7374909830152797,0.7255998921542195,0.7090245809085381,0.7178539757611587,0.7255998921542195,0.7192315665814387,0.7252120976620685,0.6891711229946524,0.7190148630389387,0.6988803358992302,0.7348473676448901,0.7192315665814387,0.7036752136752137,0.7213195470211718,0.7248355673965532,0.7252120976620685,0.6977379428083653,0.7190148630389387,0.6943440800444691,0.7258297258297258,0.7050210603730694,0.753835327234342,0.7156151284897123,0.727091020910209,0.7467107628154432,0.6535669344690737,0.6535669344690737,0.6535669344690737,0.7708109165606964,0.6535669344690737,0.6535669344690737,0.6949179168957662,0.6934306569343065,0.6679284565155673,0.6818550202611436,0.6882775674213739,0.7842202548886078,0.6407500392279931,0.7163736914872605,0.6783733826247689,0.7163736914872605,0.6778756338404057,0.6806390047359865,0.6865528909813152,0.6783733826247689,0.7235779572277931,0.7545100172241864,0.7233881926619357,0.7148864592094197,0.6942711287577992,0.6651174799896721,0.6942711287577992,0.6942711287577992,0.6942711287577992,0.6782677839623219,0.6503834138028969,0.6713719085394307,0.7106263194933146,0.7106263194933146,0.5923852183650615,0.6184847897694246,0.6184847897694246,0.7452142206016408,0.7046769291106971,0.700418410041841,0.700418410041841,0.7438209076175041,0.671811211789306,0.7258244483015126,0.7011913912375096,0.6174643450870592,0.7024627720504009,0.6746705044690198,0.6949269640742203,0.693702373653324,0.7465780211184982,0.6691793083953641,0.6750497017892645,0.6423764660642184,0.5913660025130139,0.6034701237937421,0.7676456427539721,0.6653722939520434,0.6750497017892645,0.6410376474995317
Faecalibacterium prausnitzii_G,0.5581418188960912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46326977180368867,0.46326977180368867,0.6172148355493352,0.7152372169279639,0.7152372169279639,0.35727177733447324,0.5274714155620763,0.5274714155620763,0.4249061326658323,0.5767963547143358,0.5767963547143358,0.6537114546852311,0.5681918363748568,0.5104130206510326,0.6145707131895646,0.5688568034359864,0.48307063631056624,0.5020593080724877,0.5020593080724877,0.53841642228739,0.5498862244004901,0.5481811822315494,0.5557954012200845,0.5652263374485597,0.5085303801257108,0.5085303801257108,0.5906355772846935,0.5363544813695871,0.5514548742396843,0.4841822061415716,0.5711565443976749,0.49251644736842104,0.6587072869493619,0.614292258360055,0.5389416315049227,0.7350090462651848,0.7374909830152797,0.7255998921542195,0.7090245809085381,0.7178539757611587,0.7255998921542195,0.7192315665814387,0.7252120976620685,0.6891711229946524,0.7190148630389387,0.6988803358992302,0.7348473676448901,0.7192315665814387,0.7036752136752137,0.7213195470211718,0.7248355673965532,0.7252120976620685,0.6977379428083653,0.7190148630389387,0.6943440800444691,0.7258297258297258,0.7050210603730694,0.753835327234342,0.7156151284897123,0.727091020910209,0.7467107628154432,0.6535669344690737,0.6535669344690737,0.6535669344690737,0.7708109165606964,0.6535669344690737,0.6535669344690737,0.6949179168957662,0.6934306569343065,0.6679284565155673,0.6818550202611436,0.6882775674213739,0.7842202548886078,0.6407500392279931,0.7163736914872605,0.6783733826247689,0.7163736914872605,0.6778756338404057,0.6806390047359865,0.6865528909813152,0.6783733826247689,0.7235779572277931,0.7545100172241864,0.7233881926619357,0.7148864592094197,0.6942711287577992,0.6651174799896721,0.6942711287577992,0.6942711287577992,0.6942711287577992,0.6782677839623219,0.6503834138028969,0.6713719085394307,0.7106263194933146,0.7106263194933146,0.5923852183650615,0.6184847897694246,0.6184847897694246,0.7452142206016408,0.7046769291106971,0.700418410041841,0.700418410041841,0.7438209076175041,0.671811211789306,0.7258244483015126,0.7011913912375096,0.6174643450870592,0.7024627720504009,0.6746705044690198,0.6949269640742203,0.693702373653324,0.7465780211184982,0.6691793083953641,0.6750497017892645,0.6423764660642184,0.5913660025130139,0.6034701237937421,0.7676456427539721,0.6653722939520434,0.6750497017892645,0.6410376474995317
Faecalibacterium prausnitzii_J,0.5581418188960912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46326977180368867,0.46326977180368867,0.6172148355493352,0.7152372169279639,0.7152372169279639,0.35727177733447324,0.5274714155620763,0.5274714155620763,0.4249061326658323,0.5767963547143358,0.5767963547143358,0.6537114546852311,0.5681918363748568,0.5104130206510326,0.6145707131895646,0.5688568034359864,0.48307063631056624,0.5020593080724877,0.5020593080724877,0.53841642228739,0.5498862244004901,0.5481811822315494,0.5557954012200845,0.5652263374485597,0.5085303801257108,0.5085303801257108,0.5906355772846935,0.5363544813695871,0.5514548742396843,0.4841822061415716,0.5711565443976749,0.49251644736842104,0.6587072869493619,0.614292258360055,0.5389416315049227,0.7350090462651848,0.7374909830152797,0.7255998921542195,0.7090245809085381,0.7178539757611587,0.7255998921542195,0.7192315665814387,0.7252120976620685,0.6891711229946524,0.7190148630389387,0.6988803358992302,0.7348473676448901,0.7192315665814387,0.7036752136752137,0.7213195470211718,0.7248355673965532,0.7252120976620685,0.6977379428083653,0.7190148630389387,0.6943440800444691,0.7258297258297258,0.7050210603730694,0.753835327234342,0.7156151284897123,0.727091020910209,0.7467107628154432,0.6535669344690737,0.6535669344690737,0.6535669344690737,0.7708109165606964,0.6535669344690737,0.6535669344690737,0.6949179168957662,0.6934306569343065,0.6679284565155673,0.6818550202611436,0.6882775674213739,0.7842202548886078,0.6407500392279931,0.7163736914872605,0.6783733826247689,0.7163736914872605,0.6778756338404057,0.6806390047359865,0.6865528909813152,0.6783733826247689,0.7235779572277931,0.7545100172241864,0.7233881926619357,0.7148864592094197,0.6942711287577992,0.6651174799896721,0.6942711287577992,0.6942711287577992,0.6942711287577992,0.6782677839623219,0.6503834138028969,0.6713719085394307,0.7106263194933146,0.7106263194933146,0.5923852183650615,0.6184847897694246,0.6184847897694246,0.7452142206016408,0.7046769291106971,0.700418410041841,0.700418410041841,0.7438209076175041,0.671811211789306,0.7258244483015126,0.7011913912375096,0.6174643450870592,0.7024627720504009,0.6746705044690198,0.6949269640742203,0.693702373653324,0.7465780211184982,0.6691793083953641,0.6750497017892645,0.6423764660642184,0.5913660025130139,0.6034701237937421,0.7676456427539721,0.6653722939520434,0.6750497017892645,0.6410376474995317
Faecalibacterium prausnitzii_A,0.5581418188960912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46326977180368867,0.46326977180368867,0.6172148355493352,0.7152372169279639,0.7152372169279639,0.35727177733447324,0.5274714155620763,0.5274714155620763,0.4249061326658323,0.5767963547143358,0.5767963547143358,0.6537114546852311,0.5681918363748568,0.5104130206510326,0.6145707131895646,0.5688568034359864,0.48307063631056624,0.5020593080724877,0.5020593080724877,0.53841642228739,0.5498862244004901,0.5481811822315494,0.5557954012200845,0.5652263374485597,0.5085303801257108,0.5085303801257108,0.5906355772846935,0.5363544813695871,0.5514548742396843,0.4841822061415716,0.5711565443976749,0.49251644736842104,0.6587072869493619,0.614292258360055,0.5389416315049227,0.7350090462651848,0.7374909830152797,0.7255998921542195,0.7090245809085381,0.7178539757611587,0.7255998921542195,0.7192315665814387,0.7252120976620685,0.6891711229946524,0.7190148630389387,0.6988803358992302,0.7348473676448901,0.7192315665814387,0.7036752136752137,0.7213195470211718,0.7248355673965532,0.7252120976620685,0.6977379428083653,0.7190148630389387,0.6943440800444691,0.7258297258297258,0.7050210603730694,0.753835327234342,0.7156151284897123,0.727091020910209,0.7467107628154432,0.6535669344690737,0.6535669344690737,0.6535669344690737,0.7708109165606964,0.6535669344690737,0.6535669344690737,0.6949179168957662,0.6934306569343065,0.6679284565155673,0.6818550202611436,0.6882775674213739,0.7842202548886078,0.6407500392279931,0.7163736914872605,0.6783733826247689,0.7163736914872605,0.6778756338404057,0.6806390047359865,0.6865528909813152,0.6783733826247689,0.7235779572277931,0.7545100172241864,0.7233881926619357,0.7148864592094197,0.6942711287577992,0.6651174799896721,0.6942711287577992,0.6942711287577992,0.6942711287577992,0.6782677839623219,0.6503834138028969,0.6713719085394307,0.7106263194933146,0.7106263194933146,0.5923852183650615,0.6184847897694246,0.6184847897694246,0.7452142206016408,0.7046769291106971,0.700418410041841,0.700418410041841,0.7438209076175041,0.671811211789306,0.7258244483015126,0.7011913912375096,0.6174643450870592,0.7024627720504009,0.6746705044690198,0.6949269640742203,0.693702373653324,0.7465780211184982,0.6691793083953641,0.6750497017892645,0.6423764660642184,0.5913660025130139,0.6034701237937421,0.7676456427539721,0.6653722939520434,0.6750497017892645,0.6410376474995317
Faecalibacterium sp900758465,0.5581418188960912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46326977180368867,0.46326977180368867,0.6172148355493352,0.7152372169279639,0.7152372169279639,0.35727177733447324,0.5274714155620763,0.5274714155620763,0.4249061326658323,0.5767963547143358,0.5767963547143358,0.6537114546852311,0.5681918363748568,0.5104130206510326,0.6145707131895646,0.5688568034359864,0.48307063631056624,0.5020593080724877,0.5020593080724877,0.53841642228739,0.5498862244004901,0.5481811822315494,0.5557954012200845,0.5652263374485597,0.5085303801257108,0.5085303801257108,0.5906355772846935,0.5363544813695871,0.5514548742396843,0.4841822061415716,0.5711565443976749,0.49251644736842104,0.6587072869493619,0.614292258360055,0.5389416315049227,0.7350090462651848,0.7374909830152797,0.7255998921542195,0.7090245809085381,0.7178539757611587,0.7255998921542195,0.7192315665814387,0.7252120976620685,0.6891711229946524,0.7190148630389387,0.6988803358992302,0.7348473676448901,0.7192315665814387,0.7036752136752137,0.7213195470211718,0.7248355673965532,0.7252120976620685,0.6977379428083653,0.7190148630389387,0.6943440800444691,0.7258297258297258,0.7050210603730694,0.753835327234342,0.7156151284897123,0.727091020910209,0.7467107628154432,0.6535669344690737,0.6535669344690737,0.6535669344690737,0.7708109165606964,0.6535669344690737,0.6535669344690737,0.6949179168957662,0.6934306569343065,0.6679284565155673,0.6818550202611436,0.6882775674213739,0.7842202548886078,0.6407500392279931,0.7163736914872605,0.6783733826247689,0.7163736914872605,0.6778756338404057,0.6806390047359865,0.6865528909813152,0.6783733826247689,0.7235779572277931,0.7545100172241864,0.7233881926619357,0.7148864592094197,0.6942711287577992,0.6651174799896721,0.6942711287577992,0.6942711287577992,0.6942711287577992,0.6782677839623219,0.6503834138028969,0.6713719085394307,0.7106263194933146,0.7106263194933146,0.5923852183650615,0.6184847897694246,0.6184847897694246,0.7452142206016408,0.7046769291106971,0.700418410041841,0.700418410041841,0.7438209076175041,0.671811211789306,0.7258244483015126,0.7011913912375096,0.6174643450870592,0.7024627720504009,0.6746705044690198,0.6949269640742203,0.693702373653324,0.7465780211184982,0.6691793083953641,0.6750497017892645,0.6423764660642184,0.5913660025130139,0.6034701237937421,0.7676456427539721,0.6653722939520434,0.6750497017892645,0.6410376474995317
Faecalibacterium prausnitzii_H,0.5581418188960912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46326977180368867,0.46326977180368867,0.6172148355493352,0.7152372169279639,0.7152372169279639,0.35727177733447324,0.5274714155620763,0.5274714155620763,0.4249061326658323,0.5767963547143358,0.5767963547143358,0.6537114546852311,0.5681918363748568,0.5104130206510326,0.6145707131895646,0.5688568034359864,0.48307063631056624,0.5020593080724877,0.5020593080724877,0.53841642228739,0.5498862244004901,0.5481811822315494,0.5557954012200845,0.5652263374485597,0.5085303801257108,0.5085303801257108,0.5906355772846935,0.5363544813695871,0.5514548742396843,0.4841822061415716,0.5711565443976749,0.49251644736842104,0.6587072869493619,0.614292258360055,0.5389416315049227,0.7350090462651848,0.7374909830152797,0.7255998921542195,0.7090245809085381,0.7178539757611587,0.7255998921542195,0.7192315665814387,0.7252120976620685,0.6891711229946524,0.7190148630389387,0.6988803358992302,0.7348473676448901,0.7192315665814387,0.7036752136752137,0.7213195470211718,0.7248355673965532,0.7252120976620685,0.6977379428083653,0.7190148630389387,0.6943440800444691,0.7258297258297258,0.7050210603730694,0.753835327234342,0.7156151284897123,0.727091020910209,0.7467107628154432,0.6535669344690737,0.6535669344690737,0.6535669344690737,0.7708109165606964,0.6535669344690737,0.6535669344690737,0.6949179168957662,0.6934306569343065,0.6679284565155673,0.6818550202611436,0.6882775674213739,0.7842202548886078,0.6407500392279931,0.7163736914872605,0.6783733826247689,0.7163736914872605,0.6778756338404057,0.6806390047359865,0.6865528909813152,0.6783733826247689,0.7235779572277931,0.7545100172241864,0.7233881926619357,0.7148864592094197,0.6942711287577992,0.6651174799896721,0.6942711287577992,0.6942711287577992,0.6942711287577992,0.6782677839623219,0.6503834138028969,0.6713719085394307,0.7106263194933146,0.7106263194933146,0.5923852183650615,0.6184847897694246,0.6184847897694246,0.7452142206016408,0.7046769291106971,0.700418410041841,0.700418410041841,0.7438209076175041,0.671811211789306,0.7258244483015126,0.7011913912375096,0.6174643450870592,0.7024627720504009,0.6746705044690198,0.6949269640742203,0.693702373653324,0.7465780211184982,0.6691793083953641,0.6750497017892645,0.6423764660642184,0.5913660025130139,0.6034701237937421,0.7676456427539721,0.6653722939520434,0.6750497017892645,0.6410376474995317
Faecalibacterium prausnitzii_E,0.5581418188960912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46326977180368867,0.46326977180368867,0.6172148355493352,0.7152372169279639,0.7152372169279639,0.35727177733447324,0.5274714155620763,0.5274714155620763,0.4249061326658323,0.5767963547143358,0.5767963547143358,0.6537114546852311,0.5681918363748568,0.5104130206510326,0.6145707131895646,0.5688568034359864,0.48307063631056624,0.5020593080724877,0.5020593080724877,0.53841642228739,0.5498862244004901,0.5481811822315494,0.5557954012200845,0.5652263374485597,0.5085303801257108,0.5085303801257108,0.5906355772846935,0.5363544813695871,0.5514548742396843,0.4841822061415716,0.5711565443976749,0.49251644736842104,0.6587072869493619,0.614292258360055,0.5389416315049227,0.7350090462651848,0.7374909830152797,0.7255998921542195,0.7090245809085381,0.7178539757611587,0.7255998921542195,0.7192315665814387,0.7252120976620685,0.6891711229946524,0.7190148630389387,0.6988803358992302,0.7348473676448901,0.7192315665814387,0.7036752136752137,0.7213195470211718,0.7248355673965532,0.7252120976620685,0.6977379428083653,0.7190148630389387,0.6943440800444691,0.7258297258297258,0.7050210603730694,0.753835327234342,0.7156151284897123,0.727091020910209,0.7467107628154432,0.6535669344690737,0.6535669344690737,0.6535669344690737,0.7708109165606964,0.6535669344690737,0.6535669344690737,0.6949179168957662,0.6934306569343065,0.6679284565155673,0.6818550202611436,0.6882775674213739,0.7842202548886078,0.6407500392279931,0.7163736914872605,0.6783733826247689,0.7163736914872605,0.6778756338404057,0.6806390047359865,0.6865528909813152,0.6783733826247689,0.7235779572277931,0.7545100172241864,0.7233881926619357,0.7148864592094197,0.6942711287577992,0.6651174799896721,0.6942711287577992,0.6942711287577992,0.6942711287577992,0.6782677839623219,0.6503834138028969,0.6713719085394307,0.7106263194933146,0.7106263194933146,0.5923852183650615,0.6184847897694246,0.6184847897694246,0.7452142206016408,0.7046769291106971,0.700418410041841,0.700418410041841,0.7438209076175041,0.671811211789306,0.7258244483015126,0.7011913912375096,0.6174643450870592,0.7024627720504009,0.6746705044690198,0.6949269640742203,0.693702373653324,0.7465780211184982,0.6691793083953641,0.6750497017892645,0.6423764660642184,0.5913660025130139,0.6034701237937421,0.7676456427539721,0.6653722939520434,0.6750497017892645,0.6410376474995317
