,Flavonifractor plautii,Faecalibacterium prausnitzii_C,Faecalibacterium prausnitzii,Faecalibacterium sp900539885,Faecalibacterium prausnitzii_G,Faecalibacterium prausnitzii_J,Faecalibacterium prausnitzii_A,Faecalibacterium sp900758465,Faecalibacterium prausnitzii_H,Faecalibacterium prausnitzii_E,Faecalibacterium prausnitzii_F,Gemmiger formicilis,Gemmiger sp900540775,Anaerotruncus colihominis,Ruminococcus_E bromii_B,Ruminococcus_E bromii,Blautia_A obeum,Blautia_A wexlerae,Blautia_A wexlerae_B,Agathobacter sp900317585,Mediterraneibacter faecis,Mediterraneibacter torques,Mediterraneibacter lactaris,Enterocloster bolteae,Enterocloster citroniae,Enterocloster asparagiformis,Enterocloster clostridioformis,Coprococcus eutactus,Dorea_A longicatena_B,Dorea_A longicatena,Lachnospira eligens_A,Roseburia inulinivorans,Roseburia intestinalis,Anaerostipes hadrus,Eubacterium_G ventriosum,Bariatricus comes,Bariatricus comes_A,Anaerobutyricum hallii,Anaerobutyricum soehngenii,Dorea formicigenerans,Coprococcus_A catus,Eubacterium_I ramulus,Clostridium_Q symbiosum,Bacteroides_F pectinophilus,Ruminococcus_B gnavus,Hungatella effluvii,Bacteroides uniformis,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides timonensis,Bacteroides stercoris,Bacteroides sp900552405,Bacteroides intestinalis_A,Bacteroides xylanisolvens,Bacteroides eggerthii,Bacteroides fragilis,Bacteroides fluxus,Bacteroides finegoldii,Bacteroides intestinalis,Bacteroides faecis,Bacteroides nordii,Bacteroides salyersiae,Bacteroides sp902362375,Bacteroides oleiciplenus,Bacteroides fragilis_A,Bacteroides clarus,Phocaeicola dorei,Phocaeicola vulgatus,Phocaeicola plebeius,Phocaeicola massiliensis,Phocaeicola coprocola,Phocaeicola coprophilus,Prevotella sp900313215,Prevotella sp900551275,Prevotella copri_A,Prevotella stercorea,Prevotella sp015074785,Prevotella copri,Paraprevotella clara,Paraprevotella xylaniphila,Alistipes onderdonkii,Alistipes finegoldii,Alistipes shahii,Alistipes putredinis,Alistipes_A indistinctus,Parabacteroides distasonis,Parabacteroides goldsteinii,Parabacteroides distasonis_A,Parabacteroides gordonii,Parabacteroides merdae,Parabacteroides johnsonii,Parabacteroides timonensis,Butyricimonas virosa,Odoribacter splanchnicus,Barnesiella intestinihominis,Parasutterella excrementihominis,Escherichia coli,Escherichia fergusonii,Escherichia ruysiae,Escherichia sp005843885,Escherichia coli_E,Escherichia albertii,Hafnia alvei,Klebsiella pneumoniae,Akkermansia muciniphila,Akkermansia muciniphila_B,Erysipelatoclostridium ramosum,Catenibacterium sp000437715,Catenibacterium mitsuokai,Holdemania filiformis,Holdemanella biformis,Streptococcus salivarius,Streptococcus sp001556435,Streptococcus thermophilus,Adlercreutzia celatus_A,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Bifidobacterium catenulatum,Bifidobacterium ruminantium,Bifidobacterium bifidum,Desulfovibrio sp900556755,Bilophila wadsworthia,Dialister invisus,Veillonella parvula_A,Phascolarctobacterium_A succinatutens,Acidaminococcus fermentans,Mitsuokella multacida,Ligilactobacillus ruminis,Sutterella wadsworthensis,Acidaminococcus intestini,Phascolarctobacterium_A succinatutens_A,Megasphaera elsdenii
Flavonifractor plautii,0.0,0.5294400009253315,0.5294400009253315,0.5294400009253315,0.5294400009253315,0.5294400009253315,0.5294400009253315,0.5294400009253315,0.5294400009253315,0.5294400009253315,0.5294400009253315,0.6318278701085216,0.6318278701085216,0.6549659385813149,0.8107326015650448,0.8107326015650448,0.5561016341261125,0.5318996327879304,0.5318996327879304,0.6436160560098814,0.6658971231368815,0.6658971231368815,0.6850440390688501,0.6899669855539964,0.575702212558004,0.6759611022132819,0.566048240704762,0.6893240303098507,0.69842414601925,0.69842414601925,0.5814292450808076,0.6217261784409667,0.6291065296617417,0.6091406745629468,0.6678049962927052,0.6669049366974487,0.6669049366974487,0.6788356093523691,0.5516279307873451,0.5508412029638239,0.43940963750726925,0.5717715129878124,0.5509717727001916,0.7027879237529963,0.6576697968729595,0.5075476622910526,0.7731393385335095,0.8036653665897957,0.7824166917777616,0.7203059542149788,0.775445255003575,0.7824166917777616,0.7838084425851335,0.7903881056896843,0.7845108017894196,0.7766784757625508,0.7310441355817077,0.7924337756798312,0.7838084425851335,0.7230097247403988,0.7181834828785937,0.7484437591486126,0.7903881056896843,0.719031379702329,0.7766784757625508,0.7478001004520342,0.777685542257295,0.7747302158273381,0.7997775876817793,0.7392394040121917,0.7875991257480919,0.7972287109186289,0.7894330521775748,0.7894330521775748,0.7894330521775748,0.8050778857862839,0.7894330521775748,0.7894330521775748,0.7547100828334762,0.7523051741913688,0.729388533630039,0.7247105024056197,0.7445444265332146,0.8218269772097,0.6973327743017481,0.7529920290023472,0.6736446006832698,0.7529920290023472,0.6802515900917487,0.7689106242351227,0.7618022864828513,0.6736446006832698,0.6717448405253283,0.7820229657711115,0.7655836883608697,0.7078013501642579,0.7817805009911696,0.7298725375042248,0.7817805009911696,0.7817805009911696,0.7817805009911696,0.7466268489452337,0.7015790964452627,0.7591381986957413,0.793766278867859,0.793766278867859,0.6992447010439734,0.6839501585925514,0.6839501585925514,0.7886350057560876,0.7655263831774293,0.6717231628263657,0.6717231628263657,0.7524199553239017,0.6919057903939114,0.7209666193679962,0.7865675980346977,0.683779166318204,0.6850644475034413,0.7395684128959541,0.7629974418649381,0.7424376457612905,0.7548933238833948,0.7188720227229128,0.6884025538076746,0.7023357636199535,0.7435524087463521,0.7509344710249536,0.7670472189241027,0.7491038049879654,0.6884025538076746,0.6634129902329529
Faecalibacterium prausnitzii_C,0.5294400009253315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5716005743241068,0.5716005743241068,0.6327985088264318,0.7649456337761168,0.7649456337761168,0.4617002314940605,0.4957952177344712,0.4957952177344712,0.512065134365669,0.5734742857142857,0.5734742857142857,0.6396729739465987,0.6195957157110806,0.5526103253328916,0.5996306101733935,0.5523571883627096,0.614752898186286,0.6329982547556345,0.6329982547556345,0.5162394445053708,0.5672517899538257,0.5660607621640849,0.6101897740340554,0.630154223398077,0.6079866330496649,0.6079866330496649,0.6146833244898944,0.5266157915681546,0.5331233651844338,0.5033413881213074,0.5562752687111725,0.5223331082264075,0.6408739786751302,0.6252862131338357,0.5050821772356346,0.7022888097213411,0.7206925248770825,0.6890917439988697,0.6713680454900212,0.707438961516276,0.6890917439988697,0.6946134538152611,0.7108430685752465,0.7030792909782176,0.6911153454572627,0.6852486430839573,0.7343404725480197,0.6946134538152611,0.7083166352743158,0.7074624440185259,0.7044573501660352,0.7108430685752465,0.6782302143354416,0.6911153454572627,0.673303232971968,0.7135344230261158,0.7040149791429655,0.7325846922601618,0.7062002569289606,0.7265815313623437,0.7358681740614335,0.7186042772149863,0.7186042772149863,0.7186042772149863,0.8062663600557771,0.7186042772149863,0.7186042772149863,0.7296449577529474,0.7306508599912067,0.7002490680841817,0.7089277851166886,0.7339382076542916,0.7984368547248778,0.6680147241705219,0.685560343863135,0.6085731363675178,0.685560343863135,0.6251119486975637,0.6761958041958043,0.678244716600702,0.6085731363675178,0.6677459466049007,0.7509793118786108,0.7250739349372552,0.6888224119483809,0.738542044696269,0.7086321415019435,0.738542044696269,0.738542044696269,0.738542044696269,0.7031185211315547,0.6810706093648049,0.724494060056116,0.7274513325387626,0.7274513325387626,0.6204285095052325,0.6625232220116897,0.6625232220116897,0.7684019121540003,0.7616699260266984,0.6508974582933007,0.6508974582933007,0.7386212552342848,0.6847564239828694,0.65173508382643,0.7590932619591703,0.629749605535329,0.6118731954510636,0.6578170761698228,0.6902291266794626,0.6989095013950715,0.7402612735462011,0.6628221352968247,0.6446890644791603,0.688945587026853,0.6702988956536544,0.695273631840796,0.7310636639478885,0.7181416083307213,0.6446890644791603,0.6414116743050029
Faecalibacterium prausnitzii,0.5294400009253315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5716005743241068,0.5716005743241068,0.6327985088264318,0.7649456337761168,0.7649456337761168,0.4617002314940605,0.4957952177344712,0.4957952177344712,0.512065134365669,0.5734742857142857,0.5734742857142857,0.6396729739465987,0.6195957157110806,0.5526103253328916,0.5996306101733935,0.5523571883627096,0.614752898186286,0.6329982547556345,0.6329982547556345,0.5162394445053708,0.5672517899538257,0.5660607621640849,0.6101897740340554,0.630154223398077,0.6079866330496649,0.6079866330496649,0.6146833244898944,0.5266157915681546,0.5331233651844338,0.5033413881213074,0.5562752687111725,0.5223331082264075,0.6408739786751302,0.6252862131338357,0.5050821772356346,0.7022888097213411,0.7206925248770825,0.6890917439988697,0.6713680454900212,0.707438961516276,0.6890917439988697,0.6946134538152611,0.7108430685752465,0.7030792909782176,0.6911153454572627,0.6852486430839573,0.7343404725480197,0.6946134538152611,0.7083166352743158,0.7074624440185259,0.7044573501660352,0.7108430685752465,0.6782302143354416,0.6911153454572627,0.673303232971968,0.7135344230261158,0.7040149791429655,0.7325846922601618,0.7062002569289606,0.7265815313623437,0.7358681740614335,0.7186042772149863,0.7186042772149863,0.7186042772149863,0.8062663600557771,0.7186042772149863,0.7186042772149863,0.7296449577529474,0.7306508599912067,0.7002490680841817,0.7089277851166886,0.7339382076542916,0.7984368547248778,0.6680147241705219,0.685560343863135,0.6085731363675178,0.685560343863135,0.6251119486975637,0.6761958041958043,0.678244716600702,0.6085731363675178,0.6677459466049007,0.7509793118786108,0.7250739349372552,0.6888224119483809,0.738542044696269,0.7086321415019435,0.738542044696269,0.738542044696269,0.738542044696269,0.7031185211315547,0.6810706093648049,0.724494060056116,0.7274513325387626,0.7274513325387626,0.6204285095052325,0.6625232220116897,0.6625232220116897,0.7684019121540003,0.7616699260266984,0.6508974582933007,0.6508974582933007,0.7386212552342848,0.6847564239828694,0.65173508382643,0.7590932619591703,0.629749605535329,0.6118731954510636,0.6578170761698228,0.6902291266794626,0.6989095013950715,0.7402612735462011,0.6628221352968247,0.6446890644791603,0.688945587026853,0.6702988956536544,0.695273631840796,0.7310636639478885,0.7181416083307213,0.6446890644791603,0.6414116743050029
Faecalibacterium sp900539885,0.5294400009253315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5716005743241068,0.5716005743241068,0.6327985088264318,0.7649456337761168,0.7649456337761168,0.4617002314940605,0.4957952177344712,0.4957952177344712,0.512065134365669,0.5734742857142857,0.5734742857142857,0.6396729739465987,0.6195957157110806,0.5526103253328916,0.5996306101733935,0.5523571883627096,0.614752898186286,0.6329982547556345,0.6329982547556345,0.5162394445053708,0.5672517899538257,0.5660607621640849,0.6101897740340554,0.630154223398077,0.6079866330496649,0.6079866330496649,0.6146833244898944,0.5266157915681546,0.5331233651844338,0.5033413881213074,0.5562752687111725,0.5223331082264075,0.6408739786751302,0.6252862131338357,0.5050821772356346,0.7022888097213411,0.7206925248770825,0.6890917439988697,0.6713680454900212,0.707438961516276,0.6890917439988697,0.6946134538152611,0.7108430685752465,0.7030792909782176,0.6911153454572627,0.6852486430839573,0.7343404725480197,0.6946134538152611,0.7083166352743158,0.7074624440185259,0.7044573501660352,0.7108430685752465,0.6782302143354416,0.6911153454572627,0.673303232971968,0.7135344230261158,0.7040149791429655,0.7325846922601618,0.7062002569289606,0.7265815313623437,0.7358681740614335,0.7186042772149863,0.7186042772149863,0.7186042772149863,0.8062663600557771,0.7186042772149863,0.7186042772149863,0.7296449577529474,0.7306508599912067,0.7002490680841817,0.7089277851166886,0.7339382076542916,0.7984368547248778,0.6680147241705219,0.685560343863135,0.6085731363675178,0.685560343863135,0.6251119486975637,0.6761958041958043,0.678244716600702,0.6085731363675178,0.6677459466049007,0.7509793118786108,0.7250739349372552,0.6888224119483809,0.738542044696269,0.7086321415019435,0.738542044696269,0.738542044696269,0.738542044696269,0.7031185211315547,0.6810706093648049,0.724494060056116,0.7274513325387626,0.7274513325387626,0.6204285095052325,0.6625232220116897,0.6625232220116897,0.7684019121540003,0.7616699260266984,0.6508974582933007,0.6508974582933007,0.7386212552342848,0.6847564239828694,0.65173508382643,0.7590932619591703,0.629749605535329,0.6118731954510636,0.6578170761698228,0.6902291266794626,0.6989095013950715,0.7402612735462011,0.6628221352968247,0.6446890644791603,0.688945587026853,0.6702988956536544,0.695273631840796,0.7310636639478885,0.7181416083307213,0.6446890644791603,0.6414116743050029
Faecalibacterium prausnitzii_G,0.5294400009253315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5716005743241068,0.5716005743241068,0.6327985088264318,0.7649456337761168,0.7649456337761168,0.4617002314940605,0.4957952177344712,0.4957952177344712,0.512065134365669,0.5734742857142857,0.5734742857142857,0.6396729739465987,0.6195957157110806,0.5526103253328916,0.5996306101733935,0.5523571883627096,0.614752898186286,0.6329982547556345,0.6329982547556345,0.5162394445053708,0.5672517899538257,0.5660607621640849,0.6101897740340554,0.630154223398077,0.6079866330496649,0.6079866330496649,0.6146833244898944,0.5266157915681546,0.5331233651844338,0.5033413881213074,0.5562752687111725,0.5223331082264075,0.6408739786751302,0.6252862131338357,0.5050821772356346,0.7022888097213411,0.7206925248770825,0.6890917439988697,0.6713680454900212,0.707438961516276,0.6890917439988697,0.6946134538152611,0.7108430685752465,0.7030792909782176,0.6911153454572627,0.6852486430839573,0.7343404725480197,0.6946134538152611,0.7083166352743158,0.7074624440185259,0.7044573501660352,0.7108430685752465,0.6782302143354416,0.6911153454572627,0.673303232971968,0.7135344230261158,0.7040149791429655,0.7325846922601618,0.7062002569289606,0.7265815313623437,0.7358681740614335,0.7186042772149863,0.7186042772149863,0.7186042772149863,0.8062663600557771,0.7186042772149863,0.7186042772149863,0.7296449577529474,0.7306508599912067,0.7002490680841817,0.7089277851166886,0.7339382076542916,0.7984368547248778,0.6680147241705219,0.685560343863135,0.6085731363675178,0.685560343863135,0.6251119486975637,0.6761958041958043,0.678244716600702,0.6085731363675178,0.6677459466049007,0.7509793118786108,0.7250739349372552,0.6888224119483809,0.738542044696269,0.7086321415019435,0.738542044696269,0.738542044696269,0.738542044696269,0.7031185211315547,0.6810706093648049,0.724494060056116,0.7274513325387626,0.7274513325387626,0.6204285095052325,0.6625232220116897,0.6625232220116897,0.7684019121540003,0.7616699260266984,0.6508974582933007,0.6508974582933007,0.7386212552342848,0.6847564239828694,0.65173508382643,0.7590932619591703,0.629749605535329,0.6118731954510636,0.6578170761698228,0.6902291266794626,0.6989095013950715,0.7402612735462011,0.6628221352968247,0.6446890644791603,0.688945587026853,0.6702988956536544,0.695273631840796,0.7310636639478885,0.7181416083307213,0.6446890644791603,0.6414116743050029
Faecalibacterium prausnitzii_J,0.5294400009253315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5716005743241068,0.5716005743241068,0.6327985088264318,0.7649456337761168,0.7649456337761168,0.4617002314940605,0.4957952177344712,0.4957952177344712,0.512065134365669,0.5734742857142857,0.5734742857142857,0.6396729739465987,0.6195957157110806,0.5526103253328916,0.5996306101733935,0.5523571883627096,0.614752898186286,0.6329982547556345,0.6329982547556345,0.5162394445053708,0.5672517899538257,0.5660607621640849,0.6101897740340554,0.630154223398077,0.6079866330496649,0.6079866330496649,0.6146833244898944,0.5266157915681546,0.5331233651844338,0.5033413881213074,0.5562752687111725,0.5223331082264075,0.6408739786751302,0.6252862131338357,0.5050821772356346,0.7022888097213411,0.7206925248770825,0.6890917439988697,0.6713680454900212,0.707438961516276,0.6890917439988697,0.6946134538152611,0.7108430685752465,0.7030792909782176,0.6911153454572627,0.6852486430839573,0.7343404725480197,0.6946134538152611,0.7083166352743158,0.7074624440185259,0.7044573501660352,0.7108430685752465,0.6782302143354416,0.6911153454572627,0.673303232971968,0.7135344230261158,0.7040149791429655,0.7325846922601618,0.7062002569289606,0.7265815313623437,0.7358681740614335,0.7186042772149863,0.7186042772149863,0.7186042772149863,0.8062663600557771,0.7186042772149863,0.7186042772149863,0.7296449577529474,0.7306508599912067,0.7002490680841817,0.7089277851166886,0.7339382076542916,0.7984368547248778,0.6680147241705219,0.685560343863135,0.6085731363675178,0.685560343863135,0.6251119486975637,0.6761958041958043,0.678244716600702,0.6085731363675178,0.6677459466049007,0.7509793118786108,0.7250739349372552,0.6888224119483809,0.738542044696269,0.7086321415019435,0.738542044696269,0.738542044696269,0.738542044696269,0.7031185211315547,0.6810706093648049,0.724494060056116,0.7274513325387626,0.7274513325387626,0.6204285095052325,0.6625232220116897,0.6625232220116897,0.7684019121540003,0.7616699260266984,0.6508974582933007,0.6508974582933007,0.7386212552342848,0.6847564239828694,0.65173508382643,0.7590932619591703,0.629749605535329,0.6118731954510636,0.6578170761698228,0.6902291266794626,0.6989095013950715,0.7402612735462011,0.6628221352968247,0.6446890644791603,0.688945587026853,0.6702988956536544,0.695273631840796,0.7310636639478885,0.7181416083307213,0.6446890644791603,0.6414116743050029
Faecalibacterium prausnitzii_A,0.5294400009253315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5716005743241068,0.5716005743241068,0.6327985088264318,0.7649456337761168,0.7649456337761168,0.4617002314940605,0.4957952177344712,0.4957952177344712,0.512065134365669,0.5734742857142857,0.5734742857142857,0.6396729739465987,0.6195957157110806,0.5526103253328916,0.5996306101733935,0.5523571883627096,0.614752898186286,0.6329982547556345,0.6329982547556345,0.5162394445053708,0.5672517899538257,0.5660607621640849,0.6101897740340554,0.630154223398077,0.6079866330496649,0.6079866330496649,0.6146833244898944,0.5266157915681546,0.5331233651844338,0.5033413881213074,0.5562752687111725,0.5223331082264075,0.6408739786751302,0.6252862131338357,0.5050821772356346,0.7022888097213411,0.7206925248770825,0.6890917439988697,0.6713680454900212,0.707438961516276,0.6890917439988697,0.6946134538152611,0.7108430685752465,0.7030792909782176,0.6911153454572627,0.6852486430839573,0.7343404725480197,0.6946134538152611,0.7083166352743158,0.7074624440185259,0.7044573501660352,0.7108430685752465,0.6782302143354416,0.6911153454572627,0.673303232971968,0.7135344230261158,0.7040149791429655,0.7325846922601618,0.7062002569289606,0.7265815313623437,0.7358681740614335,0.7186042772149863,0.7186042772149863,0.7186042772149863,0.8062663600557771,0.7186042772149863,0.7186042772149863,0.7296449577529474,0.7306508599912067,0.7002490680841817,0.7089277851166886,0.7339382076542916,0.7984368547248778,0.6680147241705219,0.685560343863135,0.6085731363675178,0.685560343863135,0.6251119486975637,0.6761958041958043,0.678244716600702,0.6085731363675178,0.6677459466049007,0.7509793118786108,0.7250739349372552,0.6888224119483809,0.738542044696269,0.7086321415019435,0.738542044696269,0.738542044696269,0.738542044696269,0.7031185211315547,0.6810706093648049,0.724494060056116,0.7274513325387626,0.7274513325387626,0.6204285095052325,0.6625232220116897,0.6625232220116897,0.7684019121540003,0.7616699260266984,0.6508974582933007,0.6508974582933007,0.7386212552342848,0.6847564239828694,0.65173508382643,0.7590932619591703,0.629749605535329,0.6118731954510636,0.6578170761698228,0.6902291266794626,0.6989095013950715,0.7402612735462011,0.6628221352968247,0.6446890644791603,0.688945587026853,0.6702988956536544,0.695273631840796,0.7310636639478885,0.7181416083307213,0.6446890644791603,0.6414116743050029
Faecalibacterium sp900758465,0.5294400009253315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5716005743241068,0.5716005743241068,0.6327985088264318,0.7649456337761168,0.7649456337761168,0.4617002314940605,0.4957952177344712,0.4957952177344712,0.512065134365669,0.5734742857142857,0.5734742857142857,0.6396729739465987,0.6195957157110806,0.5526103253328916,0.5996306101733935,0.5523571883627096,0.614752898186286,0.6329982547556345,0.6329982547556345,0.5162394445053708,0.5672517899538257,0.5660607621640849,0.6101897740340554,0.630154223398077,0.6079866330496649,0.6079866330496649,0.6146833244898944,0.5266157915681546,0.5331233651844338,0.5033413881213074,0.5562752687111725,0.5223331082264075,0.6408739786751302,0.6252862131338357,0.5050821772356346,0.7022888097213411,0.7206925248770825,0.6890917439988697,0.6713680454900212,0.707438961516276,0.6890917439988697,0.6946134538152611,0.7108430685752465,0.7030792909782176,0.6911153454572627,0.6852486430839573,0.7343404725480197,0.6946134538152611,0.7083166352743158,0.7074624440185259,0.7044573501660352,0.7108430685752465,0.6782302143354416,0.6911153454572627,0.673303232971968,0.7135344230261158,0.7040149791429655,0.7325846922601618,0.7062002569289606,0.7265815313623437,0.7358681740614335,0.7186042772149863,0.7186042772149863,0.7186042772149863,0.8062663600557771,0.7186042772149863,0.7186042772149863,0.7296449577529474,0.7306508599912067,0.7002490680841817,0.7089277851166886,0.7339382076542916,0.7984368547248778,0.6680147241705219,0.685560343863135,0.6085731363675178,0.685560343863135,0.6251119486975637,0.6761958041958043,0.678244716600702,0.6085731363675178,0.6677459466049007,0.7509793118786108,0.7250739349372552,0.6888224119483809,0.738542044696269,0.7086321415019435,0.738542044696269,0.738542044696269,0.738542044696269,0.7031185211315547,0.6810706093648049,0.724494060056116,0.7274513325387626,0.7274513325387626,0.6204285095052325,0.6625232220116897,0.6625232220116897,0.7684019121540003,0.7616699260266984,0.6508974582933007,0.6508974582933007,0.7386212552342848,0.6847564239828694,0.65173508382643,0.7590932619591703,0.629749605535329,0.6118731954510636,0.6578170761698228,0.6902291266794626,0.6989095013950715,0.7402612735462011,0.6628221352968247,0.6446890644791603,0.688945587026853,0.6702988956536544,0.695273631840796,0.7310636639478885,0.7181416083307213,0.6446890644791603,0.6414116743050029
Faecalibacterium prausnitzii_H,0.5294400009253315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5716005743241068,0.5716005743241068,0.6327985088264318,0.7649456337761168,0.7649456337761168,0.4617002314940605,0.4957952177344712,0.4957952177344712,0.512065134365669,0.5734742857142857,0.5734742857142857,0.6396729739465987,0.6195957157110806,0.5526103253328916,0.5996306101733935,0.5523571883627096,0.614752898186286,0.6329982547556345,0.6329982547556345,0.5162394445053708,0.5672517899538257,0.5660607621640849,0.6101897740340554,0.630154223398077,0.6079866330496649,0.6079866330496649,0.6146833244898944,0.5266157915681546,0.5331233651844338,0.5033413881213074,0.5562752687111725,0.5223331082264075,0.6408739786751302,0.6252862131338357,0.5050821772356346,0.7022888097213411,0.7206925248770825,0.6890917439988697,0.6713680454900212,0.707438961516276,0.6890917439988697,0.6946134538152611,0.7108430685752465,0.7030792909782176,0.6911153454572627,0.6852486430839573,0.7343404725480197,0.6946134538152611,0.7083166352743158,0.7074624440185259,0.7044573501660352,0.7108430685752465,0.6782302143354416,0.6911153454572627,0.673303232971968,0.7135344230261158,0.7040149791429655,0.7325846922601618,0.7062002569289606,0.7265815313623437,0.7358681740614335,0.7186042772149863,0.7186042772149863,0.7186042772149863,0.8062663600557771,0.7186042772149863,0.7186042772149863,0.7296449577529474,0.7306508599912067,0.7002490680841817,0.7089277851166886,0.7339382076542916,0.7984368547248778,0.6680147241705219,0.685560343863135,0.6085731363675178,0.685560343863135,0.6251119486975637,0.6761958041958043,0.678244716600702,0.6085731363675178,0.6677459466049007,0.7509793118786108,0.7250739349372552,0.6888224119483809,0.738542044696269,0.7086321415019435,0.738542044696269,0.738542044696269,0.738542044696269,0.7031185211315547,0.6810706093648049,0.724494060056116,0.7274513325387626,0.7274513325387626,0.6204285095052325,0.6625232220116897,0.6625232220116897,0.7684019121540003,0.7616699260266984,0.6508974582933007,0.6508974582933007,0.7386212552342848,0.6847564239828694,0.65173508382643,0.7590932619591703,0.629749605535329,0.6118731954510636,0.6578170761698228,0.6902291266794626,0.6989095013950715,0.7402612735462011,0.6628221352968247,0.6446890644791603,0.688945587026853,0.6702988956536544,0.695273631840796,0.7310636639478885,0.7181416083307213,0.6446890644791603,0.6414116743050029
Faecalibacterium prausnitzii_E,0.5294400009253315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5716005743241068,0.5716005743241068,0.6327985088264318,0.7649456337761168,0.7649456337761168,0.4617002314940605,0.4957952177344712,0.4957952177344712,0.512065134365669,0.5734742857142857,0.5734742857142857,0.6396729739465987,0.6195957157110806,0.5526103253328916,0.5996306101733935,0.5523571883627096,0.614752898186286,0.6329982547556345,0.6329982547556345,0.5162394445053708,0.5672517899538257,0.5660607621640849,0.6101897740340554,0.630154223398077,0.6079866330496649,0.6079866330496649,0.6146833244898944,0.5266157915681546,0.5331233651844338,0.5033413881213074,0.5562752687111725,0.5223331082264075,0.6408739786751302,0.6252862131338357,0.5050821772356346,0.7022888097213411,0.7206925248770825,0.6890917439988697,0.6713680454900212,0.707438961516276,0.6890917439988697,0.6946134538152611,0.7108430685752465,0.7030792909782176,0.6911153454572627,0.6852486430839573,0.7343404725480197,0.6946134538152611,0.7083166352743158,0.7074624440185259,0.7044573501660352,0.7108430685752465,0.6782302143354416,0.6911153454572627,0.673303232971968,0.7135344230261158,0.7040149791429655,0.7325846922601618,0.7062002569289606,0.7265815313623437,0.7358681740614335,0.7186042772149863,0.7186042772149863,0.7186042772149863,0.8062663600557771,0.7186042772149863,0.7186042772149863,0.7296449577529474,0.7306508599912067,0.7002490680841817,0.7089277851166886,0.7339382076542916,0.7984368547248778,0.6680147241705219,0.685560343863135,0.6085731363675178,0.685560343863135,0.6251119486975637,0.6761958041958043,0.678244716600702,0.6085731363675178,0.6677459466049007,0.7509793118786108,0.7250739349372552,0.6888224119483809,0.738542044696269,0.7086321415019435,0.738542044696269,0.738542044696269,0.738542044696269,0.7031185211315547,0.6810706093648049,0.724494060056116,0.7274513325387626,0.7274513325387626,0.6204285095052325,0.6625232220116897,0.6625232220116897,0.7684019121540003,0.7616699260266984,0.6508974582933007,0.6508974582933007,0.7386212552342848,0.6847564239828694,0.65173508382643,0.7590932619591703,0.629749605535329,0.6118731954510636,0.6578170761698228,0.6902291266794626,0.6989095013950715,0.7402612735462011,0.6628221352968247,0.6446890644791603,0.688945587026853,0.6702988956536544,0.695273631840796,0.7310636639478885,0.7181416083307213,0.6446890644791603,0.6414116743050029
