,Flavonifractor plautii,Faecalibacterium prausnitzii_C,Faecalibacterium prausnitzii,Faecalibacterium sp900539885,Faecalibacterium prausnitzii_G,Faecalibacterium prausnitzii_J,Faecalibacterium prausnitzii_A,Faecalibacterium sp900758465,Faecalibacterium prausnitzii_H,Faecalibacterium prausnitzii_E,Faecalibacterium prausnitzii_F,Gemmiger formicilis,Gemmiger sp900540775,Anaerotruncus colihominis,Ruminococcus_E bromii_B,Ruminococcus_E bromii,Blautia_A obeum,Blautia_A wexlerae,Blautia_A wexlerae_B,Agathobacter sp900317585,Mediterraneibacter faecis,Mediterraneibacter torques,Mediterraneibacter lactaris,Enterocloster bolteae,Enterocloster citroniae,Enterocloster asparagiformis,Enterocloster clostridioformis,Coprococcus eutactus,Dorea_A longicatena_B,Dorea_A longicatena,Lachnospira eligens_A,Roseburia inulinivorans,Roseburia intestinalis,Anaerostipes hadrus,Eubacterium_G ventriosum,Bariatricus comes,Bariatricus comes_A,Anaerobutyricum hallii,Anaerobutyricum soehngenii,Dorea formicigenerans,Coprococcus_A catus,Eubacterium_I ramulus,Clostridium_Q symbiosum,Bacteroides_F pectinophilus,Ruminococcus_B gnavus,Hungatella effluvii,Bacteroides uniformis,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides timonensis,Bacteroides stercoris,Bacteroides sp900552405,Bacteroides intestinalis_A,Bacteroides xylanisolvens,Bacteroides eggerthii,Bacteroides fragilis,Bacteroides fluxus,Bacteroides finegoldii,Bacteroides intestinalis,Bacteroides faecis,Bacteroides nordii,Bacteroides salyersiae,Bacteroides sp902362375,Bacteroides oleiciplenus,Bacteroides fragilis_A,Bacteroides clarus,Phocaeicola dorei,Phocaeicola vulgatus,Phocaeicola plebeius,Phocaeicola massiliensis,Phocaeicola coprocola,Phocaeicola coprophilus,Prevotella sp900313215,Prevotella sp900551275,Prevotella copri_A,Prevotella stercorea,Prevotella sp015074785,Prevotella copri,Paraprevotella clara,Paraprevotella xylaniphila,Alistipes onderdonkii,Alistipes finegoldii,Alistipes shahii,Alistipes putredinis,Alistipes_A indistinctus,Parabacteroides distasonis,Parabacteroides goldsteinii,Parabacteroides distasonis_A,Parabacteroides gordonii,Parabacteroides merdae,Parabacteroides johnsonii,Parabacteroides timonensis,Butyricimonas virosa,Odoribacter splanchnicus,Barnesiella intestinihominis,Parasutterella excrementihominis,Escherichia coli,Escherichia fergusonii,Escherichia ruysiae,Escherichia sp005843885,Escherichia coli_E,Escherichia albertii,Hafnia alvei,Klebsiella pneumoniae,Akkermansia muciniphila,Akkermansia muciniphila_B,Erysipelatoclostridium ramosum,Catenibacterium sp000437715,Catenibacterium mitsuokai,Holdemania filiformis,Holdemanella biformis,Streptococcus salivarius,Streptococcus sp001556435,Streptococcus thermophilus,Adlercreutzia celatus_A,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Bifidobacterium catenulatum,Bifidobacterium ruminantium,Bifidobacterium bifidum,Desulfovibrio sp900556755,Bilophila wadsworthia,Dialister invisus,Veillonella parvula_A,Phascolarctobacterium_A succinatutens,Acidaminococcus fermentans,Mitsuokella multacida,Ligilactobacillus ruminis,Sutterella wadsworthensis,Acidaminococcus intestini,Phascolarctobacterium_A succinatutens_A,Megasphaera elsdenii
Flavonifractor plautii,0.0,1.63693,1.63693,1.6467299999999998,1.61275,1.64733,1.64956,1.6163699999999999,1.63443,1.64134,1.64397,1.67886,1.6730399999999999,1.29269,1.4523,1.4523,1.79437,1.7746300000000002,1.77514,1.76664,1.74464,1.78442,1.73681,1.67357,1.6764000000000001,1.6740300000000001,1.67523,1.72221,1.7376900000000002,1.7346599999999999,1.72763,1.69151,1.6683,1.68096,1.70876,1.71994,1.7172399999999999,1.6352,1.63426,1.74984,1.53106,1.65591,1.62443,1.66192,1.71465,1.64764,3.4261299999999997,3.3926499999999997,3.4071,3.41008,3.4304300000000003,3.40836,3.40586,3.39316,3.43419,3.3578200000000002,3.4326600000000003,3.3992899999999997,3.40692,3.38387,3.37404,3.3803799999999997,3.40171,3.404,3.3559,3.4311499999999997,3.35916,3.35542,3.37444,3.3452200000000003,3.36606,3.37456,3.67007,3.69114,3.69732,3.67109,3.68671,3.68995,3.4761800000000003,3.4782900000000003,3.596,3.58499,3.57731,3.5534,3.32285,3.3247299999999997,3.31342,3.32865,3.31414,3.3228299999999997,3.32501,3.31542,3.19684,3.22243,3.3164800000000003,3.18992,3.02514,3.02742,3.0227500000000003,3.0259,3.02492,3.02715,2.95484,3.02609,2.9061399999999997,2.89778,2.77121,2.8465100000000003,2.84312,2.7689700000000004,3.05311,2.57519,2.57388,2.59294,2.46313,2.91221,2.87685,2.88157,2.88166,2.89562,2.9448600000000003,2.93279,2.17178,2.00984,1.93395,2.06402,2.22757,2.4583500000000003,3.28062,2.0879700000000003,1.93872,2.02697
Faecalibacterium prausnitzii_C,1.63693,0.0,0.0,0.07878,0.06975999999999999,0.07938,0.08161,0.07338,0.048960000000000004,0.05587,0.07602,0.55681,0.55099,1.28298,1.51627,1.51627,2.13,2.11026,2.11077,2.10227,2.0802699999999996,2.12005,2.07244,2.0092,2.0120299999999998,2.00966,2.01086,2.0578399999999997,2.07332,2.07029,2.0632599999999996,2.02714,2.00393,2.01659,2.04439,2.05557,2.05287,1.9708299999999999,1.96989,2.08547,1.86669,1.9915399999999999,1.96006,1.99755,2.05028,1.9832699999999999,3.7617599999999998,3.72828,3.74273,3.74571,3.7660600000000004,3.74399,3.74149,3.72879,3.76982,3.6934500000000003,3.7682900000000004,3.73492,3.74255,3.7195,3.70967,3.71601,3.73734,3.73963,3.69153,3.76678,3.6947900000000002,3.69105,3.71007,3.6808500000000004,3.70169,3.71019,4.0057,4.02677,4.03295,4.00672,4.02234,4.02558,3.8118100000000004,3.8139200000000004,3.93163,3.92062,3.9129400000000003,3.88903,3.65848,3.66036,3.64905,3.66428,3.64977,3.65846,3.66064,3.65105,3.53247,3.5580600000000002,3.6521100000000004,3.52555,3.36077,3.3630500000000003,3.3583800000000004,3.36153,3.36055,3.36278,3.29047,3.36172,3.24177,3.23341,3.10684,3.18214,3.17875,3.1046,3.3887400000000003,2.91082,2.90951,2.9285699999999997,2.79876,3.24784,3.2124800000000002,3.2172,3.21729,3.23125,3.2804900000000004,3.26842,2.50741,2.3454699999999997,2.26958,2.39965,2.5632,2.79398,3.61625,2.4236,2.27435,2.3626
Faecalibacterium prausnitzii,1.63693,0.0,0.0,0.07878,0.06975999999999999,0.07938,0.08161,0.07338,0.048960000000000004,0.05587,0.07602,0.55681,0.55099,1.28298,1.51627,1.51627,2.13,2.11026,2.11077,2.10227,2.0802699999999996,2.12005,2.07244,2.0092,2.0120299999999998,2.00966,2.01086,2.0578399999999997,2.07332,2.07029,2.0632599999999996,2.02714,2.00393,2.01659,2.04439,2.05557,2.05287,1.9708299999999999,1.96989,2.08547,1.86669,1.9915399999999999,1.96006,1.99755,2.05028,1.9832699999999999,3.7617599999999998,3.72828,3.74273,3.74571,3.7660600000000004,3.74399,3.74149,3.72879,3.76982,3.6934500000000003,3.7682900000000004,3.73492,3.74255,3.7195,3.70967,3.71601,3.73734,3.73963,3.69153,3.76678,3.6947900000000002,3.69105,3.71007,3.6808500000000004,3.70169,3.71019,4.0057,4.02677,4.03295,4.00672,4.02234,4.02558,3.8118100000000004,3.8139200000000004,3.93163,3.92062,3.9129400000000003,3.88903,3.65848,3.66036,3.64905,3.66428,3.64977,3.65846,3.66064,3.65105,3.53247,3.5580600000000002,3.6521100000000004,3.52555,3.36077,3.3630500000000003,3.3583800000000004,3.36153,3.36055,3.36278,3.29047,3.36172,3.24177,3.23341,3.10684,3.18214,3.17875,3.1046,3.3887400000000003,2.91082,2.90951,2.9285699999999997,2.79876,3.24784,3.2124800000000002,3.2172,3.21729,3.23125,3.2804900000000004,3.26842,2.50741,2.3454699999999997,2.26958,2.39965,2.5632,2.79398,3.61625,2.4236,2.27435,2.3626
Faecalibacterium sp900539885,1.6467299999999998,0.07878,0.07878,0.0,0.07955999999999999,0.049479999999999996,0.05171,0.08318,0.07628000000000001,0.08319000000000001,0.02772,0.5666100000000001,0.56079,1.29278,1.5260699999999998,1.5260699999999998,2.1398,2.12006,2.12057,2.11207,2.09007,2.12985,2.0822399999999996,2.019,2.02183,2.01946,2.02066,2.06764,2.08312,2.0800899999999998,2.07306,2.03694,2.01373,2.02639,2.05419,2.0653699999999997,2.06267,1.98063,1.97969,2.09527,1.87649,2.00134,1.96986,2.0073499999999997,2.06008,1.99307,3.77156,3.73808,3.75253,3.75551,3.77586,3.7537900000000004,3.75129,3.7385900000000003,3.7796200000000004,3.70325,3.77809,3.74472,3.75235,3.7293000000000003,3.7194700000000003,3.72581,3.74714,3.7494300000000003,3.7013300000000005,3.77658,3.70459,3.70085,3.7198700000000002,3.69065,3.7114900000000004,3.71999,4.0155,4.03657,4.04275,4.01652,4.03214,4.03538,3.82161,3.8237200000000002,3.9414300000000004,3.93042,3.92274,3.8988300000000002,3.66828,3.67016,3.65885,3.67408,3.6595700000000004,3.66826,3.67044,3.66085,3.5422700000000003,3.56786,3.66191,3.53535,3.37057,3.37285,3.36818,3.3713300000000004,3.37035,3.37258,3.3002700000000003,3.3715200000000003,3.25157,3.2432100000000004,3.1166400000000003,3.1919399999999998,3.18855,3.1144,3.39854,2.92062,2.9193100000000003,2.93837,2.80856,3.2576400000000003,3.22228,3.2270000000000003,3.22709,3.2410500000000004,3.29029,3.27822,2.51721,2.35527,2.2793799999999997,2.40945,2.573,2.8037799999999997,3.62605,2.4334,2.28415,2.3724
Faecalibacterium prausnitzii_G,1.61275,0.06975999999999999,0.06975999999999999,0.07955999999999999,0.0,0.08016,0.08238999999999999,0.01258,0.06726,0.07417,0.07680000000000001,0.5326299999999999,0.52681,1.2588,1.4920900000000001,1.4920900000000001,2.10582,2.08608,2.08659,2.07809,2.05609,2.09587,2.04826,1.98502,1.98785,1.98548,1.98668,2.0336600000000002,2.04914,2.04611,2.0390800000000002,2.00296,1.9797500000000001,1.99241,2.02021,2.03139,2.02869,1.94665,1.94571,2.06129,1.84251,1.96736,1.93588,1.97337,2.0261,1.95909,3.73758,3.7041,3.71855,3.72153,3.74188,3.71981,3.7173100000000003,3.7046099999999997,3.74564,3.66927,3.74411,3.71074,3.71837,3.6953199999999997,3.6854899999999997,3.69183,3.7131600000000002,3.7154499999999997,3.66735,3.7426,3.67061,3.6668700000000003,3.68589,3.65667,3.67751,3.68601,3.9815199999999997,4.00259,4.00877,3.98254,3.9981600000000004,4.0014,3.78763,3.78974,3.90745,3.89644,3.8887600000000004,3.8648499999999997,3.6343,3.63618,3.62487,3.6401000000000003,3.62559,3.63428,3.63646,3.6268700000000003,3.5082899999999997,3.53388,3.62793,3.5013699999999996,3.33659,3.33887,3.3342,3.33735,3.33637,3.3386,3.2662899999999997,3.3375399999999997,3.21759,3.20923,3.08266,3.15796,3.15457,3.08042,3.36456,2.88664,2.88533,2.9043900000000002,2.7745800000000003,3.2236599999999997,3.1883,3.1930199999999997,3.19311,3.20707,3.25631,3.24424,2.48323,2.3212900000000003,2.2454,2.37547,2.53902,2.7698,3.59207,2.39942,2.2501700000000002,2.33842
Faecalibacterium prausnitzii_J,1.64733,0.07938,0.07938,0.049479999999999996,0.08016,0.0,0.00851,0.08378,0.07688,0.08379,0.04672,0.56721,0.5613900000000001,1.29338,1.52667,1.52667,2.1404,2.12066,2.12117,2.11267,2.0906700000000003,2.13045,2.08284,2.0196,2.02243,2.02006,2.02126,2.0682400000000003,2.08372,2.08069,2.0736600000000003,2.03754,2.01433,2.02699,2.05479,2.06597,2.06327,1.98123,1.98029,2.09587,1.8770900000000001,2.0019400000000003,1.97046,2.00795,2.06068,1.99367,3.77216,3.73868,3.75313,3.75611,3.77646,3.75439,3.7518900000000004,3.73919,3.78022,3.70385,3.77869,3.74532,3.7529500000000002,3.7298999999999998,3.7200699999999998,3.72641,3.7477400000000003,3.7500299999999998,3.70193,3.77718,3.70519,3.7014500000000004,3.72047,3.69125,3.71209,3.72059,4.0161,4.03717,4.04335,4.01712,4.03274,4.03598,3.82221,3.82432,3.94203,3.93102,3.9233400000000005,3.8994299999999997,3.66888,3.67076,3.65945,3.6746800000000004,3.66017,3.66886,3.67104,3.6614500000000003,3.5428699999999997,3.56846,3.66251,3.5359499999999997,3.37117,3.37345,3.36878,3.37193,3.37095,3.37318,3.3008699999999997,3.37212,3.25217,3.24381,3.11724,3.19254,3.1891499999999997,3.115,3.39914,2.92122,2.91991,2.93897,2.8091600000000003,3.25824,3.22288,3.2276,3.22769,3.24165,3.29089,3.27882,2.51781,2.35587,2.27998,2.41005,2.5736,2.80438,3.62665,2.434,2.28475,2.3729999999999998
Faecalibacterium prausnitzii_A,1.64956,0.08161,0.08161,0.05171,0.08238999999999999,0.00851,0.0,0.08601,0.07911000000000001,0.08602000000000001,0.04895,0.56944,0.56362,1.29561,1.5289,1.5289,2.14263,2.12289,2.1234,2.1149,2.0929,2.13268,2.08507,2.02183,2.02466,2.02229,2.02349,2.0704700000000003,2.08595,2.08292,2.0758900000000002,2.03977,2.01656,2.02922,2.05702,2.0682,2.0655,1.98346,1.98252,2.0981,1.87932,2.0041700000000002,1.97269,2.01018,2.06291,1.9959,3.77439,3.74091,3.75536,3.75834,3.77869,3.75662,3.7541200000000003,3.7414199999999997,3.78245,3.70608,3.78092,3.74755,3.75518,3.7321299999999997,3.7222999999999997,3.72864,3.7499700000000002,3.7522599999999997,3.70416,3.77941,3.70742,3.7036800000000003,3.7227,3.69348,3.71432,3.72282,4.01833,4.0394,4.04558,4.01935,4.03497,4.03821,3.82444,3.82655,3.94426,3.93325,3.9255700000000004,3.9016599999999997,3.67111,3.67299,3.66168,3.6769100000000003,3.6624,3.67109,3.67327,3.6636800000000003,3.5450999999999997,3.57069,3.66474,3.5381799999999997,3.3734,3.37568,3.37101,3.37416,3.37318,3.37541,3.3030999999999997,3.3743499999999997,3.2544,3.24604,3.1194699999999997,3.19477,3.1913799999999997,3.11723,3.40137,2.92345,2.9221399999999997,2.9412,2.8113900000000003,3.2604699999999998,3.22511,3.2298299999999998,3.22992,3.24388,3.29312,3.28105,2.52004,2.3581000000000003,2.28221,2.41228,2.57583,2.80661,3.62888,2.43623,2.2869800000000002,2.37523
Faecalibacterium sp900758465,1.6163699999999999,0.07338,0.07338,0.08318,0.01258,0.08378,0.08601,0.0,0.07088,0.07779,0.08042,0.53625,0.53043,1.26242,1.4957099999999999,1.4957099999999999,2.10944,2.0897,2.09021,2.08171,2.05971,2.09949,2.0518799999999997,1.98864,1.99147,1.9891,1.9903,2.03728,2.05276,2.04973,2.0427,2.00658,1.9833699999999999,1.99603,2.0238300000000002,2.0350099999999998,2.03231,1.95027,1.94933,2.0649100000000002,1.84613,1.97098,1.9395,1.97699,2.02972,1.96271,3.7412,3.70772,3.72217,3.72515,3.7455,3.72343,3.72093,3.70823,3.74926,3.6728899999999998,3.74773,3.71436,3.72199,3.69894,3.68911,3.69545,3.71678,3.71907,3.67097,3.74622,3.6742299999999997,3.67049,3.6895100000000003,3.66029,3.68113,3.68963,3.98514,4.006209999999999,4.01239,3.98616,4.00178,4.00502,3.79125,3.79336,3.91107,3.90006,3.89238,3.86847,3.6379200000000003,3.6398,3.62849,3.64372,3.62921,3.6379,3.64008,3.63049,3.51191,3.5374999999999996,3.63155,3.50499,3.34021,3.3424899999999997,3.33782,3.34097,3.3399900000000002,3.34222,3.26991,3.34116,3.22121,3.21285,3.0862800000000004,3.16158,3.1581900000000003,3.08404,3.36818,2.89026,2.8889500000000004,2.90801,2.7782,3.22728,3.1919199999999996,3.19664,3.1967299999999996,3.21069,3.2599299999999998,3.24786,2.48685,2.32491,2.24902,2.37909,2.54264,2.7734199999999998,3.5956900000000003,2.40304,2.25379,2.34204
Faecalibacterium prausnitzii_H,1.63443,0.048960000000000004,0.048960000000000004,0.07628000000000001,0.06726,0.07688,0.07911000000000001,0.07088,0.0,0.03413,0.07352,0.55431,0.5484899999999999,1.2804799999999998,1.51377,1.51377,2.1275,2.10776,2.10827,2.09977,2.07777,2.11755,2.06994,2.0067,2.00953,2.00716,2.0083599999999997,2.05534,2.07082,2.06779,2.06076,2.0246399999999998,2.00143,2.01409,2.04189,2.05307,2.05037,1.96833,1.96739,2.08297,1.86419,1.98904,1.95756,1.99505,2.04778,1.98077,3.75926,3.72578,3.74023,3.74321,3.76356,3.7414899999999998,3.7389900000000003,3.7262899999999997,3.76732,3.69095,3.76579,3.73242,3.74005,3.7169999999999996,3.7071699999999996,3.71351,3.73484,3.7371299999999996,3.68903,3.76428,3.69229,3.68855,3.70757,3.67835,3.6991899999999998,3.70769,4.0032,4.02427,4.03045,4.00422,4.01984,4.02308,3.80931,3.81142,3.92913,3.91812,3.9104400000000004,3.8865299999999996,3.65598,3.65786,3.64655,3.6617800000000003,3.64727,3.65596,3.65814,3.64855,3.5299699999999996,3.55556,3.64961,3.5230499999999996,3.35827,3.36055,3.35588,3.3590299999999997,3.35805,3.36028,3.2879699999999996,3.3592199999999997,3.23927,3.2309099999999997,3.10434,3.17964,3.17625,3.1021,3.38624,2.90832,2.90701,2.92607,2.79626,3.2453399999999997,3.20998,3.2146999999999997,3.21479,3.22875,3.27799,3.26592,2.5049099999999997,2.34297,2.26708,2.39715,2.5606999999999998,2.79148,3.61375,2.4211,2.27185,2.3601
Faecalibacterium prausnitzii_E,1.64134,0.05587,0.05587,0.08319000000000001,0.07417,0.08379,0.08602000000000001,0.07779,0.03413,0.0,0.08043,0.56122,0.5554,1.2873899999999998,1.52068,1.52068,2.13441,2.11467,2.11518,2.10668,2.0846799999999996,2.12446,2.07685,2.01361,2.01644,2.01407,2.01527,2.0622499999999997,2.07773,2.0747,2.0676699999999997,2.03155,2.00834,2.021,2.0488,2.05998,2.05728,1.9752399999999999,1.9743,2.08988,1.8711,1.99595,1.96447,2.00196,2.05469,1.98768,3.76617,3.73269,3.74714,3.75012,3.7704700000000004,3.7484,3.7459000000000002,3.7332,3.77423,3.6978600000000004,3.7727000000000004,3.73933,3.74696,3.72391,3.71408,3.72042,3.74175,3.74404,3.6959400000000002,3.77119,3.6992000000000003,3.69546,3.71448,3.6852600000000004,3.7061,3.7146,4.01011,4.03118,4.03736,4.01113,4.02675,4.02999,3.8162200000000004,3.8183300000000004,3.93604,3.92503,3.9173500000000003,3.89344,3.66289,3.66477,3.65346,3.6686900000000002,3.65418,3.66287,3.66505,3.65546,3.53688,3.5624700000000002,3.6565200000000004,3.52996,3.36518,3.3674600000000003,3.3627900000000004,3.36594,3.36496,3.36719,3.29488,3.36613,3.24618,3.23782,3.11125,3.18655,3.18316,3.10901,3.3931500000000003,2.91523,2.91392,2.9329799999999997,2.80317,3.25225,3.2168900000000002,3.22161,3.2217000000000002,3.23566,3.2849000000000004,3.27283,2.51182,2.3498799999999997,2.27399,2.40406,2.56761,2.79839,3.62066,2.42801,2.27876,2.36701
