,Flavonifractor plautii,Faecalibacterium prausnitzii_C,Faecalibacterium prausnitzii,Faecalibacterium sp900539885,Faecalibacterium prausnitzii_G,Faecalibacterium prausnitzii_J,Faecalibacterium prausnitzii_A,Faecalibacterium sp900758465,Faecalibacterium prausnitzii_H,Faecalibacterium prausnitzii_E,Faecalibacterium prausnitzii_F,Gemmiger formicilis,Gemmiger sp900540775,Anaerotruncus colihominis,Ruminococcus_E bromii_B,Ruminococcus_E bromii,Blautia_A obeum,Blautia_A wexlerae,Blautia_A wexlerae_B,Agathobacter sp900317585,Mediterraneibacter faecis,Mediterraneibacter torques,Mediterraneibacter lactaris,Enterocloster bolteae,Enterocloster citroniae,Enterocloster asparagiformis,Enterocloster clostridioformis,Coprococcus eutactus,Dorea_A longicatena_B,Dorea_A longicatena,Lachnospira eligens_A,Roseburia inulinivorans,Roseburia intestinalis,Anaerostipes hadrus,Eubacterium_G ventriosum,Bariatricus comes,Bariatricus comes_A,Anaerobutyricum hallii,Anaerobutyricum soehngenii,Dorea formicigenerans,Coprococcus_A catus,Eubacterium_I ramulus,Clostridium_Q symbiosum,Bacteroides_F pectinophilus,Ruminococcus_B gnavus,Hungatella effluvii,Bacteroides uniformis,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides timonensis,Bacteroides stercoris,Bacteroides sp900552405,Bacteroides intestinalis_A,Bacteroides xylanisolvens,Bacteroides eggerthii,Bacteroides fragilis,Bacteroides fluxus,Bacteroides finegoldii,Bacteroides intestinalis,Bacteroides faecis,Bacteroides nordii,Bacteroides salyersiae,Bacteroides sp902362375,Bacteroides oleiciplenus,Bacteroides fragilis_A,Bacteroides clarus,Phocaeicola dorei,Phocaeicola vulgatus,Phocaeicola plebeius,Phocaeicola massiliensis,Phocaeicola coprocola,Phocaeicola coprophilus,Prevotella sp900313215,Prevotella sp900551275,Prevotella copri_A,Prevotella stercorea,Prevotella sp015074785,Prevotella copri,Paraprevotella clara,Paraprevotella xylaniphila,Alistipes onderdonkii,Alistipes finegoldii,Alistipes shahii,Alistipes putredinis,Alistipes_A indistinctus,Parabacteroides distasonis,Parabacteroides goldsteinii,Parabacteroides distasonis_A,Parabacteroides gordonii,Parabacteroides merdae,Parabacteroides johnsonii,Parabacteroides timonensis,Butyricimonas virosa,Odoribacter splanchnicus,Barnesiella intestinihominis,Parasutterella excrementihominis,Escherichia coli,Escherichia fergusonii,Escherichia ruysiae,Escherichia sp005843885,Escherichia coli_E,Escherichia albertii,Hafnia alvei,Klebsiella pneumoniae,Akkermansia muciniphila,Akkermansia muciniphila_B,Erysipelatoclostridium ramosum,Catenibacterium sp000437715,Catenibacterium mitsuokai,Holdemania filiformis,Holdemanella biformis,Streptococcus salivarius,Streptococcus sp001556435,Streptococcus thermophilus,Adlercreutzia celatus_A,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Bifidobacterium catenulatum,Bifidobacterium ruminantium,Bifidobacterium bifidum,Desulfovibrio sp900556755,Bilophila wadsworthia,Dialister invisus,Veillonella parvula_A,Phascolarctobacterium_A succinatutens,Acidaminococcus fermentans,Mitsuokella multacida,Ligilactobacillus ruminis,Sutterella wadsworthensis,Acidaminococcus intestini,Phascolarctobacterium_A succinatutens_A,Megasphaera elsdenii
Flavonifractor plautii,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,3.0,6.0,5.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,13.0,13.0,13.0,12.0,10.0,11.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,8.0,8.0,7.0
Faecalibacterium prausnitzii_C,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,3.0,6.0,5.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,13.0,13.0,13.0,12.0,10.0,11.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,8.0,8.0,7.0
Faecalibacterium prausnitzii,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,3.0,6.0,5.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,13.0,13.0,13.0,12.0,10.0,11.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,8.0,8.0,7.0
Faecalibacterium sp900539885,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,3.0,6.0,5.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,13.0,13.0,13.0,12.0,10.0,11.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,8.0,8.0,7.0
Faecalibacterium prausnitzii_G,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,3.0,6.0,5.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,13.0,13.0,13.0,12.0,10.0,11.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,8.0,8.0,7.0
Faecalibacterium prausnitzii_J,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,3.0,6.0,5.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,13.0,13.0,13.0,12.0,10.0,11.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,8.0,8.0,7.0
Faecalibacterium prausnitzii_A,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,3.0,6.0,5.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,13.0,13.0,13.0,12.0,10.0,11.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,8.0,8.0,7.0
Faecalibacterium sp900758465,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,3.0,6.0,5.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,13.0,13.0,13.0,12.0,10.0,11.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,8.0,8.0,7.0
Faecalibacterium prausnitzii_H,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,3.0,6.0,5.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,13.0,13.0,13.0,12.0,10.0,11.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,8.0,8.0,7.0
Faecalibacterium prausnitzii_E,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,5.0,3.0,6.0,5.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,12.0,13.0,13.0,13.0,12.0,10.0,11.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,7.0,8.0,6.0,6.0,10.0,8.0,8.0,7.0
