,Flavonifractor plautii,Faecalibacterium prausnitzii_C,Faecalibacterium prausnitzii,Faecalibacterium sp900539885,Faecalibacterium prausnitzii_G,Faecalibacterium prausnitzii_J,Faecalibacterium prausnitzii_A,Faecalibacterium sp900758465,Faecalibacterium prausnitzii_H,Faecalibacterium prausnitzii_E,Faecalibacterium prausnitzii_F,Gemmiger formicilis,Gemmiger sp900540775,Anaerotruncus colihominis,Ruminococcus_E bromii_B,Ruminococcus_E bromii,Blautia_A obeum,Blautia_A wexlerae,Blautia_A wexlerae_B,Agathobacter sp900317585,Mediterraneibacter faecis,Mediterraneibacter torques,Mediterraneibacter lactaris,Enterocloster bolteae,Enterocloster citroniae,Enterocloster asparagiformis,Enterocloster clostridioformis,Coprococcus eutactus,Dorea_A longicatena_B,Dorea_A longicatena,Lachnospira eligens_A,Roseburia inulinivorans,Roseburia intestinalis,Anaerostipes hadrus,Eubacterium_G ventriosum,Bariatricus comes,Bariatricus comes_A,Anaerobutyricum hallii,Anaerobutyricum soehngenii,Dorea formicigenerans,Coprococcus_A catus,Eubacterium_I ramulus,Clostridium_Q symbiosum,Bacteroides_F pectinophilus,Ruminococcus_B gnavus,Hungatella effluvii,Bacteroides uniformis,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides timonensis,Bacteroides stercoris,Bacteroides sp900552405,Bacteroides intestinalis_A,Bacteroides xylanisolvens,Bacteroides eggerthii,Bacteroides fragilis,Bacteroides fluxus,Bacteroides finegoldii,Bacteroides intestinalis,Bacteroides faecis,Bacteroides nordii,Bacteroides salyersiae,Bacteroides sp902362375,Bacteroides oleiciplenus,Bacteroides fragilis_A,Bacteroides clarus,Phocaeicola dorei,Phocaeicola vulgatus,Phocaeicola plebeius,Phocaeicola massiliensis,Phocaeicola coprocola,Phocaeicola coprophilus,Prevotella sp900313215,Prevotella sp900551275,Prevotella copri_A,Prevotella stercorea,Prevotella sp015074785,Prevotella copri,Paraprevotella clara,Paraprevotella xylaniphila,Alistipes onderdonkii,Alistipes finegoldii,Alistipes shahii,Alistipes putredinis,Alistipes_A indistinctus,Parabacteroides distasonis,Parabacteroides goldsteinii,Parabacteroides distasonis_A,Parabacteroides gordonii,Parabacteroides merdae,Parabacteroides johnsonii,Parabacteroides timonensis,Butyricimonas virosa,Odoribacter splanchnicus,Barnesiella intestinihominis,Parasutterella excrementihominis,Escherichia coli,Escherichia fergusonii,Escherichia ruysiae,Escherichia sp005843885,Escherichia coli_E,Escherichia albertii,Hafnia alvei,Klebsiella pneumoniae,Akkermansia muciniphila,Akkermansia muciniphila_B,Erysipelatoclostridium ramosum,Catenibacterium sp000437715,Catenibacterium mitsuokai,Holdemania filiformis,Holdemanella biformis,Streptococcus salivarius,Streptococcus sp001556435,Streptococcus thermophilus,Adlercreutzia celatus_A,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Bifidobacterium catenulatum,Bifidobacterium ruminantium,Bifidobacterium bifidum,Desulfovibrio sp900556755,Bilophila wadsworthia,Dialister invisus,Veillonella parvula_A,Phascolarctobacterium_A succinatutens,Acidaminococcus fermentans,Mitsuokella multacida,Ligilactobacillus ruminis,Sutterella wadsworthensis,Acidaminococcus intestini,Phascolarctobacterium_A succinatutens_A,Megasphaera elsdenii
Flavonifractor plautii,0.0,117.88092569644927,0.14480295923842149,20.049506768587833,1.2240118033046996,30.522176996663735,1.2322973995258097,1.306175758376392,84.95586764875428,5.114408263659269,2.8954393626391157,203.0888976730842,1.3053336344843245,1.2779535864165636,2.7401115873373127,2.7610735857119684,1.2110061811515562,1.3104332648210877,1.3097449241512564,25400.60275173797,0.8328135050477936,1223736.2493378492,1.2196248531446656,1.3087592726252193,1.2240306465047543,1.2798422115375547,27.0038407797798,1.3112739457569165,1.30936942044275,1.0455297405447608,1.275083021012788,83.46622117097583,12.380688725724143,1.0847627682716525,1.260409698033728,445.8828427591483,1.2901039676417845,2.2809395769825627,1.2666393752674938,8.67628055978993,0.2741519937491968,0.7568387230041211,1.1710607654981957,2.6396139465890007,10.91559454932827,0.23237145161886422,33114.55147814696,26.41007141834746,4.085972880770507,1.2765393672972323,141153.32135936865,77908.13828914409,2.100255501059733e+22,6339168.897735994,109.14730428157861,2.8440285570555716e+19,1085406.8619890257,8997338257.968172,6336530.62456972,1.2568312112950868,1.2955109627802883,0.985586142181673,1.302022325439644,0.9636981935487923,148104007.87784967,39537.59005389494,4782.601292398272,92.23496164567705,0.93831181398106,1.25602361163015,36448533.83395572,130.4546795621357,119.51851700908132,1.3112908225158426,118606217.61358514,2.8275011218870825,2313.0451461302414,32306.48573463789,1.2934593939077201,1.2932031569380913,1.2748226573368742,1.2330408446836139,24.37014572144389,39.64011720653506,1518375.627603351,168.37698015521545,1.016060675474492,1.4355951037001757,1.2741057128232665,1.2467566082519996,14.001270928686143,0.2954055173367547,0.2705462797789694,1.209049213770666,677403.0742053544,1.2345233610109245,34662.967039266056,3007.374152010498,78105.22115615394,3625.7242147607167,2235.6708794901797,0.9782884598406104,0.6915163382485987,2714.1534091359617,756.9557473942597,0.6134131364658617,1.311448022307161,1.3113870511107315,1.311398332503001,1.157754890015228,1.3114261507707685,4.7588777301862715,0.4509465822825912,2.803256496551825,3.0200070871251907,3512669.438923022,1.3113641778244072,1.3060974249588158,111.27002817468808,1608.3982743875597,2.6781079382065878,18.156463915769166,2.7267491640237735,1.2786890596076763,3.411156182980754,1.2729261802350058,1.304698636078072,1.3091890432660616,1.7621521376917466,1.8883457419652785,2.7081987967314487,1.147034999305239
Faecalibacterium prausnitzii_C,117.88092569644927,0.0,117.97857954503344,97.887411718874,119.0568583343985,87.41523066228407,119.06482531700546,119.13217317176911,32.949512562738555,112.7989911567758,115.00700701206428,85.24434693065376,119.1311961201714,116.78276543908602,118.88026706858555,118.94577951775788,119.0447660765462,119.13531221926108,119.13481095840014,25284.539833825467,117.0584184111992,1223622.6341899778,119.05266136327674,119.13401234070842,119.05660847131588,119.10859652668796,90.97258468648386,119.13566748400392,119.1346291745779,116.84769922320118,119.11078297380823,34.45603402961566,105.54697902132617,118.92496574736252,119.09766407551349,328.1509242815709,119.11831074235242,115.62146526614849,119.10350981393333,109.24490087373339,117.61842458391696,117.20522039418388,119.00709247618715,118.29499418455698,107.00761720725546,118.09003233832348,32998.725800049266,91.51438538134452,113.81837807119706,119.11176256964355,141038.32092185572,77792.78426478368,2.100255501059733e+22,6339056.305405321,8.734521446692819,2.8440285570555716e+19,1085293.1627359784,8997338149.827673,6336418.035466414,119.09461090118396,119.12406493865728,118.83950324350037,119.12828221059314,118.81150543413952,148103897.32695046,39421.86497575308,4665.773047879199,25.646438447279237,118.78297864426101,119.09197669047194,36448422.327687316,12.607389193647299,1.853229534647261,119.13572515558592,118606106.68066537,118.90250277886202,2195.777112351156,32190.447233584164,119.12086447606896,119.12059705196002,118.94763565275501,118.99364246070425,93.56123287881991,78.628435708549,1518262.091973808,50.52792040487476,118.86104650693854,116.45337106948865,119.10399153213218,119.0777030881082,103.91993300046252,118.15650751728104,118.14519873238858,119.0166678599665,677289.0129574173,119.03084908356841,34547.19527704275,2890.2594396171903,77989.91937424953,3508.811351987737,2118.558934800467,118.82403431519614,118.53925206608257,2597.055487739359,639.4111923280137,118.46458428720041,119.13573492656654,119.13573107253983,119.13572212415966,118.99492300360554,119.13573372729235,113.21246373252336,117.73247578875484,118.91973634095457,116.49994352525701,3512556.5243393052,119.13572968399761,119.13185708201195,7.2689190722327695,1491.1231314527017,117.39741102295292,99.80728706543852,118.74464866196807,119.00249574539004,115.77519326577472,119.01056788685884,119.13091096225205,119.13407571592992,118.94935436092403,118.94650059742301,118.76267432408112,118.99233848969828
Faecalibacterium prausnitzii,0.14480295923842149,117.97857954503344,0.0,20.151600659996358,1.1080299897180623,30.623267208875397,1.1163823024655815,1.1895742045531954,85.05436311416473,5.218984718934463,3.0003683928256875,203.18548016686722,1.1885644649909928,1.4155869147009104,2.769748539737825,2.7869241081014247,1.095153244237132,1.1934677333881571,1.1928281730279973,25400.688440631446,0.9382507053762934,1223736.3285092518,1.1035384787353026,1.191876923762677,1.1079074848367476,1.1635359669944614,27.106374354424492,1.1939937930148548,1.1926104016913426,1.1512433520897654,1.1661840900876512,83.56504819223264,12.483607013054081,0.9691188383593317,1.1563662660267935,445.97760250017234,1.1739208932183882,2.386907655358729,1.1605089086180616,8.779854055268167,0.3667921738603717,0.8930601124383819,1.055471842854823,2.6998918643908167,11.01869962231912,0.11184469244016247,33114.63639173711,26.511025995772272,4.19010437863988,1.1678816518495287,141153.40387249243,77908.22178024636,2.100255501059733e+22,6339168.974781842,109.24487994643401,2.8440285570555716e+19,1085406.9413460484,8997338258.03778,6336530.701609205,1.1514497785174247,1.1800724118278412,0.8817498851895026,1.1852650112751926,0.8496580732097293,148104007.95119935,39537.67465101045,4782.689969874674,92.33270831631812,0.8226016595933353,1.15493158464589,36448533.908960246,130.5518336733756,119.6166628023572,1.1940726969996802,118606217.68758267,2.8596177493719073,2313.1360700990786,32306.57133629288,1.1769618943616198,1.1766775153753803,1.231302656483946,1.1703654758459476,24.471537340377274,39.748358073170216,1518375.7066008376,168.47382778268027,0.9015510859880996,1.5383111795678561,1.1581564553108028,1.13052590483243,14.103510093454625,0.1786932563538486,0.1831701391626093,1.1309828919858178,677403.154383476,1.1597217273940659,34663.05178335181,3007.464222976576,78105.30449944365,3625.8133015124254,2235.7609909915477,0.8638868389942223,0.5739642379607328,2714.243412891111,757.0487345720942,0.4958874545258161,1.194113706151678,1.1940954310600544,1.194083292080334,1.0420174553915866,1.1941068240098531,4.874426123073119,0.5787043024876666,2.8329538456216854,3.13858210718486,3512669.516614382,1.1940896417018423,1.1893436108095778,111.36976345152692,1608.4893166463164,2.7746383519546445,18.259897627580614,2.765026531037115,1.223712992109148,3.5373999045361537,1.2142012636704094,1.188186418221581,1.1919907341064353,1.758030850665633,1.88895734359629,2.7443922859182077,1.0388406427874137
Faecalibacterium sp900539885,20.049506768587833,97.887411718874,20.151600659996358,0.0,21.24549811434263,10.47991108649718,21.253641985558378,21.32320509992143,64.94667132935083,14.941358686176626,17.15905038088417,183.1181128302059,21.32220537176552,18.94162697702617,21.185038611064492,21.25183193290968,21.2330857074856,21.326568530369485,21.32602697820279,25381.13959012129,19.2212562879298,1223717.3160341582,21.24118283089811,21.325180550470325,21.245282469030602,21.29873359978029,6.955802578105436,21.32696255286761,21.32583445510195,19.008821693882304,21.300026276020056,63.45117400726333,7.672111226666005,21.11054787753625,21.286040054120903,425.962775054612,21.30872449763787,17.77482305886601,21.292257614759944,11.377955422893647,19.787524366156344,19.365119867471552,21.194540156248554,20.597228483883182,9.13691940112867,20.262788465280508,33095.14276867914,6.373388247249909,15.967331134658938,21.30110896596744,141134.09591199236,77888.83546864497,2.100255501059733e+22,6339150.172466572,89.15657215561124,2.8440285570555716e+19,1085387.9113351917,8997338240.106592,6336511.8999488605,21.282969048524354,21.314619708670705,21.02162915160026,21.31915944996774,20.994390179976527,148103989.55532813,39518.20422119247,4762.950973713896,72.2422899255697,20.96625607732886,21.280096309947115,36448515.32468223,110.47266885356326,99.51352385215502,21.327027865173736,118606199.21671177,21.214980615426157,2293.277144979044,32287.0285032913,21.31143210895788,21.311156044589314,21.136159946634635,21.180001420660748,4.327234121436992,19.704710252866015,1518356.710671907,148.4016022597885,21.045031319725997,18.61621883038513,21.293868764641786,21.26698522204457,6.0485306253069195,20.32982219392623,20.31705037545446,21.202316168404998,677384.0483834617,21.217224990093317,34643.57055293858,2987.6485081522815,78085.92980833372,3606.0512718857967,2215.943881594709,21.007590764692143,20.719554940551998,2694.431480490824,737.0999455529533,20.64336407817088,21.32704111927632,21.327035607747376,21.327025115491423,21.181886294722826,21.32703925592202,15.349418147809883,19.898379543543957,21.229885101555055,18.80104675691077,3512650.6486544954,21.32703377729648,21.322904478270864,91.24266460704365,1588.6255354120028,19.696810436007848,1.9309621215813886,21.049856344387873,21.190601984617413,18.076025122907584,21.19852300807245,21.32189516165172,21.325248386819208,21.166121625472925,21.172656597900648,21.066165048114012,21.178054006122988
Faecalibacterium prausnitzii_G,1.2240118033046996,119.0568583343985,1.1080299897180623,21.24549811434263,0.0,31.713889090670975,0.008492034422197533,0.08351767420381045,86.13583954515916,6.320977602855944,4.104489157722439,204.25947369314753,0.08260469953564104,2.4572127185284023,2.6558377089982526,2.6434760919620803,0.013109766901021119,0.08814598972167999,0.08735965261294212,25401.70842447375,2.045920750850038,1223737.3067881113,0.006039588488778517,0.08628586323398271,0.0022652901256546287,0.05647487227903772,28.200956919849816,0.08923205192192579,0.08709327488511251,2.2586585636592456,0.11940632111506999,84.647582217941,13.580411520231744,0.13997359157001107,0.17183703566290906,447.04395354540975,0.06701130639083797,3.4926188344033653,0.14903028073685518,9.878749572573064,1.4745436526415532,1.9599408353717964,0.05316484310324458,2.837012769362913,12.11597310345032,1.0003007763402878,33115.651773796744,27.60144917158477,5.292038450044447,0.12438458344585696,141154.40438450233,77909.22846275115,2.100255501059733e+22,6339169.938006169,110.32291618327737,2.8440285570555716e+19,1085407.9209061612,8997338258.942854,6336531.664787417,0.15410795416573247,0.07508013930746713,0.26990231374806006,0.07912848120764705,0.2613564948518399,148104008.88658357,39538.688125946115,4783.726772341617,93.41145778223579,0.28628855740397596,0.20696861948154324,36448534.85706804,131.62820923550674,120.69672151110613,0.08920990314222178,118606218.62799764,2.7439952867519475,2314.1845168834816,32307.590806038217,0.07031586894480213,0.07005297060447108,0.7917123691315939,0.5963482586262646,25.56330655990387,40.84337711053903,1518376.6836744123,169.54881591026395,0.20878783927077027,2.642708407377515,0.050956925574402304,0.023083186002931067,15.198402731912472,0.9335409394174945,0.9546687950821497,0.44141071361594647,677404.1395461375,0.4805465402958053,34664.06614604433,3008.5083486463527,78106.31025931316,3626.8522904223764,2236.805334540077,0.2462105631333009,0.5342659637790641,2715.2871988852403,758.1071000069278,0.6126915332256163,0.08949452089151186,0.08938182181520955,0.08941326136279593,0.06752077317725937,0.08945635625698818,5.977425015848809,1.4856165682921205,2.7065980064482527,3.8315844631245346,3512670.4844849785,0.08933101907118947,0.0834506313775155,112.45424506435785,1609.5383725798358,3.240254436498735,19.35708727705502,2.713039722804217,0.6855020007225537,4.35329382494183,0.6502945999082221,0.08212513984258883,0.08693189308324643,1.4958465537979142,1.6510483427045874,2.6824658565101482,0.12364259554822328
Faecalibacterium prausnitzii_J,30.522176996663735,87.41523066228407,30.623267208875397,10.47991108649718,31.713889090670975,0.0,31.72199357412783,31.791034404871557,54.471236441343876,25.418203359408544,27.634432786386498,172.6508287406261,31.790039384285265,29.414342544862397,31.60380014952577,31.670572169500726,31.701550460158256,31.794340954041587,31.79380968031893,25370.864160018114,29.694931139569892,1223707.2786776614,31.70960126770437,31.79297515984042,31.71366434040187,31.76677664248354,3.572543593660662,31.7947245498695,31.793619892675434,29.482806507463536,31.76828594261923,52.97417849841649,18.15083315450498,31.579628971648134,31.75447553807445,415.5097290550286,31.776703916337265,28.250123267653287,31.76061994763317,21.85585754470008,30.25996304460681,29.839046056887998,31.663202035763398,31.013795640351557,19.615047855305306,30.734573450104623,33084.89094565868,4.112470022550857,26.44300506778653,31.7693394942101,141123.92518015264,77878.63019727878,2.100255501059733e+22,6339140.232241716,78.68569382188134,2.8440285570555716e+19,1085377.865949123,8997338230.581837,6336501.9600291075,31.75141876285396,31.782567385104528,31.49149912298711,31.787025576427286,31.464078758950077,148103979.8067911,39507.96237850437,4752.597327002109,61.77186950720172,31.435830172140218,31.748559277306118,36448505.48673914,100.00369827936578,89.03797570832634,31.79478791876385,118606189.43248086,31.630496965554,2282.877014830698,32276.755579423432,31.779372995668012,31.779098882866876,31.60287337909617,31.648028939195356,6.15352175954234,9.537550055984656,1518346.6809021654,137.93360696301852,31.514474760682837,29.08963624892916,31.761975907278263,31.735225905692204,16.525543647847634,30.801504966897607,30.78906993961292,31.670968103846057,677373.9683520581,31.685603092498827,34633.32406765627,2977.264783278897,78075.72964285832,3595.68863424681,2205.560025148433,31.47711988386517,31.18972973562754,2684.0493704422165,726.6685022260156,31.11387503958098,31.794800054121655,31.794795059850518,31.794784953588696,31.650663416114618,31.79479839693571,25.825461510085795,30.370776821656662,31.646593332332998,29.21064169275798,3512640.6779220025,31.79479337628961,31.790729056614417,80.76312485003257,1578.2241215325248,30.11078326909613,12.39411884217613,31.4674697065286,31.657874825706404,28.483250840851777,31.665965130031946,31.789735773050033,31.79304148133501,31.621073404532538,31.623816849156746,31.484697271644112,31.647133752584676
Faecalibacterium prausnitzii_A,1.2322973995258097,119.06482531700546,1.1163823024655815,21.253641985558378,0.008492034422197533,31.72199357412783,0.0,0.07528615149003604,86.14384089078871,6.329228792347182,4.112772462861611,204.26739540027677,0.07442986553419463,2.4650303350040477,2.6559126698438953,2.643319778457806,0.021408926337167247,0.08004557950531972,0.07924112642295783,25401.715830988946,2.054257658336841,1223737.3138289056,0.013676477204413812,0.07814926919402135,0.009120074277484957,0.04821223631093836,28.209106125230736,0.08124705373693894,0.07893841099012543,2.266991859507237,0.11487610214362419,84.65559447999611,13.58859304383343,0.1483490553569642,0.16919565206447912,447.0517973259872,0.05866992292390231,3.5009229421341805,0.14572129543483572,9.886958374736178,1.4828898765729852,1.967982123464348,0.06145557560894542,2.8388964432028465,12.12416006789988,1.0086619619847381,33115.65913899328,27.609552514120445,5.300291931120814,0.11992795863974273,141154.41161794588,77909.23575055426,2.100255501059733e+22,6339169.94491901,110.33088090070392,2.8440285570555716e+19,1085407.9279579325,8997338258.949287,6336531.6716998685,0.15145639201181996,0.06680043310396801,0.2768658504548613,0.0709532121103026,0.26967074728989865,148104008.89326423,39538.69547409701,4783.734332518799,93.4194303897865,0.2946556571951466,0.20491797402944062,36448534.86385415,131.63615634474712,120.70470696706133,0.08120527919213297,118606218.63471985,2.743967079188164,2314.1921862662434,32307.598207917374,0.06207975448915157,0.061837072870572746,0.7924408514619834,0.5967805861897671,25.571425317351217,40.851477831176936,1518376.690704893,169.55674801266844,0.2171034175057809,2.651003912399571,0.04262913149719067,0.015069363655214092,15.206561167614925,0.9419018283009091,0.9629336363872243,0.4417216209245641,677404.146646079,0.4804914294912221,34664.07350212505,3008.5159771906374,78106.31753896199,3626.859870928311,2236.812965202354,0.25451847609278455,0.5426271268831845,2715.2948242649154,758.1148649662211,0.62105461830148,0.08154002356915466,0.08140465059329792,0.08144464885967644,0.07580717789402858,0.08149260818232566,5.985625379259979,1.493172229802725,2.706519606637098,3.836973819149286,3512670.491437113,0.0813480544229369,0.0752756221091362,112.4622725032781,1609.546047856952,3.2442797255242244,19.3652689289391,2.7135564406534214,0.6856591854288863,4.359431171709255,0.6503783934827551,0.07388248587343682,0.07891307696898484,1.4959935070532822,1.651166136986528,2.682933100671055,0.1281344629567396
Faecalibacterium sp900758465,1.306175758376392,119.13217317176911,1.1895742045531954,21.32320509992143,0.08351767420381045,31.791034404871557,0.07528615149003604,0.0,86.21159692644198,6.40036548580704,4.184454737659587,204.33421690652003,0.003345843140473303,2.5374856583882526,2.667807550710667,2.6530981566468004,0.09656665390674814,0.006795438565148036,0.005829886160856896,25401.777208546755,2.127105900895914,1223737.3716711001,0.08822711239543513,0.004891443419456236,0.08351860345238225,0.0271868706839129,28.278740873726992,0.01181788768680731,0.004793477496416355,2.339693772019296,0.11487130722734017,84.72349120116097,13.658672895564466,0.22315582373612775,0.1790248818689961,447.11773841548467,0.01722302760540979,3.5730074527393487,0.15212876925389593,9.957443376536977,1.5558601637046194,2.0413356929614546,0.13642579392571905,2.866519040654408,12.194339314150954,1.0823136755924976,33115.72010745853,27.678581018253414,5.371472695040973,0.11893813273000861,141154.47129977355,77909.295960116,2.100255501059733e+22,6339170.00156223,110.39820235896606,2.8440285570555716e+19,1085407.9859037767,8997338259.001564,6336531.728339467,0.1628132646846507,0.021270348801821805,0.3474094724035616,0.006247767798180264,0.344426679805288,148104008.9477703,39538.756274616644,4783.797259159222,93.48684614310342,0.36898018664136584,0.21659353134969886,36448534.91932519,131.70327165655277,120.77227238104584,0.01058860060094956,118606218.68960527,2.75551995571019,2314.256245345337,32307.6595394247,0.013359530338592301,0.01372427781661416,0.8165175940613001,0.6203231877543647,25.6406535918899,40.921501301268854,1518376.7484498208,169.62369740632178,0.2919149510787062,2.7229351587102317,0.03378072446225342,0.060495760936096134,15.276325614295315,1.0156742817424738,1.0370251334415028,0.4661586963363872,677404.2050483597,0.5014963629020025,34664.134380723706,3008.5796093549047,78106.37766909655,3626.923006401898,2236.8766196916363,0.32913266349601666,0.6162253723584062,2715.3584235255184,758.1799457725939,0.6947732693529177,0.01259542760507676,0.011895357640107138,0.012347002215553335,0.15080325435562986,0.012380678708674358,6.057984435203107,1.5649760931403143,2.7173733931518504,3.8918854575891273,3512670.548446795,0.011517822990655848,0.002513992416241302,112.53041634146976,1609.6101690321914,3.288930331426286,19.435357990082352,2.729612364348016,0.7061991907084093,4.419464306001377,0.6704028790933901,0.0023779570768539438,0.01141964471989452,1.5106662093517857,1.6646516234442323,2.698366860335898,0.1892857016985452
Faecalibacterium prausnitzii_H,84.95586764875428,32.949512562738555,85.05436311416473,64.94667132935083,86.13583954515916,54.471236441343876,86.14384089078871,86.21159692644198,0.0,79.86740320141261,82.07790801379502,118.19346769039258,86.21061523683221,83.85454839217833,85.96715491561469,86.03304926044953,86.12368699408371,86.21477433560418,86.21426623416126,25317.147922168853,84.13201193657065,1223654.6510981133,86.13162046289148,86.21345929071876,86.1355951789088,86.18785749351032,58.026155889797124,86.2151358293259,86.21408261332746,83.92089949424279,86.1898889752996,1.5355126449436276,72.61024788788441,86.0033600345985,86.17659657361402,361.09030584883726,86.19762390611454,82.692806720305,86.18251801992096,76.31058289973993,84.69336365409065,84.27805541776988,86.08584627099921,85.37992727220444,74.0720242498976,85.16581372058764,33031.27903390689,58.57333034715224,80.8883327066218,86.19088437480413,141070.6785894456,77825.22665360336,2.100255501059733e+22,6339088.064581888,24.227811696698858,2.8440285570555716e+19,1085325.2006427378,8997338180.43174,6336449.793823436,86.1735451052254,86.20340531814966,85.917249809795,86.20767775379159,85.88938129720881,148103928.5617811,39454.39480004601,4698.548834270928,7.346392911304735,85.86090915308522,86.17084348446265,36448453.80928555,45.5480079192524,34.566902587229436,86.21519478392757,118606138.01442878,85.9899406449843,2228.6419089063784,32223.049991790846,86.20020429546872,86.19993520829482,86.02559805415075,86.0716882371559,60.61977917564773,45.71957527086852,1518294.0890051802,83.47636684763094,85.9391357979749,83.52674938543831,86.18320679208229,86.15680351622295,70.98333344198313,85.23241552388333,85.22083700811453,86.09485329513004,677321.1408527248,86.10910881185569,34579.7359214341,2923.094167820922,78022.34926481821,3541.6041422932617,2151.391301251391,85.90203271964077,85.61655539303035,2629.886143144433,672.3220228405371,85.54158929225238,86.21520499724808,86.21520093211153,86.21519172301387,86.0735884823605,86.21520371470595,80.27886301571444,84.80640544696149,86.00712618000516,83.58107450930899,3512588.3651523134,86.21519948719973,86.2112828826176,26.34999701531592,1523.9870555445266,84.48019199668548,66.86473234772613,85.83103331686938,86.08065879891835,82.85518950530373,86.08878199479868,86.21032596841752,86.2135232047553,86.02942567226181,86.02733915672755,85.84904500037445,86.07078534977617
Faecalibacterium prausnitzii_E,5.114408263659269,112.7989911567758,5.218984718934463,14.941358686176626,6.320977602855944,25.418203359408544,6.329228792347182,6.40036548580704,79.86740320141261,0.0,2.2196130200826327,198.0162418022007,6.399354916396252,4.0389932359759335,6.627119659454601,6.688760122770218,6.3083514957657485,6.4039213306186165,6.403344662697571,25395.69244034417,4.284207170683275,1223731.4910362246,6.31658184664853,6.4024589502463085,6.3207944423581255,6.37523596750396,21.893859300086692,6.404354479566262,6.403142961915933,4.071193170168373,6.376034663165331,78.37555594337903,7.2698132842276415,6.184099235196719,6.36193653231115,440.8289134213523,6.38541064739376,2.8350701023070393,6.36817238033751,3.563871897320664,4.853195690735453,4.435532109637309,6.269253505418883,6.098543741106491,5.804689182448098,5.329629970015185,33109.65717028097,21.307082323920987,1.0289807482199753,6.377245982186347,141148.4801765146,77903.27480961614,2.100255501059733e+22,6339164.197498709,104.06613266058142,2.8440285570555716e+19,1085402.0988131757,8997338253.503574,6336525.92451244,6.358683481726824,6.39139926376118,6.093245014264064,6.396207145387973,6.066260690332612,148104003.2884041,39532.70244018991,4777.634707845321,87.15257037554518,6.038554614993921,6.356298943339639,36448529.19336846,125.37705950768915,114.43243967959395,6.4044261570165375,118606213.00382222,6.679043129829615,2308.0419342196483,32301.577189526553,6.388245418353901,6.3879641297363445,6.235549927015738,6.266916637599459,19.26494371377298,34.54583014061195,1518370.873896758,163.30231077696558,6.117567053330216,3.6807785850678245,6.370164948909641,6.342911337956683,8.893121831418739,5.396858162028631,5.383332690502625,6.28242403130839,677398.2898491696,6.299262872291417,34658.07630699698,3002.3842741352273,78100.36099069015,3620.750627361895,2230.6804242193007,6.079938306963086,5.79048569900628,2709.1646314627556,751.9236676375699,5.713386281251572,6.404444949584286,6.404436865703309,6.404425173721683,6.256249986139069,6.404442062267395,0.6860176202394024,4.9764693164680684,6.6837410005148685,4.544514233618578,3512664.7206146875,6.4044342809227235,6.4000848218586786,106.17505291756761,1603.3933482920788,5.2950470266785805,13.044125399908499,6.510714411909981,6.28338414169572,3.9610743641837454,6.289351919112401,6.399021355698024,6.402534900625988,6.352438227250836,6.385802443371442,6.518633274995577,6.251636509788204
