,Flavonifractor plautii,Faecalibacterium prausnitzii_C,Faecalibacterium prausnitzii,Faecalibacterium sp900539885,Faecalibacterium prausnitzii_G,Faecalibacterium prausnitzii_J,Faecalibacterium prausnitzii_A,Faecalibacterium sp900758465,Faecalibacterium prausnitzii_H,Faecalibacterium prausnitzii_E,Faecalibacterium prausnitzii_F,Gemmiger formicilis,Gemmiger sp900540775,Anaerotruncus colihominis,Ruminococcus_E bromii_B,Ruminococcus_E bromii,Blautia_A obeum,Blautia_A wexlerae,Blautia_A wexlerae_B,Agathobacter sp900317585,Mediterraneibacter faecis,Mediterraneibacter torques,Mediterraneibacter lactaris,Enterocloster bolteae,Enterocloster citroniae,Enterocloster asparagiformis,Enterocloster clostridioformis,Coprococcus eutactus,Dorea_A longicatena_B,Dorea_A longicatena,Lachnospira eligens_A,Roseburia inulinivorans,Roseburia intestinalis,Anaerostipes hadrus,Eubacterium_G ventriosum,Bariatricus comes,Bariatricus comes_A,Anaerobutyricum hallii,Anaerobutyricum soehngenii,Dorea formicigenerans,Coprococcus_A catus,Eubacterium_I ramulus,Clostridium_Q symbiosum,Bacteroides_F pectinophilus,Ruminococcus_B gnavus,Hungatella effluvii,Bacteroides uniformis,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides timonensis,Bacteroides stercoris,Bacteroides sp900552405,Bacteroides intestinalis_A,Bacteroides xylanisolvens,Bacteroides eggerthii,Bacteroides fragilis,Bacteroides fluxus,Bacteroides finegoldii,Bacteroides intestinalis,Bacteroides faecis,Bacteroides nordii,Bacteroides salyersiae,Bacteroides sp902362375,Bacteroides oleiciplenus,Bacteroides fragilis_A,Bacteroides clarus,Phocaeicola dorei,Phocaeicola vulgatus,Phocaeicola plebeius,Phocaeicola massiliensis,Phocaeicola coprocola,Phocaeicola coprophilus,Prevotella sp900313215,Prevotella sp900551275,Prevotella copri_A,Prevotella stercorea,Prevotella sp015074785,Prevotella copri,Paraprevotella clara,Paraprevotella xylaniphila,Alistipes onderdonkii,Alistipes finegoldii,Alistipes shahii,Alistipes putredinis,Alistipes_A indistinctus,Parabacteroides distasonis,Parabacteroides goldsteinii,Parabacteroides distasonis_A,Parabacteroides gordonii,Parabacteroides merdae,Parabacteroides johnsonii,Parabacteroides timonensis,Butyricimonas virosa,Odoribacter splanchnicus,Barnesiella intestinihominis,Parasutterella excrementihominis,Escherichia coli,Escherichia fergusonii,Escherichia ruysiae,Escherichia sp005843885,Escherichia coli_E,Escherichia albertii,Hafnia alvei,Klebsiella pneumoniae,Akkermansia muciniphila,Akkermansia muciniphila_B,Erysipelatoclostridium ramosum,Catenibacterium sp000437715,Catenibacterium mitsuokai,Holdemania filiformis,Holdemanella biformis,Streptococcus salivarius,Streptococcus sp001556435,Streptococcus thermophilus,Adlercreutzia celatus_A,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Bifidobacterium catenulatum,Bifidobacterium ruminantium,Bifidobacterium bifidum,Desulfovibrio sp900556755,Bilophila wadsworthia,Dialister invisus,Veillonella parvula_A,Phascolarctobacterium_A succinatutens,Acidaminococcus fermentans,Mitsuokella multacida,Ligilactobacillus ruminis,Sutterella wadsworthensis,Acidaminococcus intestini,Phascolarctobacterium_A succinatutens_A,Megasphaera elsdenii
Flavonifractor plautii,0.0,0.2288569923588945,2.7627182913942705,3.401499223559139,0.09455892478508403,0.021719812277265466,0.20831882349493228,1.01693698393919,0.07119078869864552,0.15930016003152048,76.13463600286815,0.11152085761129538,0.0247962648036061,0.038592585348401084,17.65566543093098,0.08423466992983704,0.07764705920148048,95.83996295799484,40.03697367808824,150.1371262821399,225.54580323467545,31955376.533207927,0.12149959551887209,0.12157796223006051,0.5472304047551515,0.11077092291966537,2.355536842749393,12.738994855713296,0.07606804528474628,0.09994223843944045,0.029476255613532586,309.8908085268534,3.434688435776292,1.24348331800902,0.16702229074937233,0.4129835676775601,65.63590961794283,1.4688810374225263,0.08588600699622241,0.11750448269494404,0.08913573931727953,0.3021520896251074,0.3393896753393371,1.5983553656651526,0.608662622018397,0.11876410938618996,0.1057073420151035,25.037006209783865,31904.67213442564,1.46042580248641,10064.208811178736,2.115537378716383,27.095443287090127,4.420719589365101,0.10658872146935826,676.9754171595175,5640.1907479402325,8078.234088745726,19516.448157708706,0.031920046736558634,0.9385704697268735,0.18484397674872008,0.08076013535969807,7.395967101112559,18.62441057655026,0.4186531318756691,3.098403574672132,1357033220.4681733,729.443946478712,2.0388711482218724,17188.27805705298,0.06018462264206005,0.9616019514791958,19.897836560257517,11.30112267651484,38.49661487235846,0.05708950989984575,0.8747527044300232,70667.83495071172,6.3146835355947895,0.5295092345367206,1.6991272081897553,6.32188432524427,2.2530839414293884,828.2529395488415,10.852047705855062,34.97330062425002,0.0759908424159543,13.348804181274085,1.5099826788051725,36.093486185505405,6.817372982884066,0.06473934904040919,1.373992706647575,0.07480509142078011,0.012678607696493717,64.21451070586238,3.59259587496819,206.17340664426573,137.6622184960338,166.90367722380773,369.050217421045,0.04337903213908658,13.296849990383578,2934.85539521181,31.654010237153642,0.4147734710787717,0.1098253607335907,2.167516578184433,0.026601779366397328,0.12282654665671594,31.910272530197386,0.6803133916836208,3.374645525113053,95.84093438075145,9738.714396619476,0.12186477323657945,0.11904967045933651,19.522214604996446,0.019189566263709573,6.258069986713842,0.12691338607313707,62.63779411467341,0.4944899087500397,2.7757023050010607,0.013309762124645349,1.9844930412836845,0.30373530670170795,41.54540858957248,10.107106895759264,0.09112479185049846,10.673677307593428
Faecalibacterium prausnitzii_C,0.2288569923588945,0.0,2.5357174364190795,3.174775933522737,0.1357039632891424,0.2368099176428658,0.02097571110033874,0.7888915918076967,0.2935542177614616,0.06972653452957199,75.91387303422795,0.3385155979764893,0.24597699542029028,0.191852013265341,17.430648244423313,0.31199136524026755,0.1513228166944839,95.61891521039264,39.81394949935266,149.91801173017475,225.32810128505142,31955376.34223915,0.3478068872387842,0.3479381492036186,0.3197682788885632,0.3378893312162701,2.1280871169053857,12.514184124451734,0.3034769162474066,0.3272640185652509,0.2257292190813819,309.6735526380836,3.208300736410307,1.016045765656745,0.0714931442887829,0.1876164458733741,65.41444085924864,1.2415641009181608,0.3123469435983537,0.34431037057275404,0.13999985607390475,0.07736413985526516,0.11245770974047599,1.370407963949081,0.38389154739639814,0.11101238386762405,0.12558838248557175,24.81403861800483,31904.466523130624,1.232077200303272,10064.000430485652,1.8884586796864333,26.872656433283993,4.194566513415547,0.33097898238297785,676.760488486416,5639.981055133806,8078.024119547235,19516.241408493872,0.2473466779365836,0.7102950816939669,0.06768453200958278,0.30608781805783547,7.1696854973973805,18.400917100103886,0.19012580223727166,2.8718010088172146,1357033220.2836258,729.2289284056905,1.8108234321347956,17188.070874663397,0.28666361423996545,0.7338759208346204,19.67375240831181,11.07598077118607,38.272748194269155,0.28347023999404103,0.6468367162797138,70667.63089034404,6.088832690612514,0.30088044799838304,1.4713187376520045,6.096159402083636,2.0250440640911376,828.038206722198,10.627490768645359,34.75009884232324,0.2814231431618816,13.12356571623199,1.2825504836302175,35.87138872478234,6.591053124153763,0.18478777644493588,1.145559457490354,0.3023081020128828,0.22459973770701788,63.993811829599295,3.365633310090288,205.95554414746164,137.44335955195663,166.68529171019276,368.83317970865744,0.24435667005517933,13.072372571404486,2934.643899233989,31.431452527024334,0.19081533326397654,0.33666611641884225,1.9404132757589347,0.21679396417852545,0.3487974923682045,31.68658568677998,0.4519830949160182,3.1471601303569794,95.61927803929805,9738.506158784247,0.3480388179614444,0.34588125640409534,19.297452129332445,0.24550118657248646,6.031234895022392,0.10241953267344575,62.41519714504323,0.26590308972696913,2.548127985692214,0.23358910780130512,1.757265627341712,0.07907516374008153,41.322048412177736,9.8810420559847,0.3181555080158478,10.447935962227236
Faecalibacterium prausnitzii,2.7627182913942705,2.5357174364190795,0.0,0.6396494401850685,2.6706407524216513,2.7707538228083375,2.5559337795235213,1.7479499755266936,2.826420137762138,2.6050800853484843,73.40752839509383,2.8685655946368698,2.777553530402132,2.726449014542393,14.900154180501717,2.8437285602185467,2.685498404711876,93.1103794186039,37.293574260676735,147.4227419403902,222.84305110448565,31955374.098104883,2.87657752221468,2.877131145952514,2.217118353858397,2.8677758848544843,0.413729715392089,9.985134856324377,2.834854276464582,2.8578846618718914,2.7600612048922977,307.1917322420506,0.6749099108525931,1.5219539815551062,2.5986305845635584,2.352684627188563,62.90339870297569,1.2969501190240886,2.8450453892339502,2.8749642109055,2.674382800291702,2.4642288594209134,2.424656169102977,1.1744179526163292,2.162332662560664,2.6463858091028336,2.660120621890694,22.2948485731529,31902.082556410453,1.3090078166943993,10061.591710486358,0.6473096050725715,24.354418909851876,1.6617042746869632,2.862676546567121,674.2966842892578,5637.560868141382,8075.601543030981,19513.847187125713,2.781493356568415,1.828890496329864,2.589971545978312,2.8386189045393673,4.63519863097849,15.879224241482797,2.346249759648295,0.3382909215075032,1357033218.1042905,726.7643787852223,0.7318692518630919,17185.67277915228,2.8195852840045643,1.804208425722109,17.148109812790334,8.54554173730377,35.74756199197749,2.8166908005273124,1.891033105112736,70665.26107227354,3.5561198352335968,2.2405027563077193,1.0709005062630994,3.5638705752759847,0.5318477429130329,825.5759330904887,8.100976787168308,32.22893842949741,2.812404199238022,10.5928597875282,1.2533994353709996,33.35709684326384,4.056652164791017,2.717956576357561,1.3961375993879381,2.8351697065979105,2.7591441977607976,61.48826298905143,0.8311275746108256,203.46940110951132,134.95010578108548,164.1953830704133,366.3529936258545,2.7770424409772785,10.545926277776504,2932.208258894032,28.914378609772594,2.3507859210489364,2.866606120881696,0.5988777203621987,2.7482863484718147,2.877538404382064,29.16255797509739,2.0875555406677595,0.6197726678062987,93.10671966405322,9736.098701112245,2.8769807131509912,2.876226328942359,16.76830957389348,2.778797720904647,3.4955597043136932,2.6375656995801937,59.896995373614494,2.2743732317668353,0.1035361503916505,2.7680475254967702,0.780651769638282,2.461187042630007,38.799622445576574,7.346923583392808,2.8505914221314295,7.915049820856805
Faecalibacterium sp900539885,3.401499223559139,3.174775933522737,0.6396494401850685,0.0,3.3095542255545523,3.409506851338528,3.194963927101968,2.3874129484387154,3.465054044081291,3.2440658898163655,72.77165738200503,3.506972906496906,3.416228046425917,3.3653370514998917,14.26067932038256,3.48228012793506,3.324364536506742,92.47406628220004,36.65538143449916,146.78883942007465,222.2110931885667,31955373.519992888,3.5149014880797296,3.515470461470599,2.8563316310195717,3.506166692313913,1.051709814717681,9.345884584642597,3.473404239114852,3.4963455832295973,3.398888151490574,306.56038156425615,0.05664711392309454,2.161394019260036,3.237618035183369,2.991853575303622,62.266702260692014,1.9363590219257614,3.4836242182498456,3.513365693861094,3.3132806656139038,3.103438850076663,3.0637525227243287,1.8135937131338673,2.8015621283844663,3.285378434987522,3.29902788359955,21.65698817456178,31901.47207208852,1.9485509883764398,10060.975722329627,1.286682409667571,23.716694748325914,1.0225045390002323,3.5011812646824256,673.6689436149759,5636.942368076858,8074.982520647543,19513.23441071592,3.4202718240395096,2.468469647492825,3.2290515519891527,3.477199920462719,3.995619792842285,15.241050015002779,2.985408450138582,0.30338224703268785,1357033217.5416467,726.1364791302553,1.370635508696822,17185.05914087027,3.458216220278842,2.4436742530327806,16.509246765633346,7.906136311054506,35.10865225327135,3.4553513573905383,2.5305023767051313,70664.65377481152,2.9165828120418977,2.8799348206746727,1.7101746715396637,2.9243934650212036,1.165358647605147,824.948499605549,7.462237439285681,31.59065051165954,3.451056880887699,9.953423386673814,1.8927871112330548,32.71997730508022,3.4170843907685127,3.3568674658903026,2.0356910194538878,3.4737787552029253,3.397971415104029,60.85258586598062,0.1963022302128769,202.83723991428798,134.31661065240306,163.56251002809051,365.72195466371403,3.415772237004248,9.907103489573096,2931.5864178726183,28.276804967255455,2.989859948646183,3.5050182476390948,1.2376840123997521,3.3870448950045,3.515860595736836,28.523838088605043,2.7270630091322245,0.1449110681345163,92.46969806299155,9735.482991840314,3.51531430881655,3.5146079237107486,16.1289781186701,3.417496607888597,2.8566999725309774,3.2765626811045268,59.2590822262529,2.9137977931841927,0.6423347534717613,3.4068498198775066,1.420003994283229,3.100312734911671,38.161101779508925,6.707310999507063,3.4891515307920744,7.275442928869904
Faecalibacterium prausnitzii_G,0.09455892478508403,0.1357039632891424,2.6706407524216513,3.3095542255545523,0.0,0.10118466513672769,0.11563224646585434,0.924305898354985,0.15804161558315355,0.06611905558691042,76.04512098495849,0.20455158603664234,0.11383742377785146,0.057947554061061654,17.564451568974224,0.17754786585640292,0.021787709279456773,95.75033588042167,39.94654764113529,150.04828014998333,225.4575316398498,31955376.455808558,0.21447339588722455,0.2141910605542436,0.4552210430305173,0.2041750648440855,2.2633805332210426,12.647871238489255,0.1695088783270105,0.19324718830593543,0.09041256639298574,309.8027176062818,3.343033491680615,1.1514806173464933,0.08177729131548378,0.32208705972144447,65.54611560926912,1.3769418145694037,0.1769393740639509,0.20958974427930538,0.01513745107975785,0.2108412109426665,0.24755868645396167,1.5060308348486966,0.5184897937352734,0.02623381376260064,0.011863706269307725,24.946591278518206,31904.58877507986,1.3675764741786776,10064.124325342102,2.023435265234388,27.005106157019785,4.328991345788618,0.19566137186199126,676.8882695477281,5640.105728584836,8078.148957269807,19516.364335446906,0.11172370837367833,0.8459400352329624,0.09198711058847239,0.1706660569855526,7.304182613261372,18.533766362070754,0.3253597481791423,3.0065122822344335,1357033220.3933878,729.3567633204582,1.9462053627630505,17188.19405860209,0.15135228349153906,0.869437804117414,19.806983984214177,11.209850566813055,38.40584651179207,0.1480687247066306,0.7824199686059036,70667.75222240954,6.223114944775014,0.4358835121314385,1.606868953701028,6.230403121396885,2.160610736860017,828.1658723015437,10.760947854038239,34.8827890873742,0.14781718548579664,13.25742987039641,1.4176502087857823,36.00342938448986,6.725550347335371,0.054005203662648556,1.2810977598588127,0.16704194981426435,0.08928455023244904,64.12500753947924,3.500393459392056,206.0850638777939,137.57346921249984,166.8151209757853,368.96221191125926,0.10968672840779838,13.205764222349162,2934.7696428356294,31.563767901424004,0.3245828608929276,0.20285079873488163,2.0756087141774304,0.08726229024226562,0.215338455777613,31.819580539701168,0.5876554337438731,3.2824946034648734,95.75105996025927,9738.629968882808,0.21448869119082295,0.21134133623190113,19.43107342015303,0.11065542107866991,6.166121047200156,0.03621463742427665,62.547540294468796,0.4011768807084521,2.6835130736670156,0.09824317189112984,1.8924735673630093,0.2125696998357023,41.45484889860767,10.01543590271454,0.18285471316465787,10.582126255012035
Faecalibacterium prausnitzii_J,0.021719812277265466,0.2368099176428658,2.7707538228083375,3.409506851338528,0.10118466513672769,0.0,0.21662008339048944,1.025024233661269,0.05730671437297629,0.16717590010194966,76.14179950716854,0.10641839276645575,0.03678315881156823,0.04924948043246923,17.663409605062856,0.07925296070349512,0.08752806273838068,95.84715981236069,40.04440622827181,150.1441208593422,225.55266733390084,31955376.538369987,0.11726767403275802,0.11619532051645409,0.55602177195684,0.1063829222632526,2.3638601202007354,12.746730826049763,0.07276387320469044,0.09532372247023024,0.01725014763467922,309.8976309595071,3.4429215551224037,1.252132649311652,0.17832705020875594,0.42268530780358704,65.64316176357214,1.4775305793320956,0.07596172957989544,0.10963707797111188,0.09859757367315415,0.3116265702136614,0.3483499674650069,1.6069436310107426,0.6189843044917217,0.1266165120816419,0.11160999187630981,25.04442150878018,31904.678096326905,1.4683996853835932,10064.214952149227,2.1236178706983324,27.10284281157671,4.428596692492554,0.0949654784956779,676.9820385896056,5640.196978204301,8078.240339151159,19516.454191772296,0.013059718694804661,0.9469250837107303,0.18855220013859902,0.06974810224724944,7.403830708313638,18.631868370086735,0.4262403299931099,3.10640948281656,1357033220.473038,729.4505763533026,2.046853359136308,17188.284119127333,0.05099058803749111,0.9702606905422231,19.905420494712562,11.30888298516424,38.50415130962963,0.04767164250798963,0.8833002604853217,70667.8408171764,6.32255786430887,0.5369122018793119,1.7076471984905357,6.329805310861089,2.26143635705732,828.2595466266744,10.859616057619176,34.980733339135476,0.05598428419052619,13.356462619713321,1.5180039409595831,36.10080256546077,6.825204037572047,0.06129522329460418,1.3819842849940431,0.06661446162800372,0.017121972069658688,64.22164577283513,3.6003595196318128,206.18027547088423,137.66917797001219,166.91059289477096,369.0570148107168,0.022161803682800393,13.304369477654129,2934.8617533668516,31.661383008771125,0.4248217691301949,0.1051280169349861,2.175987995329977,0.046339478930759334,0.11791730611690658,31.917794482094983,0.6887724333936336,3.3830112437318314,95.84819584836704,9738.720528075619,0.1169231765850642,0.11169997691506692,19.529866070249888,0.017285371542725303,6.266143493872124,0.13587123342081636,62.64516907637557,0.502307065792726,2.784089565517447,0.011247159190009057,1.9928832954269025,0.3132341446920992,41.552885776935184,10.11496863284704,0.08218117137816276,10.681465486014137
Faecalibacterium prausnitzii_A,0.20831882349493228,0.02097571110033874,2.5559337795235213,3.194963927101968,0.11563224646585434,0.21662008339048944,0.0,0.809231335760975,0.27351749840089995,0.049517388136645274,75.9335756400957,0.31808466541528396,0.22545438992008832,0.1715244772811882,17.450701027932624,0.291573239310153,0.13079862760123562,95.6386419223811,39.833840694445826,149.93757552341225,225.3475449154363,31955376.359365966,0.3273228210354803,0.3275346212970934,0.33986639393654083,0.3173181917738816,2.1483117785950983,12.534216237483387,0.2830121959171753,0.3068012408418247,0.20571162097245252,309.6929586464649,3.228427852418269,1.036207422520845,0.05306401293762059,0.20715213758758544,65.4342017964598,1.261732710177232,0.29204165675260224,0.3239528106729476,0.11959668549835811,0.09603907666419387,0.13214103813485378,1.3906800984584025,0.4032355866939192,0.0910016862628617,0.10584674545939618,24.833925742126095,31904.484927231868,1.2524582075982866,10064.01907440477,1.9086730365253652,26.89252704779393,4.214717272803094,0.3109208618151148,676.7796960180292,5639.999812399237,8078.042900682895,19516.25991121878,0.22726670258694937,0.7306277362841685,0.056654852647375194,0.2859023100018132,7.189852858578352,18.420849621779315,0.21074747851009792,2.8919802315973357,1357033220.3001888,729.2481435082364,1.8311687906761784,17188.089414902523,0.26637992770966545,0.7540732628653671,19.69372941365615,11.096041166075779,38.292710919410546,0.26320963506131995,0.6670951752438691,70667.64915984696,6.108951139982645,0.3214998769319761,1.491549644339799,6.116259051591322,2.0453382817375507,828.0573974270237,10.647514221989576,34.770007253411904,0.26202433921139423,13.14364977680891,1.3028188157171166,35.891201781628524,6.611225473001936,0.1655911168100986,1.1659518316797919,0.28194934692423146,0.2042998042827728,64.01351161764443,3.3858846794837376,205.97500264623855,137.46290290343273,166.70479483361734,368.8525678472107,0.2247287148023919,13.09239643377953,2934.66281197438,31.451303874192444,0.20995277699431425,0.3162404506558979,1.960593896740595,0.19628611066171148,0.328400933246097,31.706531060058776,0.4723160476455187,3.16739927142375,95.639056776674,9738.524790343787,0.3276373073831387,0.32549236485126626,19.317489500514036,0.22504981462081636,6.0514275948567455,0.08210378934335973,62.43505420524878,0.2864293858770857,2.5683667389318514,0.2132074248490761,1.777475583724676,0.09806183780435289,41.341967633347075,9.901185709948882,0.2978571801482599,10.468054979208162
Faecalibacterium sp900758465,1.01693698393919,0.7888915918076967,1.7479499755266936,2.3874129484387154,0.924305898354985,1.025024233661269,0.809231335760975,0.0,1.0811762943888137,0.8585046882315596,75.13974880397683,1.1245128263169228,1.0324129610704327,0.9802098730322959,16.64614316752987,1.0989613063202641,0.9394256670384716,94.84398398120797,39.03407355345596,149.1482509373156,224.56221731859867,31955375.658657644,1.1329899823467873,1.1334246302541127,0.47028136736709397,1.1238108392888302,1.3395075035098776,11.730248395738277,1.0901512618661922,1.1135777392225523,1.0140007644261597,308.90889782448,2.421330180381126,0.2293928516342922,0.8523914647258786,0.6062104875030834,64.63845000609174,0.4540454413042387,1.10002955053005,1.1308289887696792,0.9281744687985019,0.717047496670193,0.6779405232486941,0.5829781117490699,0.4192077060818204,0.8997330690093227,0.9138346614411218,24.034483877736943,31903.736410380414,0.4439364663007759,10063.261829891058,1.100766586314053,26.093520713355296,3.4083096282438903,1.1180133172217923,676.0024532037746,5639.238480990451,8077.280714301897,19515.507792714136,1.035621696832621,0.08451711293879821,0.8432693717041654,1.093615381940859,6.382878611120841,17.620207328316965,0.599205168871399,2.0847636298090677,1357033219.621092,728.4706288275547,1.0220144091299581,17187.33593087267,1.074386435041491,0.06256485622803595,18.891453452686946,10.291372412353487,37.49081267716033,1.071349421698998,0.1443600101640742,70666.90558380849,5.302925018375862,0.49300863470841766,0.683085895145518,5.310447080400389,1.2365619576454585,827.280731303306,9.844496769487268,33.969855006468514,1.0672409551378705,12.338850179877793,0.49468364752483457,35.093934343816564,5.804264544726959,0.9716553636271995,0.35813008001654384,1.0900476166955089,1.013102409820091,63.219943408325115,2.578144004324221,205.1892404956737,136.67433917643544,165.91755577849113,368.06914119988016,1.0314719176965588,12.289514218363337,2933.895920979679,30.652845315379896,0.6050587498055864,1.1225537126575638,1.1523561689953024,1.0028476451335187,1.1339547295623633,30.905117124558725,0.33993580477355956,2.358454439258237,94.84275169542909,9737.767993209722,1.1333299820534808,1.1322053725688024,18.513591080704824,1.0333593027767292,5.243329709876152,0.8909316015093213,61.63631208004152,0.526560738128259,1.7594174971682213,1.0220987153377379,0.9690764271374224,0.7143910608534727,40.54132138812255,9.09452107810158,1.1056758034405834,9.662107111385897
Faecalibacterium prausnitzii_H,0.07119078869864552,0.2935542177614616,2.826420137762138,3.465054044081291,0.15804161558315355,0.05730671437297629,0.27351749840089995,1.0811762943888137,0.0,0.22407291800353532,76.19502552359283,0.060004254965214596,0.06580856086810877,0.10546816158443834,17.718195948113813,0.03826769511212594,0.14466536066792843,95.90048027709454,40.09841987895483,150.19680139814358,225.60489760378516,31955376.583050974,0.07186134273467712,0.06870576863452393,0.6126076412701761,0.0617139771328574,2.4198743576938897,12.80146286096241,0.039495379654593196,0.051506243022489885,0.06944450680118151,309.9497190578331,3.498510109762555,1.3084447655112805,0.235195045825076,0.47955657632056536,65.69663292577971,1.5337698769535455,0.023682477402799308,0.05777485496028287,0.1556807035213836,0.36874164324462266,0.40516746841652856,1.6633430545302668,0.6761078696396119,0.18354157489554992,0.16809905922793658,25.09841808488627,31904.7267505386,1.5245450079040548,10064.264392114075,2.1793693339182294,27.156778688271725,4.483864667165688,0.03858351747088842,677.0334064718401,5640.246795842672,8078.290237651133,19516.50316711713,0.04720777722051206,1.0033534610583443,0.24333991280460526,0.016447594740931788,7.459096107104807,18.686045602884025,0.48248870920620746,3.161924763537484,1357033220.5160444,729.5019719717703,2.1028521757376892,17188.333217361287,0.01821749044412623,1.0267074816249493,19.95983838429021,11.363731785170703,38.558464473047074,0.01892954657816307,0.9397355888489335,70667.88903725261,6.377712587908805,0.593186259436578,1.7639583879757161,6.384953343838767,2.3176822229994443,828.3108559089384,10.914180618986151,35.034798628294965,0.033420706937974234,13.411268181347467,1.5738661603074684,36.154493211837355,6.880466760735142,0.11354901000648703,1.438182741471942,0.021777884285008597,0.07174099728350046,64.2748391163807,3.655814920512443,206.23255069870203,137.72177060688176,166.96303385665317,369.10903085653706,0.05192669491488262,13.358870930788816,2934.9120963466726,31.71523635148716,0.4816816675066705,0.059818964958415516,2.2319875530831625,0.09285723520295319,0.071427509827583,31.972052072904418,0.7453725770501523,3.4390281959427242,95.9017197021357,9738.769927174195,0.07027910991263062,0.060674828630202605,19.58451894536923,0.05333414306201005,6.321728996547469,0.1929851817657512,62.6990231335468,0.558784742074187,2.8401704571190165,0.06306825830877502,2.0488727967589635,0.3701592264559291,41.60701964045298,10.170156161843881,0.030354528882556138,10.736508190234625
Faecalibacterium prausnitzii_E,0.15930016003152048,0.06972653452957199,2.6050800853484843,3.2440658898163655,0.06611905558691042,0.16717590010194966,0.049517388136645274,0.8585046882315596,0.22407291800353532,0.0,75.98144113730314,0.26930666978719614,0.17707267508169058,0.12241758860044408,17.499471938098058,0.242602561166011,0.08196065002621952,95.68656936892263,39.88218551758853,149.98509234766576,225.39476279060972,31955376.400865756,0.2787865437082,0.2788321872389441,0.38925738155325335,0.2686718030973262,2.1976040835735753,12.582947214994567,0.23419993049802745,0.25800299485240363,0.1562759008723552,309.74008159824075,3.2775397295929105,1.0855802912719297,0.034643168953007224,0.25629597364591455,65.48221990595346,1.311080426956991,0.24272693489492986,0.274905948141124,0.07075281701364806,0.14500365540832763,0.18154662856594672,1.4400736085407606,0.4525609067316152,0.04184559282683923,0.05650566558360978,24.882252122569156,31904.52956603184,1.3017485800164432,10064.064305241964,1.9578391592343296,26.940818140944305,4.2636926444751,0.2615603707627969,676.8263233149194,5640.045323521526,8078.088470881718,19516.304793358966,0.1777818942425801,0.7799937287231233,0.04650437342600084,0.236542904856202,7.238853936630713,18.469278228674415,0.2597181551831806,2.94105758968602,1357033220.340308,729.2947902191627,1.8804355981712837,17188.134389651503,0.21707839600501572,0.8034763467434873,19.742297663533353,11.144834472532832,38.34123179232931,0.2138680395310819,0.7164747290058471,70667.69346683193,6.157885374609214,0.3703475785656622,1.540938040317376,6.165186078019086,2.0947033523488607,828.1039834092917,10.696152306953143,34.81838238509224,0.21293236970713578,13.192430321189343,1.352004536347343,35.939348477179806,6.660223770191722,0.11680254379132957,1.2152498831437883,0.23269074270006884,0.1549434063577857,64.06135609364563,3.434949021545932,206.022251458633,137.51036193165683,166.75215395851308,368.8996428311789,0.1753766525117148,13.141008019797702,2934.7087079750922,31.49954794183949,0.2589509504764382,0.2675070370493393,2.0098661449728357,0.1484149738064743,0.2797932794284294,31.75501636557068,0.5216758969490467,3.2167031571103877,95.6871122312863,9738.569990658381,0.278999588425702,0.276518804802558,19.366192153906137,0.17590415063047543,6.1005756907445585,0.033745992161359546,62.48330866953111,0.33545460908124725,2.6176899274845193,0.16387631586493467,1.826738111890537,0.14687639855317222,41.390384294378,9.950156772219263,0.24857708665090222,10.516953642581981
