,Flavonifractor plautii,Faecalibacterium prausnitzii_C,Faecalibacterium prausnitzii,Faecalibacterium sp900539885,Faecalibacterium prausnitzii_G,Faecalibacterium prausnitzii_J,Faecalibacterium prausnitzii_A,Faecalibacterium sp900758465,Faecalibacterium prausnitzii_H,Faecalibacterium prausnitzii_E,Faecalibacterium prausnitzii_F,Gemmiger formicilis,Gemmiger sp900540775,Anaerotruncus colihominis,Ruminococcus_E bromii_B,Ruminococcus_E bromii,Blautia_A obeum,Blautia_A wexlerae,Blautia_A wexlerae_B,Agathobacter sp900317585,Mediterraneibacter faecis,Mediterraneibacter torques,Mediterraneibacter lactaris,Enterocloster bolteae,Enterocloster citroniae,Enterocloster asparagiformis,Enterocloster clostridioformis,Coprococcus eutactus,Dorea_A longicatena_B,Dorea_A longicatena,Lachnospira eligens_A,Roseburia inulinivorans,Roseburia intestinalis,Anaerostipes hadrus,Eubacterium_G ventriosum,Bariatricus comes,Bariatricus comes_A,Anaerobutyricum hallii,Anaerobutyricum soehngenii,Dorea formicigenerans,Coprococcus_A catus,Eubacterium_I ramulus,Clostridium_Q symbiosum,Bacteroides_F pectinophilus,Ruminococcus_B gnavus,Hungatella effluvii,Bacteroides uniformis,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides timonensis,Bacteroides stercoris,Bacteroides sp900552405,Bacteroides intestinalis_A,Bacteroides xylanisolvens,Bacteroides eggerthii,Bacteroides fragilis,Bacteroides fluxus,Bacteroides finegoldii,Bacteroides intestinalis,Bacteroides faecis,Bacteroides nordii,Bacteroides salyersiae,Bacteroides sp902362375,Bacteroides oleiciplenus,Bacteroides fragilis_A,Bacteroides clarus,Phocaeicola dorei,Phocaeicola vulgatus,Phocaeicola plebeius,Phocaeicola massiliensis,Phocaeicola coprocola,Phocaeicola coprophilus,Prevotella sp900313215,Prevotella sp900551275,Prevotella copri_A,Prevotella stercorea,Prevotella sp015074785,Prevotella copri,Paraprevotella clara,Paraprevotella xylaniphila,Alistipes onderdonkii,Alistipes finegoldii,Alistipes shahii,Alistipes putredinis,Alistipes_A indistinctus,Parabacteroides distasonis,Parabacteroides goldsteinii,Parabacteroides distasonis_A,Parabacteroides gordonii,Parabacteroides merdae,Parabacteroides johnsonii,Parabacteroides timonensis,Butyricimonas virosa,Odoribacter splanchnicus,Barnesiella intestinihominis,Parasutterella excrementihominis,Escherichia coli,Escherichia fergusonii,Escherichia ruysiae,Escherichia sp005843885,Escherichia coli_E,Escherichia albertii,Hafnia alvei,Klebsiella pneumoniae,Akkermansia muciniphila,Akkermansia muciniphila_B,Erysipelatoclostridium ramosum,Catenibacterium sp000437715,Catenibacterium mitsuokai,Holdemania filiformis,Holdemanella biformis,Streptococcus salivarius,Streptococcus sp001556435,Streptococcus thermophilus,Adlercreutzia celatus_A,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Bifidobacterium catenulatum,Bifidobacterium ruminantium,Bifidobacterium bifidum,Desulfovibrio sp900556755,Bilophila wadsworthia,Dialister invisus,Veillonella parvula_A,Phascolarctobacterium_A succinatutens,Acidaminococcus fermentans,Mitsuokella multacida,Ligilactobacillus ruminis,Sutterella wadsworthensis,Acidaminococcus intestini,Phascolarctobacterium_A succinatutens_A,Megasphaera elsdenii
Flavonifractor plautii,0.0,0.6672661870503598,0.6672661870503598,0.6672661870503598,0.6672661870503598,0.6672661870503598,0.6672661870503598,0.6672661870503598,0.6672661870503598,0.6672661870503598,0.6672661870503598,0.7869318181818181,0.7869318181818181,0.5672514619883041,0.7566371681415929,0.7566371681415929,0.6666666666666667,0.4914772727272727,0.4914772727272727,0.7547169811320755,0.8089887640449438,0.8089887640449438,0.8432563791008505,0.7948387096774193,0.651006711409396,0.7480063795853269,0.4696569920844327,0.795,0.8008982035928144,0.8008982035928144,0.5384615384615384,0.8198529411764706,0.8106796116504854,0.7723935389133627,0.7765273311897106,0.7366482504604052,0.7366482504604052,0.8031161473087819,0.5041782729805013,0.6955074875207987,0.6374045801526718,0.5235294117647059,0.6770491803278689,0.6144927536231883,0.7840112201963534,0.4189944134078212,0.813953488372093,0.8335419274092616,0.820838627700127,0.56,0.8273542600896862,0.820838627700127,0.8163265306122449,0.8089171974522293,0.8373893805309734,0.8065326633165829,0.7935409457900807,0.8432919954904171,0.8163265306122449,0.5473145780051151,0.5465994962216625,0.6038647342995169,0.8089171974522293,0.5414507772020725,0.8065326633165829,0.7944572748267898,0.8462401795735129,0.8436830835117773,0.8291390728476822,0.5995085995085996,0.8291571753986333,0.8440366972477065,0.8186596583442838,0.8186596583442838,0.8186596583442838,0.6104972375690607,0.8186596583442838,0.8186596583442838,0.8030495552731893,0.7958656330749354,0.5777202072538861,0.5703125,0.8073286052009456,0.6456043956043955,0.805952380952381,0.8248081841432225,0.5621890547263682,0.8248081841432225,0.5695876288659794,0.8272425249169435,0.8258426966292135,0.5621890547263682,0.5308310991957105,0.6368159203980099,0.8412322274881516,0.5219941348973607,0.7464183381088825,0.5929018789144049,0.7464183381088825,0.7464183381088825,0.7464183381088825,0.6073619631901841,0.7126269956458635,0.6280373831775701,0.8400460299194477,0.8400460299194477,0.8234582829504232,0.8041095890410959,0.8041095890410959,0.8335483870967741,0.8410958904109589,0.4917582417582418,0.4917582417582418,0.6,0.5621301775147929,0.823394495412844,0.8278236914600551,0.7773487773487774,0.551246537396122,0.8376259798432251,0.6606217616580311,0.7073684210526316,0.5635838150289018,0.6141304347826086,0.6403269754768393,0.5348189415041782,0.778675282714055,0.8083109919571045,0.6666666666666667,0.5844875346260388,0.6403269754768393,0.5902061855670103
Faecalibacterium prausnitzii_C,0.6672661870503598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5042134831460674,0.5042134831460674,0.6823308270676691,0.685374149659864,0.685374149659864,0.27919708029197077,0.6156716417910448,0.6156716417910448,0.36111111111111116,0.5308953341740227,0.5308953341740227,0.6236686390532544,0.5263835263835264,0.37859424920127793,0.42902208201892744,0.6291161178509532,0.4612850082372323,0.4918032786885246,0.4918032786885246,0.6145454545454545,0.5700365408038977,0.5650602409638554,0.569672131147541,0.5427286356821589,0.35412844036697244,0.35412844036697244,0.5729729729729729,0.6375227686703097,0.4878419452887538,0.4453781512605042,0.6771799628942485,0.4338461538461539,0.6673114119922631,0.5027777777777778,0.6125,0.5261096605744126,0.5420918367346939,0.5322164948453608,0.6592844974446337,0.5908071748878924,0.5322164948453608,0.5378690629011553,0.5288831835686778,0.5977777777777777,0.5153452685421995,0.5923852183650615,0.608548931383577,0.5378690629011553,0.7016666666666667,0.695364238410596,0.6937086092715232,0.5288831835686778,0.6723842195540308,0.5153452685421995,0.5754824063564132,0.6233333333333333,0.6207264957264957,0.5592105263157895,0.7026578073089701,0.6031567080045096,0.6241534988713318,0.5528031290743155,0.5528031290743155,0.5528031290743155,0.736283185840708,0.5528031290743155,0.5528031290743155,0.5870098039215687,0.5818858560794045,0.6873920552677029,0.7140439932318106,0.6136363636363636,0.7246376811594203,0.5981524249422633,0.5475578406169666,0.6672297297297297,0.5475578406169666,0.6724436741767764,0.590455049944506,0.593505039193729,0.6672297297297297,0.6958762886597938,0.728643216080402,0.6317606444188723,0.7,0.4238026124818578,0.6671686746987953,0.4238026124818578,0.4238026124818578,0.4238026124818578,0.6566265060240963,0.45352112676056333,0.6557610241820768,0.594002306805075,0.594002306805075,0.5613608748481167,0.5291723202170964,0.5291723202170964,0.6285362853628536,0.6128608923884514,0.6428571428571428,0.6428571428571428,0.6864864864864865,0.7140221402214022,0.6006787330316742,0.5970937912813739,0.5469336670838548,0.6845878136200717,0.6029082774049217,0.7046263345195729,0.7089201877934272,0.7535211267605634,0.6962025316455696,0.7230215827338129,0.6955752212389381,0.45527156549520764,0.5545335085413929,0.7382198952879582,0.6776556776556777,0.7230215827338129,0.697594501718213
Faecalibacterium prausnitzii,0.6672661870503598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5042134831460674,0.5042134831460674,0.6823308270676691,0.685374149659864,0.685374149659864,0.27919708029197077,0.6156716417910448,0.6156716417910448,0.36111111111111116,0.5308953341740227,0.5308953341740227,0.6236686390532544,0.5263835263835264,0.37859424920127793,0.42902208201892744,0.6291161178509532,0.4612850082372323,0.4918032786885246,0.4918032786885246,0.6145454545454545,0.5700365408038977,0.5650602409638554,0.569672131147541,0.5427286356821589,0.35412844036697244,0.35412844036697244,0.5729729729729729,0.6375227686703097,0.4878419452887538,0.4453781512605042,0.6771799628942485,0.4338461538461539,0.6673114119922631,0.5027777777777778,0.6125,0.5261096605744126,0.5420918367346939,0.5322164948453608,0.6592844974446337,0.5908071748878924,0.5322164948453608,0.5378690629011553,0.5288831835686778,0.5977777777777777,0.5153452685421995,0.5923852183650615,0.608548931383577,0.5378690629011553,0.7016666666666667,0.695364238410596,0.6937086092715232,0.5288831835686778,0.6723842195540308,0.5153452685421995,0.5754824063564132,0.6233333333333333,0.6207264957264957,0.5592105263157895,0.7026578073089701,0.6031567080045096,0.6241534988713318,0.5528031290743155,0.5528031290743155,0.5528031290743155,0.736283185840708,0.5528031290743155,0.5528031290743155,0.5870098039215687,0.5818858560794045,0.6873920552677029,0.7140439932318106,0.6136363636363636,0.7246376811594203,0.5981524249422633,0.5475578406169666,0.6672297297297297,0.5475578406169666,0.6724436741767764,0.590455049944506,0.593505039193729,0.6672297297297297,0.6958762886597938,0.728643216080402,0.6317606444188723,0.7,0.4238026124818578,0.6671686746987953,0.4238026124818578,0.4238026124818578,0.4238026124818578,0.6566265060240963,0.45352112676056333,0.6557610241820768,0.594002306805075,0.594002306805075,0.5613608748481167,0.5291723202170964,0.5291723202170964,0.6285362853628536,0.6128608923884514,0.6428571428571428,0.6428571428571428,0.6864864864864865,0.7140221402214022,0.6006787330316742,0.5970937912813739,0.5469336670838548,0.6845878136200717,0.6029082774049217,0.7046263345195729,0.7089201877934272,0.7535211267605634,0.6962025316455696,0.7230215827338129,0.6955752212389381,0.45527156549520764,0.5545335085413929,0.7382198952879582,0.6776556776556777,0.7230215827338129,0.697594501718213
Faecalibacterium sp900539885,0.6672661870503598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5042134831460674,0.5042134831460674,0.6823308270676691,0.685374149659864,0.685374149659864,0.27919708029197077,0.6156716417910448,0.6156716417910448,0.36111111111111116,0.5308953341740227,0.5308953341740227,0.6236686390532544,0.5263835263835264,0.37859424920127793,0.42902208201892744,0.6291161178509532,0.4612850082372323,0.4918032786885246,0.4918032786885246,0.6145454545454545,0.5700365408038977,0.5650602409638554,0.569672131147541,0.5427286356821589,0.35412844036697244,0.35412844036697244,0.5729729729729729,0.6375227686703097,0.4878419452887538,0.4453781512605042,0.6771799628942485,0.4338461538461539,0.6673114119922631,0.5027777777777778,0.6125,0.5261096605744126,0.5420918367346939,0.5322164948453608,0.6592844974446337,0.5908071748878924,0.5322164948453608,0.5378690629011553,0.5288831835686778,0.5977777777777777,0.5153452685421995,0.5923852183650615,0.608548931383577,0.5378690629011553,0.7016666666666667,0.695364238410596,0.6937086092715232,0.5288831835686778,0.6723842195540308,0.5153452685421995,0.5754824063564132,0.6233333333333333,0.6207264957264957,0.5592105263157895,0.7026578073089701,0.6031567080045096,0.6241534988713318,0.5528031290743155,0.5528031290743155,0.5528031290743155,0.736283185840708,0.5528031290743155,0.5528031290743155,0.5870098039215687,0.5818858560794045,0.6873920552677029,0.7140439932318106,0.6136363636363636,0.7246376811594203,0.5981524249422633,0.5475578406169666,0.6672297297297297,0.5475578406169666,0.6724436741767764,0.590455049944506,0.593505039193729,0.6672297297297297,0.6958762886597938,0.728643216080402,0.6317606444188723,0.7,0.4238026124818578,0.6671686746987953,0.4238026124818578,0.4238026124818578,0.4238026124818578,0.6566265060240963,0.45352112676056333,0.6557610241820768,0.594002306805075,0.594002306805075,0.5613608748481167,0.5291723202170964,0.5291723202170964,0.6285362853628536,0.6128608923884514,0.6428571428571428,0.6428571428571428,0.6864864864864865,0.7140221402214022,0.6006787330316742,0.5970937912813739,0.5469336670838548,0.6845878136200717,0.6029082774049217,0.7046263345195729,0.7089201877934272,0.7535211267605634,0.6962025316455696,0.7230215827338129,0.6955752212389381,0.45527156549520764,0.5545335085413929,0.7382198952879582,0.6776556776556777,0.7230215827338129,0.697594501718213
Faecalibacterium prausnitzii_G,0.6672661870503598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5042134831460674,0.5042134831460674,0.6823308270676691,0.685374149659864,0.685374149659864,0.27919708029197077,0.6156716417910448,0.6156716417910448,0.36111111111111116,0.5308953341740227,0.5308953341740227,0.6236686390532544,0.5263835263835264,0.37859424920127793,0.42902208201892744,0.6291161178509532,0.4612850082372323,0.4918032786885246,0.4918032786885246,0.6145454545454545,0.5700365408038977,0.5650602409638554,0.569672131147541,0.5427286356821589,0.35412844036697244,0.35412844036697244,0.5729729729729729,0.6375227686703097,0.4878419452887538,0.4453781512605042,0.6771799628942485,0.4338461538461539,0.6673114119922631,0.5027777777777778,0.6125,0.5261096605744126,0.5420918367346939,0.5322164948453608,0.6592844974446337,0.5908071748878924,0.5322164948453608,0.5378690629011553,0.5288831835686778,0.5977777777777777,0.5153452685421995,0.5923852183650615,0.608548931383577,0.5378690629011553,0.7016666666666667,0.695364238410596,0.6937086092715232,0.5288831835686778,0.6723842195540308,0.5153452685421995,0.5754824063564132,0.6233333333333333,0.6207264957264957,0.5592105263157895,0.7026578073089701,0.6031567080045096,0.6241534988713318,0.5528031290743155,0.5528031290743155,0.5528031290743155,0.736283185840708,0.5528031290743155,0.5528031290743155,0.5870098039215687,0.5818858560794045,0.6873920552677029,0.7140439932318106,0.6136363636363636,0.7246376811594203,0.5981524249422633,0.5475578406169666,0.6672297297297297,0.5475578406169666,0.6724436741767764,0.590455049944506,0.593505039193729,0.6672297297297297,0.6958762886597938,0.728643216080402,0.6317606444188723,0.7,0.4238026124818578,0.6671686746987953,0.4238026124818578,0.4238026124818578,0.4238026124818578,0.6566265060240963,0.45352112676056333,0.6557610241820768,0.594002306805075,0.594002306805075,0.5613608748481167,0.5291723202170964,0.5291723202170964,0.6285362853628536,0.6128608923884514,0.6428571428571428,0.6428571428571428,0.6864864864864865,0.7140221402214022,0.6006787330316742,0.5970937912813739,0.5469336670838548,0.6845878136200717,0.6029082774049217,0.7046263345195729,0.7089201877934272,0.7535211267605634,0.6962025316455696,0.7230215827338129,0.6955752212389381,0.45527156549520764,0.5545335085413929,0.7382198952879582,0.6776556776556777,0.7230215827338129,0.697594501718213
Faecalibacterium prausnitzii_J,0.6672661870503598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5042134831460674,0.5042134831460674,0.6823308270676691,0.685374149659864,0.685374149659864,0.27919708029197077,0.6156716417910448,0.6156716417910448,0.36111111111111116,0.5308953341740227,0.5308953341740227,0.6236686390532544,0.5263835263835264,0.37859424920127793,0.42902208201892744,0.6291161178509532,0.4612850082372323,0.4918032786885246,0.4918032786885246,0.6145454545454545,0.5700365408038977,0.5650602409638554,0.569672131147541,0.5427286356821589,0.35412844036697244,0.35412844036697244,0.5729729729729729,0.6375227686703097,0.4878419452887538,0.4453781512605042,0.6771799628942485,0.4338461538461539,0.6673114119922631,0.5027777777777778,0.6125,0.5261096605744126,0.5420918367346939,0.5322164948453608,0.6592844974446337,0.5908071748878924,0.5322164948453608,0.5378690629011553,0.5288831835686778,0.5977777777777777,0.5153452685421995,0.5923852183650615,0.608548931383577,0.5378690629011553,0.7016666666666667,0.695364238410596,0.6937086092715232,0.5288831835686778,0.6723842195540308,0.5153452685421995,0.5754824063564132,0.6233333333333333,0.6207264957264957,0.5592105263157895,0.7026578073089701,0.6031567080045096,0.6241534988713318,0.5528031290743155,0.5528031290743155,0.5528031290743155,0.736283185840708,0.5528031290743155,0.5528031290743155,0.5870098039215687,0.5818858560794045,0.6873920552677029,0.7140439932318106,0.6136363636363636,0.7246376811594203,0.5981524249422633,0.5475578406169666,0.6672297297297297,0.5475578406169666,0.6724436741767764,0.590455049944506,0.593505039193729,0.6672297297297297,0.6958762886597938,0.728643216080402,0.6317606444188723,0.7,0.4238026124818578,0.6671686746987953,0.4238026124818578,0.4238026124818578,0.4238026124818578,0.6566265060240963,0.45352112676056333,0.6557610241820768,0.594002306805075,0.594002306805075,0.5613608748481167,0.5291723202170964,0.5291723202170964,0.6285362853628536,0.6128608923884514,0.6428571428571428,0.6428571428571428,0.6864864864864865,0.7140221402214022,0.6006787330316742,0.5970937912813739,0.5469336670838548,0.6845878136200717,0.6029082774049217,0.7046263345195729,0.7089201877934272,0.7535211267605634,0.6962025316455696,0.7230215827338129,0.6955752212389381,0.45527156549520764,0.5545335085413929,0.7382198952879582,0.6776556776556777,0.7230215827338129,0.697594501718213
Faecalibacterium prausnitzii_A,0.6672661870503598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5042134831460674,0.5042134831460674,0.6823308270676691,0.685374149659864,0.685374149659864,0.27919708029197077,0.6156716417910448,0.6156716417910448,0.36111111111111116,0.5308953341740227,0.5308953341740227,0.6236686390532544,0.5263835263835264,0.37859424920127793,0.42902208201892744,0.6291161178509532,0.4612850082372323,0.4918032786885246,0.4918032786885246,0.6145454545454545,0.5700365408038977,0.5650602409638554,0.569672131147541,0.5427286356821589,0.35412844036697244,0.35412844036697244,0.5729729729729729,0.6375227686703097,0.4878419452887538,0.4453781512605042,0.6771799628942485,0.4338461538461539,0.6673114119922631,0.5027777777777778,0.6125,0.5261096605744126,0.5420918367346939,0.5322164948453608,0.6592844974446337,0.5908071748878924,0.5322164948453608,0.5378690629011553,0.5288831835686778,0.5977777777777777,0.5153452685421995,0.5923852183650615,0.608548931383577,0.5378690629011553,0.7016666666666667,0.695364238410596,0.6937086092715232,0.5288831835686778,0.6723842195540308,0.5153452685421995,0.5754824063564132,0.6233333333333333,0.6207264957264957,0.5592105263157895,0.7026578073089701,0.6031567080045096,0.6241534988713318,0.5528031290743155,0.5528031290743155,0.5528031290743155,0.736283185840708,0.5528031290743155,0.5528031290743155,0.5870098039215687,0.5818858560794045,0.6873920552677029,0.7140439932318106,0.6136363636363636,0.7246376811594203,0.5981524249422633,0.5475578406169666,0.6672297297297297,0.5475578406169666,0.6724436741767764,0.590455049944506,0.593505039193729,0.6672297297297297,0.6958762886597938,0.728643216080402,0.6317606444188723,0.7,0.4238026124818578,0.6671686746987953,0.4238026124818578,0.4238026124818578,0.4238026124818578,0.6566265060240963,0.45352112676056333,0.6557610241820768,0.594002306805075,0.594002306805075,0.5613608748481167,0.5291723202170964,0.5291723202170964,0.6285362853628536,0.6128608923884514,0.6428571428571428,0.6428571428571428,0.6864864864864865,0.7140221402214022,0.6006787330316742,0.5970937912813739,0.5469336670838548,0.6845878136200717,0.6029082774049217,0.7046263345195729,0.7089201877934272,0.7535211267605634,0.6962025316455696,0.7230215827338129,0.6955752212389381,0.45527156549520764,0.5545335085413929,0.7382198952879582,0.6776556776556777,0.7230215827338129,0.697594501718213
Faecalibacterium sp900758465,0.6672661870503598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5042134831460674,0.5042134831460674,0.6823308270676691,0.685374149659864,0.685374149659864,0.27919708029197077,0.6156716417910448,0.6156716417910448,0.36111111111111116,0.5308953341740227,0.5308953341740227,0.6236686390532544,0.5263835263835264,0.37859424920127793,0.42902208201892744,0.6291161178509532,0.4612850082372323,0.4918032786885246,0.4918032786885246,0.6145454545454545,0.5700365408038977,0.5650602409638554,0.569672131147541,0.5427286356821589,0.35412844036697244,0.35412844036697244,0.5729729729729729,0.6375227686703097,0.4878419452887538,0.4453781512605042,0.6771799628942485,0.4338461538461539,0.6673114119922631,0.5027777777777778,0.6125,0.5261096605744126,0.5420918367346939,0.5322164948453608,0.6592844974446337,0.5908071748878924,0.5322164948453608,0.5378690629011553,0.5288831835686778,0.5977777777777777,0.5153452685421995,0.5923852183650615,0.608548931383577,0.5378690629011553,0.7016666666666667,0.695364238410596,0.6937086092715232,0.5288831835686778,0.6723842195540308,0.5153452685421995,0.5754824063564132,0.6233333333333333,0.6207264957264957,0.5592105263157895,0.7026578073089701,0.6031567080045096,0.6241534988713318,0.5528031290743155,0.5528031290743155,0.5528031290743155,0.736283185840708,0.5528031290743155,0.5528031290743155,0.5870098039215687,0.5818858560794045,0.6873920552677029,0.7140439932318106,0.6136363636363636,0.7246376811594203,0.5981524249422633,0.5475578406169666,0.6672297297297297,0.5475578406169666,0.6724436741767764,0.590455049944506,0.593505039193729,0.6672297297297297,0.6958762886597938,0.728643216080402,0.6317606444188723,0.7,0.4238026124818578,0.6671686746987953,0.4238026124818578,0.4238026124818578,0.4238026124818578,0.6566265060240963,0.45352112676056333,0.6557610241820768,0.594002306805075,0.594002306805075,0.5613608748481167,0.5291723202170964,0.5291723202170964,0.6285362853628536,0.6128608923884514,0.6428571428571428,0.6428571428571428,0.6864864864864865,0.7140221402214022,0.6006787330316742,0.5970937912813739,0.5469336670838548,0.6845878136200717,0.6029082774049217,0.7046263345195729,0.7089201877934272,0.7535211267605634,0.6962025316455696,0.7230215827338129,0.6955752212389381,0.45527156549520764,0.5545335085413929,0.7382198952879582,0.6776556776556777,0.7230215827338129,0.697594501718213
Faecalibacterium prausnitzii_H,0.6672661870503598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5042134831460674,0.5042134831460674,0.6823308270676691,0.685374149659864,0.685374149659864,0.27919708029197077,0.6156716417910448,0.6156716417910448,0.36111111111111116,0.5308953341740227,0.5308953341740227,0.6236686390532544,0.5263835263835264,0.37859424920127793,0.42902208201892744,0.6291161178509532,0.4612850082372323,0.4918032786885246,0.4918032786885246,0.6145454545454545,0.5700365408038977,0.5650602409638554,0.569672131147541,0.5427286356821589,0.35412844036697244,0.35412844036697244,0.5729729729729729,0.6375227686703097,0.4878419452887538,0.4453781512605042,0.6771799628942485,0.4338461538461539,0.6673114119922631,0.5027777777777778,0.6125,0.5261096605744126,0.5420918367346939,0.5322164948453608,0.6592844974446337,0.5908071748878924,0.5322164948453608,0.5378690629011553,0.5288831835686778,0.5977777777777777,0.5153452685421995,0.5923852183650615,0.608548931383577,0.5378690629011553,0.7016666666666667,0.695364238410596,0.6937086092715232,0.5288831835686778,0.6723842195540308,0.5153452685421995,0.5754824063564132,0.6233333333333333,0.6207264957264957,0.5592105263157895,0.7026578073089701,0.6031567080045096,0.6241534988713318,0.5528031290743155,0.5528031290743155,0.5528031290743155,0.736283185840708,0.5528031290743155,0.5528031290743155,0.5870098039215687,0.5818858560794045,0.6873920552677029,0.7140439932318106,0.6136363636363636,0.7246376811594203,0.5981524249422633,0.5475578406169666,0.6672297297297297,0.5475578406169666,0.6724436741767764,0.590455049944506,0.593505039193729,0.6672297297297297,0.6958762886597938,0.728643216080402,0.6317606444188723,0.7,0.4238026124818578,0.6671686746987953,0.4238026124818578,0.4238026124818578,0.4238026124818578,0.6566265060240963,0.45352112676056333,0.6557610241820768,0.594002306805075,0.594002306805075,0.5613608748481167,0.5291723202170964,0.5291723202170964,0.6285362853628536,0.6128608923884514,0.6428571428571428,0.6428571428571428,0.6864864864864865,0.7140221402214022,0.6006787330316742,0.5970937912813739,0.5469336670838548,0.6845878136200717,0.6029082774049217,0.7046263345195729,0.7089201877934272,0.7535211267605634,0.6962025316455696,0.7230215827338129,0.6955752212389381,0.45527156549520764,0.5545335085413929,0.7382198952879582,0.6776556776556777,0.7230215827338129,0.697594501718213
Faecalibacterium prausnitzii_E,0.6672661870503598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5042134831460674,0.5042134831460674,0.6823308270676691,0.685374149659864,0.685374149659864,0.27919708029197077,0.6156716417910448,0.6156716417910448,0.36111111111111116,0.5308953341740227,0.5308953341740227,0.6236686390532544,0.5263835263835264,0.37859424920127793,0.42902208201892744,0.6291161178509532,0.4612850082372323,0.4918032786885246,0.4918032786885246,0.6145454545454545,0.5700365408038977,0.5650602409638554,0.569672131147541,0.5427286356821589,0.35412844036697244,0.35412844036697244,0.5729729729729729,0.6375227686703097,0.4878419452887538,0.4453781512605042,0.6771799628942485,0.4338461538461539,0.6673114119922631,0.5027777777777778,0.6125,0.5261096605744126,0.5420918367346939,0.5322164948453608,0.6592844974446337,0.5908071748878924,0.5322164948453608,0.5378690629011553,0.5288831835686778,0.5977777777777777,0.5153452685421995,0.5923852183650615,0.608548931383577,0.5378690629011553,0.7016666666666667,0.695364238410596,0.6937086092715232,0.5288831835686778,0.6723842195540308,0.5153452685421995,0.5754824063564132,0.6233333333333333,0.6207264957264957,0.5592105263157895,0.7026578073089701,0.6031567080045096,0.6241534988713318,0.5528031290743155,0.5528031290743155,0.5528031290743155,0.736283185840708,0.5528031290743155,0.5528031290743155,0.5870098039215687,0.5818858560794045,0.6873920552677029,0.7140439932318106,0.6136363636363636,0.7246376811594203,0.5981524249422633,0.5475578406169666,0.6672297297297297,0.5475578406169666,0.6724436741767764,0.590455049944506,0.593505039193729,0.6672297297297297,0.6958762886597938,0.728643216080402,0.6317606444188723,0.7,0.4238026124818578,0.6671686746987953,0.4238026124818578,0.4238026124818578,0.4238026124818578,0.6566265060240963,0.45352112676056333,0.6557610241820768,0.594002306805075,0.594002306805075,0.5613608748481167,0.5291723202170964,0.5291723202170964,0.6285362853628536,0.6128608923884514,0.6428571428571428,0.6428571428571428,0.6864864864864865,0.7140221402214022,0.6006787330316742,0.5970937912813739,0.5469336670838548,0.6845878136200717,0.6029082774049217,0.7046263345195729,0.7089201877934272,0.7535211267605634,0.6962025316455696,0.7230215827338129,0.6955752212389381,0.45527156549520764,0.5545335085413929,0.7382198952879582,0.6776556776556777,0.7230215827338129,0.697594501718213
