,Flavonifractor plautii,Faecalibacterium prausnitzii_C,Faecalibacterium prausnitzii,Faecalibacterium sp900539885,Faecalibacterium prausnitzii_G,Faecalibacterium prausnitzii_J,Faecalibacterium prausnitzii_A,Faecalibacterium sp900758465,Faecalibacterium prausnitzii_H,Faecalibacterium prausnitzii_E,Faecalibacterium prausnitzii_F,Gemmiger formicilis,Gemmiger sp900540775,Anaerotruncus colihominis,Ruminococcus_E bromii_B,Ruminococcus_E bromii,Blautia_A obeum,Blautia_A wexlerae,Blautia_A wexlerae_B,Agathobacter sp900317585,Mediterraneibacter faecis,Mediterraneibacter torques,Mediterraneibacter lactaris,Enterocloster bolteae,Enterocloster citroniae,Enterocloster asparagiformis,Enterocloster clostridioformis,Coprococcus eutactus,Dorea_A longicatena_B,Dorea_A longicatena,Lachnospira eligens_A,Roseburia inulinivorans,Roseburia intestinalis,Anaerostipes hadrus,Eubacterium_G ventriosum,Bariatricus comes,Bariatricus comes_A,Anaerobutyricum hallii,Anaerobutyricum soehngenii,Dorea formicigenerans,Coprococcus_A catus,Eubacterium_I ramulus,Clostridium_Q symbiosum,Bacteroides_F pectinophilus,Ruminococcus_B gnavus,Hungatella effluvii,Bacteroides uniformis,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides timonensis,Bacteroides stercoris,Bacteroides sp900552405,Bacteroides intestinalis_A,Bacteroides xylanisolvens,Bacteroides eggerthii,Bacteroides fragilis,Bacteroides fluxus,Bacteroides finegoldii,Bacteroides intestinalis,Bacteroides faecis,Bacteroides nordii,Bacteroides salyersiae,Bacteroides sp902362375,Bacteroides oleiciplenus,Bacteroides fragilis_A,Bacteroides clarus,Phocaeicola dorei,Phocaeicola vulgatus,Phocaeicola plebeius,Phocaeicola massiliensis,Phocaeicola coprocola,Phocaeicola coprophilus,Prevotella sp900313215,Prevotella sp900551275,Prevotella copri_A,Prevotella stercorea,Prevotella sp015074785,Prevotella copri,Paraprevotella clara,Paraprevotella xylaniphila,Alistipes onderdonkii,Alistipes finegoldii,Alistipes shahii,Alistipes putredinis,Alistipes_A indistinctus,Parabacteroides distasonis,Parabacteroides goldsteinii,Parabacteroides distasonis_A,Parabacteroides gordonii,Parabacteroides merdae,Parabacteroides johnsonii,Parabacteroides timonensis,Butyricimonas virosa,Odoribacter splanchnicus,Barnesiella intestinihominis,Parasutterella excrementihominis,Escherichia coli,Escherichia fergusonii,Escherichia ruysiae,Escherichia sp005843885,Escherichia coli_E,Escherichia albertii,Hafnia alvei,Klebsiella pneumoniae,Akkermansia muciniphila,Akkermansia muciniphila_B,Erysipelatoclostridium ramosum,Catenibacterium sp000437715,Catenibacterium mitsuokai,Holdemania filiformis,Holdemanella biformis,Streptococcus salivarius,Streptococcus sp001556435,Streptococcus thermophilus,Adlercreutzia celatus_A,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Bifidobacterium catenulatum,Bifidobacterium ruminantium,Bifidobacterium bifidum,Desulfovibrio sp900556755,Bilophila wadsworthia,Dialister invisus,Veillonella parvula_A,Phascolarctobacterium_A succinatutens,Acidaminococcus fermentans,Mitsuokella multacida,Ligilactobacillus ruminis,Sutterella wadsworthensis,Acidaminococcus intestini,Phascolarctobacterium_A succinatutens_A,Megasphaera elsdenii
Flavonifractor plautii,0.0,0.6327944572748267,0.6327944572748267,0.6327944572748267,0.6327944572748267,0.6327944572748267,0.6327944572748267,0.6327944572748267,0.6327944572748267,0.6327944572748267,0.6327944572748267,0.7001140250855188,0.7001140250855188,0.6264044943820224,0.8329545454545455,0.8329545454545455,0.6218678815489749,0.5224963715529753,0.5224963715529753,0.7200460829493087,0.6338028169014085,0.6338028169014085,0.7095588235294117,0.7181069958847737,0.5774647887323944,0.6561479869423286,0.5261627906976745,0.6841517857142857,0.7427652733118971,0.7427652733118971,0.6089466089466089,0.6886574074074074,0.7056818181818182,0.7005780346820809,0.7492063492063492,0.6964477933261571,0.6964477933261571,0.740782122905028,0.5789473684210527,0.5639464068209501,0.5581395348837209,0.5881481481481481,0.6271929824561404,0.6743515850144093,0.6843373493975904,0.4260614934114202,0.7858002406738869,0.8121212121212121,0.8153503893214683,0.6965517241379311,0.788627935723115,0.8153503893214683,0.7799511002444988,0.7946859903381642,0.810479375696767,0.758364312267658,0.701363073110285,0.7676143386897404,0.7799511002444988,0.6805929919137466,0.6723016905071522,0.6935483870967742,0.7946859903381642,0.6977363515312915,0.758364312267658,0.7063291139240506,0.7759626604434072,0.7668711656441718,0.7916152897657214,0.6937416777629827,0.795593635250918,0.7848258706467661,0.8367117117117118,0.8367117117117118,0.8367117117117118,0.7507507507507507,0.8367117117117118,0.8367117117117118,0.7637795275590551,0.7568493150684932,0.7272727272727273,0.6873278236914601,0.7395701643489254,0.8108484005563282,0.7031070195627158,0.7761194029850746,0.5742574257425743,0.7761194029850746,0.6094674556213018,0.768170426065163,0.7637292464878671,0.5742574257425743,0.6206896551724138,0.7506666666666667,0.7751937984496124,0.5896700143472022,0.7616525423728814,0.6074168797953965,0.7616525423728814,0.7616525423728814,0.7616525423728814,0.6640316205533596,0.6444444444444444,0.6769041769041769,0.7716535433070866,0.7716535433070866,0.7559055118110236,0.7364425162689805,0.7364425162689805,0.6922196796338673,0.7105263157894737,0.6111951588502269,0.6111951588502269,0.7274011299435028,0.6451127819548872,0.6772068511198945,0.7428571428571429,0.685904550499445,0.6198830409356726,0.7014157014157014,0.745985401459854,0.7727771679473107,0.6754002911208151,0.6770370370370371,0.6534653465346535,0.6427586206896552,0.7739420935412027,0.7443693693693694,0.6652777777777779,0.6924198250728864,0.6534653465346535,0.5991058122205664
Faecalibacterium prausnitzii_C,0.6327944572748267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5519553072625698,0.5519553072625698,0.6844547563805105,0.8228855721393035,0.8228855721393035,0.33211233211233215,0.600715137067938,0.600715137067938,0.5215869311551926,0.6706521739130435,0.6706521739130435,0.76,0.6187192118226601,0.5162689804772234,0.5585492227979274,0.6283704572098476,0.5767590618336886,0.5233333333333333,0.5233333333333333,0.6538461538461539,0.6793032786885246,0.6690647482014389,0.6221743810548978,0.5377049180327869,0.4760312151616499,0.4760312151616499,0.6307363927427961,0.6474201474201474,0.6020942408376964,0.5823591923485654,0.6654632972322503,0.5676500508646999,0.7051744885679904,0.6849315068493151,0.5551643192488263,0.7839248434237995,0.7902023429179978,0.7898909811694748,0.753114382785957,0.7798066595059077,0.7898909811694748,0.7801268498942917,0.777542372881356,0.7794411177644711,0.7887029288702929,0.7405857740585774,0.7977059436913452,0.7801268498942917,0.7663043478260869,0.7701149425287357,0.7672131147540984,0.777542372881356,0.7524752475247525,0.7887029288702929,0.7454739084132056,0.799800796812749,0.795643153526971,0.8042105263157895,0.7721382289416847,0.7949260042283298,0.8073684210526315,0.6788888888888889,0.6788888888888889,0.6788888888888889,0.8403755868544601,0.6788888888888889,0.6788888888888889,0.718079673135853,0.7151702786377709,0.7586206896551724,0.7468926553672317,0.7837552742616034,0.8325635103926097,0.7170000000000001,0.7872340425531915,0.6832579185520362,0.7872340425531915,0.7255813953488373,0.7831196581196581,0.7874865156418555,0.6832579185520362,0.7361268403171009,0.8170995670995671,0.8217716115261473,0.6923076923076923,0.5212053571428572,0.6684491978609626,0.5212053571428572,0.5212053571428572,0.5212053571428572,0.7156970362239298,0.5586760280842528,0.7034700315457414,0.7893569844789357,0.7893569844789357,0.6356756756756756,0.639546858908342,0.639546858908342,0.7521613832853026,0.7042801556420233,0.7044632086851628,0.7044632086851628,0.7794457274826789,0.7651869158878505,0.7053571428571428,0.6500519210799585,0.5729499467518637,0.6966824644549763,0.673120728929385,0.7741545893719807,0.800376647834275,0.7886363636363636,0.7346200241254524,0.7220299884659747,0.731924360400445,0.6351791530944626,0.6391862955032119,0.7349943374858436,0.7389221556886227,0.7220299884659747,0.719626168224299
Faecalibacterium prausnitzii,0.6327944572748267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5519553072625698,0.5519553072625698,0.6844547563805105,0.8228855721393035,0.8228855721393035,0.33211233211233215,0.600715137067938,0.600715137067938,0.5215869311551926,0.6706521739130435,0.6706521739130435,0.76,0.6187192118226601,0.5162689804772234,0.5585492227979274,0.6283704572098476,0.5767590618336886,0.5233333333333333,0.5233333333333333,0.6538461538461539,0.6793032786885246,0.6690647482014389,0.6221743810548978,0.5377049180327869,0.4760312151616499,0.4760312151616499,0.6307363927427961,0.6474201474201474,0.6020942408376964,0.5823591923485654,0.6654632972322503,0.5676500508646999,0.7051744885679904,0.6849315068493151,0.5551643192488263,0.7839248434237995,0.7902023429179978,0.7898909811694748,0.753114382785957,0.7798066595059077,0.7898909811694748,0.7801268498942917,0.777542372881356,0.7794411177644711,0.7887029288702929,0.7405857740585774,0.7977059436913452,0.7801268498942917,0.7663043478260869,0.7701149425287357,0.7672131147540984,0.777542372881356,0.7524752475247525,0.7887029288702929,0.7454739084132056,0.799800796812749,0.795643153526971,0.8042105263157895,0.7721382289416847,0.7949260042283298,0.8073684210526315,0.6788888888888889,0.6788888888888889,0.6788888888888889,0.8403755868544601,0.6788888888888889,0.6788888888888889,0.718079673135853,0.7151702786377709,0.7586206896551724,0.7468926553672317,0.7837552742616034,0.8325635103926097,0.7170000000000001,0.7872340425531915,0.6832579185520362,0.7872340425531915,0.7255813953488373,0.7831196581196581,0.7874865156418555,0.6832579185520362,0.7361268403171009,0.8170995670995671,0.8217716115261473,0.6923076923076923,0.5212053571428572,0.6684491978609626,0.5212053571428572,0.5212053571428572,0.5212053571428572,0.7156970362239298,0.5586760280842528,0.7034700315457414,0.7893569844789357,0.7893569844789357,0.6356756756756756,0.639546858908342,0.639546858908342,0.7521613832853026,0.7042801556420233,0.7044632086851628,0.7044632086851628,0.7794457274826789,0.7651869158878505,0.7053571428571428,0.6500519210799585,0.5729499467518637,0.6966824644549763,0.673120728929385,0.7741545893719807,0.800376647834275,0.7886363636363636,0.7346200241254524,0.7220299884659747,0.731924360400445,0.6351791530944626,0.6391862955032119,0.7349943374858436,0.7389221556886227,0.7220299884659747,0.719626168224299
Faecalibacterium sp900539885,0.6327944572748267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5519553072625698,0.5519553072625698,0.6844547563805105,0.8228855721393035,0.8228855721393035,0.33211233211233215,0.600715137067938,0.600715137067938,0.5215869311551926,0.6706521739130435,0.6706521739130435,0.76,0.6187192118226601,0.5162689804772234,0.5585492227979274,0.6283704572098476,0.5767590618336886,0.5233333333333333,0.5233333333333333,0.6538461538461539,0.6793032786885246,0.6690647482014389,0.6221743810548978,0.5377049180327869,0.4760312151616499,0.4760312151616499,0.6307363927427961,0.6474201474201474,0.6020942408376964,0.5823591923485654,0.6654632972322503,0.5676500508646999,0.7051744885679904,0.6849315068493151,0.5551643192488263,0.7839248434237995,0.7902023429179978,0.7898909811694748,0.753114382785957,0.7798066595059077,0.7898909811694748,0.7801268498942917,0.777542372881356,0.7794411177644711,0.7887029288702929,0.7405857740585774,0.7977059436913452,0.7801268498942917,0.7663043478260869,0.7701149425287357,0.7672131147540984,0.777542372881356,0.7524752475247525,0.7887029288702929,0.7454739084132056,0.799800796812749,0.795643153526971,0.8042105263157895,0.7721382289416847,0.7949260042283298,0.8073684210526315,0.6788888888888889,0.6788888888888889,0.6788888888888889,0.8403755868544601,0.6788888888888889,0.6788888888888889,0.718079673135853,0.7151702786377709,0.7586206896551724,0.7468926553672317,0.7837552742616034,0.8325635103926097,0.7170000000000001,0.7872340425531915,0.6832579185520362,0.7872340425531915,0.7255813953488373,0.7831196581196581,0.7874865156418555,0.6832579185520362,0.7361268403171009,0.8170995670995671,0.8217716115261473,0.6923076923076923,0.5212053571428572,0.6684491978609626,0.5212053571428572,0.5212053571428572,0.5212053571428572,0.7156970362239298,0.5586760280842528,0.7034700315457414,0.7893569844789357,0.7893569844789357,0.6356756756756756,0.639546858908342,0.639546858908342,0.7521613832853026,0.7042801556420233,0.7044632086851628,0.7044632086851628,0.7794457274826789,0.7651869158878505,0.7053571428571428,0.6500519210799585,0.5729499467518637,0.6966824644549763,0.673120728929385,0.7741545893719807,0.800376647834275,0.7886363636363636,0.7346200241254524,0.7220299884659747,0.731924360400445,0.6351791530944626,0.6391862955032119,0.7349943374858436,0.7389221556886227,0.7220299884659747,0.719626168224299
Faecalibacterium prausnitzii_G,0.6327944572748267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5519553072625698,0.5519553072625698,0.6844547563805105,0.8228855721393035,0.8228855721393035,0.33211233211233215,0.600715137067938,0.600715137067938,0.5215869311551926,0.6706521739130435,0.6706521739130435,0.76,0.6187192118226601,0.5162689804772234,0.5585492227979274,0.6283704572098476,0.5767590618336886,0.5233333333333333,0.5233333333333333,0.6538461538461539,0.6793032786885246,0.6690647482014389,0.6221743810548978,0.5377049180327869,0.4760312151616499,0.4760312151616499,0.6307363927427961,0.6474201474201474,0.6020942408376964,0.5823591923485654,0.6654632972322503,0.5676500508646999,0.7051744885679904,0.6849315068493151,0.5551643192488263,0.7839248434237995,0.7902023429179978,0.7898909811694748,0.753114382785957,0.7798066595059077,0.7898909811694748,0.7801268498942917,0.777542372881356,0.7794411177644711,0.7887029288702929,0.7405857740585774,0.7977059436913452,0.7801268498942917,0.7663043478260869,0.7701149425287357,0.7672131147540984,0.777542372881356,0.7524752475247525,0.7887029288702929,0.7454739084132056,0.799800796812749,0.795643153526971,0.8042105263157895,0.7721382289416847,0.7949260042283298,0.8073684210526315,0.6788888888888889,0.6788888888888889,0.6788888888888889,0.8403755868544601,0.6788888888888889,0.6788888888888889,0.718079673135853,0.7151702786377709,0.7586206896551724,0.7468926553672317,0.7837552742616034,0.8325635103926097,0.7170000000000001,0.7872340425531915,0.6832579185520362,0.7872340425531915,0.7255813953488373,0.7831196581196581,0.7874865156418555,0.6832579185520362,0.7361268403171009,0.8170995670995671,0.8217716115261473,0.6923076923076923,0.5212053571428572,0.6684491978609626,0.5212053571428572,0.5212053571428572,0.5212053571428572,0.7156970362239298,0.5586760280842528,0.7034700315457414,0.7893569844789357,0.7893569844789357,0.6356756756756756,0.639546858908342,0.639546858908342,0.7521613832853026,0.7042801556420233,0.7044632086851628,0.7044632086851628,0.7794457274826789,0.7651869158878505,0.7053571428571428,0.6500519210799585,0.5729499467518637,0.6966824644549763,0.673120728929385,0.7741545893719807,0.800376647834275,0.7886363636363636,0.7346200241254524,0.7220299884659747,0.731924360400445,0.6351791530944626,0.6391862955032119,0.7349943374858436,0.7389221556886227,0.7220299884659747,0.719626168224299
Faecalibacterium prausnitzii_J,0.6327944572748267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5519553072625698,0.5519553072625698,0.6844547563805105,0.8228855721393035,0.8228855721393035,0.33211233211233215,0.600715137067938,0.600715137067938,0.5215869311551926,0.6706521739130435,0.6706521739130435,0.76,0.6187192118226601,0.5162689804772234,0.5585492227979274,0.6283704572098476,0.5767590618336886,0.5233333333333333,0.5233333333333333,0.6538461538461539,0.6793032786885246,0.6690647482014389,0.6221743810548978,0.5377049180327869,0.4760312151616499,0.4760312151616499,0.6307363927427961,0.6474201474201474,0.6020942408376964,0.5823591923485654,0.6654632972322503,0.5676500508646999,0.7051744885679904,0.6849315068493151,0.5551643192488263,0.7839248434237995,0.7902023429179978,0.7898909811694748,0.753114382785957,0.7798066595059077,0.7898909811694748,0.7801268498942917,0.777542372881356,0.7794411177644711,0.7887029288702929,0.7405857740585774,0.7977059436913452,0.7801268498942917,0.7663043478260869,0.7701149425287357,0.7672131147540984,0.777542372881356,0.7524752475247525,0.7887029288702929,0.7454739084132056,0.799800796812749,0.795643153526971,0.8042105263157895,0.7721382289416847,0.7949260042283298,0.8073684210526315,0.6788888888888889,0.6788888888888889,0.6788888888888889,0.8403755868544601,0.6788888888888889,0.6788888888888889,0.718079673135853,0.7151702786377709,0.7586206896551724,0.7468926553672317,0.7837552742616034,0.8325635103926097,0.7170000000000001,0.7872340425531915,0.6832579185520362,0.7872340425531915,0.7255813953488373,0.7831196581196581,0.7874865156418555,0.6832579185520362,0.7361268403171009,0.8170995670995671,0.8217716115261473,0.6923076923076923,0.5212053571428572,0.6684491978609626,0.5212053571428572,0.5212053571428572,0.5212053571428572,0.7156970362239298,0.5586760280842528,0.7034700315457414,0.7893569844789357,0.7893569844789357,0.6356756756756756,0.639546858908342,0.639546858908342,0.7521613832853026,0.7042801556420233,0.7044632086851628,0.7044632086851628,0.7794457274826789,0.7651869158878505,0.7053571428571428,0.6500519210799585,0.5729499467518637,0.6966824644549763,0.673120728929385,0.7741545893719807,0.800376647834275,0.7886363636363636,0.7346200241254524,0.7220299884659747,0.731924360400445,0.6351791530944626,0.6391862955032119,0.7349943374858436,0.7389221556886227,0.7220299884659747,0.719626168224299
Faecalibacterium prausnitzii_A,0.6327944572748267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5519553072625698,0.5519553072625698,0.6844547563805105,0.8228855721393035,0.8228855721393035,0.33211233211233215,0.600715137067938,0.600715137067938,0.5215869311551926,0.6706521739130435,0.6706521739130435,0.76,0.6187192118226601,0.5162689804772234,0.5585492227979274,0.6283704572098476,0.5767590618336886,0.5233333333333333,0.5233333333333333,0.6538461538461539,0.6793032786885246,0.6690647482014389,0.6221743810548978,0.5377049180327869,0.4760312151616499,0.4760312151616499,0.6307363927427961,0.6474201474201474,0.6020942408376964,0.5823591923485654,0.6654632972322503,0.5676500508646999,0.7051744885679904,0.6849315068493151,0.5551643192488263,0.7839248434237995,0.7902023429179978,0.7898909811694748,0.753114382785957,0.7798066595059077,0.7898909811694748,0.7801268498942917,0.777542372881356,0.7794411177644711,0.7887029288702929,0.7405857740585774,0.7977059436913452,0.7801268498942917,0.7663043478260869,0.7701149425287357,0.7672131147540984,0.777542372881356,0.7524752475247525,0.7887029288702929,0.7454739084132056,0.799800796812749,0.795643153526971,0.8042105263157895,0.7721382289416847,0.7949260042283298,0.8073684210526315,0.6788888888888889,0.6788888888888889,0.6788888888888889,0.8403755868544601,0.6788888888888889,0.6788888888888889,0.718079673135853,0.7151702786377709,0.7586206896551724,0.7468926553672317,0.7837552742616034,0.8325635103926097,0.7170000000000001,0.7872340425531915,0.6832579185520362,0.7872340425531915,0.7255813953488373,0.7831196581196581,0.7874865156418555,0.6832579185520362,0.7361268403171009,0.8170995670995671,0.8217716115261473,0.6923076923076923,0.5212053571428572,0.6684491978609626,0.5212053571428572,0.5212053571428572,0.5212053571428572,0.7156970362239298,0.5586760280842528,0.7034700315457414,0.7893569844789357,0.7893569844789357,0.6356756756756756,0.639546858908342,0.639546858908342,0.7521613832853026,0.7042801556420233,0.7044632086851628,0.7044632086851628,0.7794457274826789,0.7651869158878505,0.7053571428571428,0.6500519210799585,0.5729499467518637,0.6966824644549763,0.673120728929385,0.7741545893719807,0.800376647834275,0.7886363636363636,0.7346200241254524,0.7220299884659747,0.731924360400445,0.6351791530944626,0.6391862955032119,0.7349943374858436,0.7389221556886227,0.7220299884659747,0.719626168224299
Faecalibacterium sp900758465,0.6327944572748267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5519553072625698,0.5519553072625698,0.6844547563805105,0.8228855721393035,0.8228855721393035,0.33211233211233215,0.600715137067938,0.600715137067938,0.5215869311551926,0.6706521739130435,0.6706521739130435,0.76,0.6187192118226601,0.5162689804772234,0.5585492227979274,0.6283704572098476,0.5767590618336886,0.5233333333333333,0.5233333333333333,0.6538461538461539,0.6793032786885246,0.6690647482014389,0.6221743810548978,0.5377049180327869,0.4760312151616499,0.4760312151616499,0.6307363927427961,0.6474201474201474,0.6020942408376964,0.5823591923485654,0.6654632972322503,0.5676500508646999,0.7051744885679904,0.6849315068493151,0.5551643192488263,0.7839248434237995,0.7902023429179978,0.7898909811694748,0.753114382785957,0.7798066595059077,0.7898909811694748,0.7801268498942917,0.777542372881356,0.7794411177644711,0.7887029288702929,0.7405857740585774,0.7977059436913452,0.7801268498942917,0.7663043478260869,0.7701149425287357,0.7672131147540984,0.777542372881356,0.7524752475247525,0.7887029288702929,0.7454739084132056,0.799800796812749,0.795643153526971,0.8042105263157895,0.7721382289416847,0.7949260042283298,0.8073684210526315,0.6788888888888889,0.6788888888888889,0.6788888888888889,0.8403755868544601,0.6788888888888889,0.6788888888888889,0.718079673135853,0.7151702786377709,0.7586206896551724,0.7468926553672317,0.7837552742616034,0.8325635103926097,0.7170000000000001,0.7872340425531915,0.6832579185520362,0.7872340425531915,0.7255813953488373,0.7831196581196581,0.7874865156418555,0.6832579185520362,0.7361268403171009,0.8170995670995671,0.8217716115261473,0.6923076923076923,0.5212053571428572,0.6684491978609626,0.5212053571428572,0.5212053571428572,0.5212053571428572,0.7156970362239298,0.5586760280842528,0.7034700315457414,0.7893569844789357,0.7893569844789357,0.6356756756756756,0.639546858908342,0.639546858908342,0.7521613832853026,0.7042801556420233,0.7044632086851628,0.7044632086851628,0.7794457274826789,0.7651869158878505,0.7053571428571428,0.6500519210799585,0.5729499467518637,0.6966824644549763,0.673120728929385,0.7741545893719807,0.800376647834275,0.7886363636363636,0.7346200241254524,0.7220299884659747,0.731924360400445,0.6351791530944626,0.6391862955032119,0.7349943374858436,0.7389221556886227,0.7220299884659747,0.719626168224299
Faecalibacterium prausnitzii_H,0.6327944572748267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5519553072625698,0.5519553072625698,0.6844547563805105,0.8228855721393035,0.8228855721393035,0.33211233211233215,0.600715137067938,0.600715137067938,0.5215869311551926,0.6706521739130435,0.6706521739130435,0.76,0.6187192118226601,0.5162689804772234,0.5585492227979274,0.6283704572098476,0.5767590618336886,0.5233333333333333,0.5233333333333333,0.6538461538461539,0.6793032786885246,0.6690647482014389,0.6221743810548978,0.5377049180327869,0.4760312151616499,0.4760312151616499,0.6307363927427961,0.6474201474201474,0.6020942408376964,0.5823591923485654,0.6654632972322503,0.5676500508646999,0.7051744885679904,0.6849315068493151,0.5551643192488263,0.7839248434237995,0.7902023429179978,0.7898909811694748,0.753114382785957,0.7798066595059077,0.7898909811694748,0.7801268498942917,0.777542372881356,0.7794411177644711,0.7887029288702929,0.7405857740585774,0.7977059436913452,0.7801268498942917,0.7663043478260869,0.7701149425287357,0.7672131147540984,0.777542372881356,0.7524752475247525,0.7887029288702929,0.7454739084132056,0.799800796812749,0.795643153526971,0.8042105263157895,0.7721382289416847,0.7949260042283298,0.8073684210526315,0.6788888888888889,0.6788888888888889,0.6788888888888889,0.8403755868544601,0.6788888888888889,0.6788888888888889,0.718079673135853,0.7151702786377709,0.7586206896551724,0.7468926553672317,0.7837552742616034,0.8325635103926097,0.7170000000000001,0.7872340425531915,0.6832579185520362,0.7872340425531915,0.7255813953488373,0.7831196581196581,0.7874865156418555,0.6832579185520362,0.7361268403171009,0.8170995670995671,0.8217716115261473,0.6923076923076923,0.5212053571428572,0.6684491978609626,0.5212053571428572,0.5212053571428572,0.5212053571428572,0.7156970362239298,0.5586760280842528,0.7034700315457414,0.7893569844789357,0.7893569844789357,0.6356756756756756,0.639546858908342,0.639546858908342,0.7521613832853026,0.7042801556420233,0.7044632086851628,0.7044632086851628,0.7794457274826789,0.7651869158878505,0.7053571428571428,0.6500519210799585,0.5729499467518637,0.6966824644549763,0.673120728929385,0.7741545893719807,0.800376647834275,0.7886363636363636,0.7346200241254524,0.7220299884659747,0.731924360400445,0.6351791530944626,0.6391862955032119,0.7349943374858436,0.7389221556886227,0.7220299884659747,0.719626168224299
Faecalibacterium prausnitzii_E,0.6327944572748267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5519553072625698,0.5519553072625698,0.6844547563805105,0.8228855721393035,0.8228855721393035,0.33211233211233215,0.600715137067938,0.600715137067938,0.5215869311551926,0.6706521739130435,0.6706521739130435,0.76,0.6187192118226601,0.5162689804772234,0.5585492227979274,0.6283704572098476,0.5767590618336886,0.5233333333333333,0.5233333333333333,0.6538461538461539,0.6793032786885246,0.6690647482014389,0.6221743810548978,0.5377049180327869,0.4760312151616499,0.4760312151616499,0.6307363927427961,0.6474201474201474,0.6020942408376964,0.5823591923485654,0.6654632972322503,0.5676500508646999,0.7051744885679904,0.6849315068493151,0.5551643192488263,0.7839248434237995,0.7902023429179978,0.7898909811694748,0.753114382785957,0.7798066595059077,0.7898909811694748,0.7801268498942917,0.777542372881356,0.7794411177644711,0.7887029288702929,0.7405857740585774,0.7977059436913452,0.7801268498942917,0.7663043478260869,0.7701149425287357,0.7672131147540984,0.777542372881356,0.7524752475247525,0.7887029288702929,0.7454739084132056,0.799800796812749,0.795643153526971,0.8042105263157895,0.7721382289416847,0.7949260042283298,0.8073684210526315,0.6788888888888889,0.6788888888888889,0.6788888888888889,0.8403755868544601,0.6788888888888889,0.6788888888888889,0.718079673135853,0.7151702786377709,0.7586206896551724,0.7468926553672317,0.7837552742616034,0.8325635103926097,0.7170000000000001,0.7872340425531915,0.6832579185520362,0.7872340425531915,0.7255813953488373,0.7831196581196581,0.7874865156418555,0.6832579185520362,0.7361268403171009,0.8170995670995671,0.8217716115261473,0.6923076923076923,0.5212053571428572,0.6684491978609626,0.5212053571428572,0.5212053571428572,0.5212053571428572,0.7156970362239298,0.5586760280842528,0.7034700315457414,0.7893569844789357,0.7893569844789357,0.6356756756756756,0.639546858908342,0.639546858908342,0.7521613832853026,0.7042801556420233,0.7044632086851628,0.7044632086851628,0.7794457274826789,0.7651869158878505,0.7053571428571428,0.6500519210799585,0.5729499467518637,0.6966824644549763,0.673120728929385,0.7741545893719807,0.800376647834275,0.7886363636363636,0.7346200241254524,0.7220299884659747,0.731924360400445,0.6351791530944626,0.6391862955032119,0.7349943374858436,0.7389221556886227,0.7220299884659747,0.719626168224299
