,Flavonifractor plautii,Faecalibacterium prausnitzii_C,Faecalibacterium prausnitzii,Faecalibacterium sp900539885,Faecalibacterium prausnitzii_G,Faecalibacterium prausnitzii_J,Faecalibacterium prausnitzii_A,Faecalibacterium sp900758465,Faecalibacterium prausnitzii_H,Faecalibacterium prausnitzii_E,Faecalibacterium prausnitzii_F,Gemmiger formicilis,Gemmiger sp900540775,Anaerotruncus colihominis,Ruminococcus_E bromii_B,Ruminococcus_E bromii,Blautia_A obeum,Blautia_A wexlerae,Blautia_A wexlerae_B,Agathobacter sp900317585,Mediterraneibacter faecis,Mediterraneibacter torques,Mediterraneibacter lactaris,Enterocloster bolteae,Enterocloster citroniae,Enterocloster asparagiformis,Enterocloster clostridioformis,Coprococcus eutactus,Dorea_A longicatena_B,Dorea_A longicatena,Lachnospira eligens_A,Roseburia inulinivorans,Roseburia intestinalis,Anaerostipes hadrus,Eubacterium_G ventriosum,Bariatricus comes,Bariatricus comes_A,Anaerobutyricum hallii,Anaerobutyricum soehngenii,Dorea formicigenerans,Coprococcus_A catus,Eubacterium_I ramulus,Clostridium_Q symbiosum,Bacteroides_F pectinophilus,Ruminococcus_B gnavus,Hungatella effluvii,Bacteroides uniformis,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides timonensis,Bacteroides stercoris,Bacteroides sp900552405,Bacteroides intestinalis_A,Bacteroides xylanisolvens,Bacteroides eggerthii,Bacteroides fragilis,Bacteroides fluxus,Bacteroides finegoldii,Bacteroides intestinalis,Bacteroides faecis,Bacteroides nordii,Bacteroides salyersiae,Bacteroides sp902362375,Bacteroides oleiciplenus,Bacteroides fragilis_A,Bacteroides clarus,Phocaeicola dorei,Phocaeicola vulgatus,Phocaeicola plebeius,Phocaeicola massiliensis,Phocaeicola coprocola,Phocaeicola coprophilus,Prevotella sp900313215,Prevotella sp900551275,Prevotella copri_A,Prevotella stercorea,Prevotella sp015074785,Prevotella copri,Paraprevotella clara,Paraprevotella xylaniphila,Alistipes onderdonkii,Alistipes finegoldii,Alistipes shahii,Alistipes putredinis,Alistipes_A indistinctus,Parabacteroides distasonis,Parabacteroides goldsteinii,Parabacteroides distasonis_A,Parabacteroides gordonii,Parabacteroides merdae,Parabacteroides johnsonii,Parabacteroides timonensis,Butyricimonas virosa,Odoribacter splanchnicus,Barnesiella intestinihominis,Parasutterella excrementihominis,Escherichia coli,Escherichia fergusonii,Escherichia ruysiae,Escherichia sp005843885,Escherichia coli_E,Escherichia albertii,Hafnia alvei,Klebsiella pneumoniae,Akkermansia muciniphila,Akkermansia muciniphila_B,Erysipelatoclostridium ramosum,Catenibacterium sp000437715,Catenibacterium mitsuokai,Holdemania filiformis,Holdemanella biformis,Streptococcus salivarius,Streptococcus sp001556435,Streptococcus thermophilus,Adlercreutzia celatus_A,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Bifidobacterium catenulatum,Bifidobacterium ruminantium,Bifidobacterium bifidum,Desulfovibrio sp900556755,Bilophila wadsworthia,Dialister invisus,Veillonella parvula_A,Phascolarctobacterium_A succinatutens,Acidaminococcus fermentans,Mitsuokella multacida,Ligilactobacillus ruminis,Sutterella wadsworthensis,Acidaminococcus intestini,Phascolarctobacterium_A succinatutens_A,Megasphaera elsdenii
Flavonifractor plautii,0.0,0.6340621403912543,0.6340621403912543,0.6340621403912543,0.6340621403912543,0.6340621403912543,0.6340621403912543,0.6340621403912543,0.6340621403912543,0.6340621403912543,0.6340621403912543,0.7030716723549488,0.7030716723549488,0.6293706293706294,0.8346545866364665,0.8346545866364665,0.623155505107832,0.5224312590448625,0.5224312590448625,0.7233065442020665,0.6360153256704981,0.6360153256704981,0.7106227106227105,0.716923076923077,0.5782710280373832,0.6590909090909092,0.5238784370477569,0.6863181312569522,0.7435897435897436,0.7435897435897436,0.6120689655172413,0.6905311778290992,0.7052154195011338,0.7027649769585254,0.751054852320675,0.6974248927038627,0.6974248927038627,0.7427616926503341,0.5832083958020989,0.5650060753341434,0.5585365853658537,0.5914454277286136,0.6258205689277899,0.678622668579627,0.6854741896758704,0.42940320232896656,0.7880239520958083,0.8142340168878166,0.8172757475083057,0.6978021978021978,0.7894088669950738,0.8172757475083057,0.7834549878345498,0.796875,0.8111111111111111,0.7607891491985204,0.7012345679012346,0.7684729064039408,0.7834549878345498,0.6836461126005362,0.6752910737386805,0.6961178045515395,0.796875,0.6966887417218544,0.7607891491985204,0.7061790668348045,0.7767441860465116,0.7689486552567237,0.7938650306748466,0.6949602122015914,0.7963414634146342,0.7868649318463445,0.8372615039281706,0.8372615039281706,0.8372615039281706,0.7537313432835822,0.8372615039281706,0.8372615039281706,0.7645739910313901,0.757679180887372,0.7242798353909465,0.6872427983539094,0.7392947103274559,0.8102493074792244,0.7029816513761468,0.775990099009901,0.5738396624472574,0.775990099009901,0.6082474226804124,0.7677902621722846,0.7646310432569975,0.5738396624472574,0.6228571428571428,0.751660026560425,0.7760617760617761,0.5914285714285714,0.761854583772392,0.6099110546378653,0.761854583772392,0.761854583772392,0.761854583772392,0.6662303664921466,0.6442105263157895,0.6776556776556777,0.7696335078534031,0.7696335078534031,0.7567264573991032,0.7383783783783784,0.7383783783783784,0.6921322690992018,0.7100656455142231,0.6153846153846154,0.6153846153846154,0.7265077138849929,0.6472346786248131,0.6745406824146982,0.7415115005476451,0.6854928017718716,0.6209912536443148,0.699228791773779,0.747093023255814,0.7737704918032787,0.6768115942028985,0.6784660766961652,0.6568213783403657,0.6464924346629985,0.7738359201773836,0.7452300785634118,0.6648275862068965,0.6956521739130435,0.6568213783403657,0.6008902077151335
Faecalibacterium prausnitzii_C,0.6340621403912543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5526905829596412,0.5526905829596412,0.686411149825784,0.8247011952191234,0.8247011952191234,0.33251833740831294,0.6014319809069213,0.6014319809069213,0.5228070175438597,0.6721132897603486,0.6721132897603486,0.7607802874743327,0.6187192118226601,0.5178764897074757,0.5610766045548654,0.6288056206088992,0.5784418356456777,0.522271714922049,0.522271714922049,0.6542168674698795,0.6793422404933196,0.6697530864197531,0.6239224137931034,0.5377875136911281,0.4748603351955307,0.4748603351955307,0.6310160427807487,0.6485819975339088,0.602308499475341,0.5819148936170213,0.6658624849215923,0.5672097759674135,0.706875753920386,0.6870389884088515,0.556338028169014,0.7847439916405434,0.791044776119403,0.7906746031746031,0.753968253968254,0.7806451612903226,0.7906746031746031,0.782010582010582,0.7783669141039237,0.7802197802197802,0.7895287958115184,0.7403141361256544,0.7985386221294364,0.782010582010582,0.7671381936887922,0.7709205020920502,0.7691466083150984,0.7783669141039237,0.7513751375137514,0.7895287958115184,0.7452025586353945,0.8005982053838485,0.7975077881619937,0.8050579557428872,0.772972972972973,0.7957671957671958,0.80927291886196,0.6796440489432702,0.6796440489432702,0.6796440489432702,0.8427230046948357,0.6796440489432702,0.6796440489432702,0.7188139059304703,0.7159090909090908,0.7588978185993112,0.7480225988700565,0.7848101265822784,0.8337182448036952,0.718,0.7872340425531915,0.6821266968325792,0.7872340425531915,0.7255813953488373,0.7841880341880342,0.7896440129449838,0.6821266968325792,0.7386877828054299,0.8179848320693391,0.8226495726495726,0.6915995397008055,0.5217391304347826,0.6698717948717949,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.7171052631578947,0.5581162324649298,0.703781512605042,0.7891231964483907,0.7891231964483907,0.6348862405200433,0.6398348813209495,0.6398348813209495,0.7531219980787704,0.7037037037037037,0.7058111380145278,0.7058111380145278,0.7771362586605081,0.7677946324387398,0.7027932960893855,0.6472424557752341,0.5705128205128205,0.6956004756242569,0.6708571428571428,0.7736077481840193,0.8013182674199624,0.7895335608646189,0.7355072463768115,0.7243367935409457,0.7332589285714286,0.6351791530944626,0.6384120171673819,0.735593220338983,0.7398081534772183,0.7243367935409457,0.7219626168224299
Faecalibacterium prausnitzii,0.6340621403912543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5526905829596412,0.5526905829596412,0.686411149825784,0.8247011952191234,0.8247011952191234,0.33251833740831294,0.6014319809069213,0.6014319809069213,0.5228070175438597,0.6721132897603486,0.6721132897603486,0.7607802874743327,0.6187192118226601,0.5178764897074757,0.5610766045548654,0.6288056206088992,0.5784418356456777,0.522271714922049,0.522271714922049,0.6542168674698795,0.6793422404933196,0.6697530864197531,0.6239224137931034,0.5377875136911281,0.4748603351955307,0.4748603351955307,0.6310160427807487,0.6485819975339088,0.602308499475341,0.5819148936170213,0.6658624849215923,0.5672097759674135,0.706875753920386,0.6870389884088515,0.556338028169014,0.7847439916405434,0.791044776119403,0.7906746031746031,0.753968253968254,0.7806451612903226,0.7906746031746031,0.782010582010582,0.7783669141039237,0.7802197802197802,0.7895287958115184,0.7403141361256544,0.7985386221294364,0.782010582010582,0.7671381936887922,0.7709205020920502,0.7691466083150984,0.7783669141039237,0.7513751375137514,0.7895287958115184,0.7452025586353945,0.8005982053838485,0.7975077881619937,0.8050579557428872,0.772972972972973,0.7957671957671958,0.80927291886196,0.6796440489432702,0.6796440489432702,0.6796440489432702,0.8427230046948357,0.6796440489432702,0.6796440489432702,0.7188139059304703,0.7159090909090908,0.7588978185993112,0.7480225988700565,0.7848101265822784,0.8337182448036952,0.718,0.7872340425531915,0.6821266968325792,0.7872340425531915,0.7255813953488373,0.7841880341880342,0.7896440129449838,0.6821266968325792,0.7386877828054299,0.8179848320693391,0.8226495726495726,0.6915995397008055,0.5217391304347826,0.6698717948717949,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.7171052631578947,0.5581162324649298,0.703781512605042,0.7891231964483907,0.7891231964483907,0.6348862405200433,0.6398348813209495,0.6398348813209495,0.7531219980787704,0.7037037037037037,0.7058111380145278,0.7058111380145278,0.7771362586605081,0.7677946324387398,0.7027932960893855,0.6472424557752341,0.5705128205128205,0.6956004756242569,0.6708571428571428,0.7736077481840193,0.8013182674199624,0.7895335608646189,0.7355072463768115,0.7243367935409457,0.7332589285714286,0.6351791530944626,0.6384120171673819,0.735593220338983,0.7398081534772183,0.7243367935409457,0.7219626168224299
Faecalibacterium sp900539885,0.6340621403912543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5526905829596412,0.5526905829596412,0.686411149825784,0.8247011952191234,0.8247011952191234,0.33251833740831294,0.6014319809069213,0.6014319809069213,0.5228070175438597,0.6721132897603486,0.6721132897603486,0.7607802874743327,0.6187192118226601,0.5178764897074757,0.5610766045548654,0.6288056206088992,0.5784418356456777,0.522271714922049,0.522271714922049,0.6542168674698795,0.6793422404933196,0.6697530864197531,0.6239224137931034,0.5377875136911281,0.4748603351955307,0.4748603351955307,0.6310160427807487,0.6485819975339088,0.602308499475341,0.5819148936170213,0.6658624849215923,0.5672097759674135,0.706875753920386,0.6870389884088515,0.556338028169014,0.7847439916405434,0.791044776119403,0.7906746031746031,0.753968253968254,0.7806451612903226,0.7906746031746031,0.782010582010582,0.7783669141039237,0.7802197802197802,0.7895287958115184,0.7403141361256544,0.7985386221294364,0.782010582010582,0.7671381936887922,0.7709205020920502,0.7691466083150984,0.7783669141039237,0.7513751375137514,0.7895287958115184,0.7452025586353945,0.8005982053838485,0.7975077881619937,0.8050579557428872,0.772972972972973,0.7957671957671958,0.80927291886196,0.6796440489432702,0.6796440489432702,0.6796440489432702,0.8427230046948357,0.6796440489432702,0.6796440489432702,0.7188139059304703,0.7159090909090908,0.7588978185993112,0.7480225988700565,0.7848101265822784,0.8337182448036952,0.718,0.7872340425531915,0.6821266968325792,0.7872340425531915,0.7255813953488373,0.7841880341880342,0.7896440129449838,0.6821266968325792,0.7386877828054299,0.8179848320693391,0.8226495726495726,0.6915995397008055,0.5217391304347826,0.6698717948717949,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.7171052631578947,0.5581162324649298,0.703781512605042,0.7891231964483907,0.7891231964483907,0.6348862405200433,0.6398348813209495,0.6398348813209495,0.7531219980787704,0.7037037037037037,0.7058111380145278,0.7058111380145278,0.7771362586605081,0.7677946324387398,0.7027932960893855,0.6472424557752341,0.5705128205128205,0.6956004756242569,0.6708571428571428,0.7736077481840193,0.8013182674199624,0.7895335608646189,0.7355072463768115,0.7243367935409457,0.7332589285714286,0.6351791530944626,0.6384120171673819,0.735593220338983,0.7398081534772183,0.7243367935409457,0.7219626168224299
Faecalibacterium prausnitzii_G,0.6340621403912543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5526905829596412,0.5526905829596412,0.686411149825784,0.8247011952191234,0.8247011952191234,0.33251833740831294,0.6014319809069213,0.6014319809069213,0.5228070175438597,0.6721132897603486,0.6721132897603486,0.7607802874743327,0.6187192118226601,0.5178764897074757,0.5610766045548654,0.6288056206088992,0.5784418356456777,0.522271714922049,0.522271714922049,0.6542168674698795,0.6793422404933196,0.6697530864197531,0.6239224137931034,0.5377875136911281,0.4748603351955307,0.4748603351955307,0.6310160427807487,0.6485819975339088,0.602308499475341,0.5819148936170213,0.6658624849215923,0.5672097759674135,0.706875753920386,0.6870389884088515,0.556338028169014,0.7847439916405434,0.791044776119403,0.7906746031746031,0.753968253968254,0.7806451612903226,0.7906746031746031,0.782010582010582,0.7783669141039237,0.7802197802197802,0.7895287958115184,0.7403141361256544,0.7985386221294364,0.782010582010582,0.7671381936887922,0.7709205020920502,0.7691466083150984,0.7783669141039237,0.7513751375137514,0.7895287958115184,0.7452025586353945,0.8005982053838485,0.7975077881619937,0.8050579557428872,0.772972972972973,0.7957671957671958,0.80927291886196,0.6796440489432702,0.6796440489432702,0.6796440489432702,0.8427230046948357,0.6796440489432702,0.6796440489432702,0.7188139059304703,0.7159090909090908,0.7588978185993112,0.7480225988700565,0.7848101265822784,0.8337182448036952,0.718,0.7872340425531915,0.6821266968325792,0.7872340425531915,0.7255813953488373,0.7841880341880342,0.7896440129449838,0.6821266968325792,0.7386877828054299,0.8179848320693391,0.8226495726495726,0.6915995397008055,0.5217391304347826,0.6698717948717949,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.7171052631578947,0.5581162324649298,0.703781512605042,0.7891231964483907,0.7891231964483907,0.6348862405200433,0.6398348813209495,0.6398348813209495,0.7531219980787704,0.7037037037037037,0.7058111380145278,0.7058111380145278,0.7771362586605081,0.7677946324387398,0.7027932960893855,0.6472424557752341,0.5705128205128205,0.6956004756242569,0.6708571428571428,0.7736077481840193,0.8013182674199624,0.7895335608646189,0.7355072463768115,0.7243367935409457,0.7332589285714286,0.6351791530944626,0.6384120171673819,0.735593220338983,0.7398081534772183,0.7243367935409457,0.7219626168224299
Faecalibacterium prausnitzii_J,0.6340621403912543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5526905829596412,0.5526905829596412,0.686411149825784,0.8247011952191234,0.8247011952191234,0.33251833740831294,0.6014319809069213,0.6014319809069213,0.5228070175438597,0.6721132897603486,0.6721132897603486,0.7607802874743327,0.6187192118226601,0.5178764897074757,0.5610766045548654,0.6288056206088992,0.5784418356456777,0.522271714922049,0.522271714922049,0.6542168674698795,0.6793422404933196,0.6697530864197531,0.6239224137931034,0.5377875136911281,0.4748603351955307,0.4748603351955307,0.6310160427807487,0.6485819975339088,0.602308499475341,0.5819148936170213,0.6658624849215923,0.5672097759674135,0.706875753920386,0.6870389884088515,0.556338028169014,0.7847439916405434,0.791044776119403,0.7906746031746031,0.753968253968254,0.7806451612903226,0.7906746031746031,0.782010582010582,0.7783669141039237,0.7802197802197802,0.7895287958115184,0.7403141361256544,0.7985386221294364,0.782010582010582,0.7671381936887922,0.7709205020920502,0.7691466083150984,0.7783669141039237,0.7513751375137514,0.7895287958115184,0.7452025586353945,0.8005982053838485,0.7975077881619937,0.8050579557428872,0.772972972972973,0.7957671957671958,0.80927291886196,0.6796440489432702,0.6796440489432702,0.6796440489432702,0.8427230046948357,0.6796440489432702,0.6796440489432702,0.7188139059304703,0.7159090909090908,0.7588978185993112,0.7480225988700565,0.7848101265822784,0.8337182448036952,0.718,0.7872340425531915,0.6821266968325792,0.7872340425531915,0.7255813953488373,0.7841880341880342,0.7896440129449838,0.6821266968325792,0.7386877828054299,0.8179848320693391,0.8226495726495726,0.6915995397008055,0.5217391304347826,0.6698717948717949,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.7171052631578947,0.5581162324649298,0.703781512605042,0.7891231964483907,0.7891231964483907,0.6348862405200433,0.6398348813209495,0.6398348813209495,0.7531219980787704,0.7037037037037037,0.7058111380145278,0.7058111380145278,0.7771362586605081,0.7677946324387398,0.7027932960893855,0.6472424557752341,0.5705128205128205,0.6956004756242569,0.6708571428571428,0.7736077481840193,0.8013182674199624,0.7895335608646189,0.7355072463768115,0.7243367935409457,0.7332589285714286,0.6351791530944626,0.6384120171673819,0.735593220338983,0.7398081534772183,0.7243367935409457,0.7219626168224299
Faecalibacterium prausnitzii_A,0.6340621403912543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5526905829596412,0.5526905829596412,0.686411149825784,0.8247011952191234,0.8247011952191234,0.33251833740831294,0.6014319809069213,0.6014319809069213,0.5228070175438597,0.6721132897603486,0.6721132897603486,0.7607802874743327,0.6187192118226601,0.5178764897074757,0.5610766045548654,0.6288056206088992,0.5784418356456777,0.522271714922049,0.522271714922049,0.6542168674698795,0.6793422404933196,0.6697530864197531,0.6239224137931034,0.5377875136911281,0.4748603351955307,0.4748603351955307,0.6310160427807487,0.6485819975339088,0.602308499475341,0.5819148936170213,0.6658624849215923,0.5672097759674135,0.706875753920386,0.6870389884088515,0.556338028169014,0.7847439916405434,0.791044776119403,0.7906746031746031,0.753968253968254,0.7806451612903226,0.7906746031746031,0.782010582010582,0.7783669141039237,0.7802197802197802,0.7895287958115184,0.7403141361256544,0.7985386221294364,0.782010582010582,0.7671381936887922,0.7709205020920502,0.7691466083150984,0.7783669141039237,0.7513751375137514,0.7895287958115184,0.7452025586353945,0.8005982053838485,0.7975077881619937,0.8050579557428872,0.772972972972973,0.7957671957671958,0.80927291886196,0.6796440489432702,0.6796440489432702,0.6796440489432702,0.8427230046948357,0.6796440489432702,0.6796440489432702,0.7188139059304703,0.7159090909090908,0.7588978185993112,0.7480225988700565,0.7848101265822784,0.8337182448036952,0.718,0.7872340425531915,0.6821266968325792,0.7872340425531915,0.7255813953488373,0.7841880341880342,0.7896440129449838,0.6821266968325792,0.7386877828054299,0.8179848320693391,0.8226495726495726,0.6915995397008055,0.5217391304347826,0.6698717948717949,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.7171052631578947,0.5581162324649298,0.703781512605042,0.7891231964483907,0.7891231964483907,0.6348862405200433,0.6398348813209495,0.6398348813209495,0.7531219980787704,0.7037037037037037,0.7058111380145278,0.7058111380145278,0.7771362586605081,0.7677946324387398,0.7027932960893855,0.6472424557752341,0.5705128205128205,0.6956004756242569,0.6708571428571428,0.7736077481840193,0.8013182674199624,0.7895335608646189,0.7355072463768115,0.7243367935409457,0.7332589285714286,0.6351791530944626,0.6384120171673819,0.735593220338983,0.7398081534772183,0.7243367935409457,0.7219626168224299
Faecalibacterium sp900758465,0.6340621403912543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5526905829596412,0.5526905829596412,0.686411149825784,0.8247011952191234,0.8247011952191234,0.33251833740831294,0.6014319809069213,0.6014319809069213,0.5228070175438597,0.6721132897603486,0.6721132897603486,0.7607802874743327,0.6187192118226601,0.5178764897074757,0.5610766045548654,0.6288056206088992,0.5784418356456777,0.522271714922049,0.522271714922049,0.6542168674698795,0.6793422404933196,0.6697530864197531,0.6239224137931034,0.5377875136911281,0.4748603351955307,0.4748603351955307,0.6310160427807487,0.6485819975339088,0.602308499475341,0.5819148936170213,0.6658624849215923,0.5672097759674135,0.706875753920386,0.6870389884088515,0.556338028169014,0.7847439916405434,0.791044776119403,0.7906746031746031,0.753968253968254,0.7806451612903226,0.7906746031746031,0.782010582010582,0.7783669141039237,0.7802197802197802,0.7895287958115184,0.7403141361256544,0.7985386221294364,0.782010582010582,0.7671381936887922,0.7709205020920502,0.7691466083150984,0.7783669141039237,0.7513751375137514,0.7895287958115184,0.7452025586353945,0.8005982053838485,0.7975077881619937,0.8050579557428872,0.772972972972973,0.7957671957671958,0.80927291886196,0.6796440489432702,0.6796440489432702,0.6796440489432702,0.8427230046948357,0.6796440489432702,0.6796440489432702,0.7188139059304703,0.7159090909090908,0.7588978185993112,0.7480225988700565,0.7848101265822784,0.8337182448036952,0.718,0.7872340425531915,0.6821266968325792,0.7872340425531915,0.7255813953488373,0.7841880341880342,0.7896440129449838,0.6821266968325792,0.7386877828054299,0.8179848320693391,0.8226495726495726,0.6915995397008055,0.5217391304347826,0.6698717948717949,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.7171052631578947,0.5581162324649298,0.703781512605042,0.7891231964483907,0.7891231964483907,0.6348862405200433,0.6398348813209495,0.6398348813209495,0.7531219980787704,0.7037037037037037,0.7058111380145278,0.7058111380145278,0.7771362586605081,0.7677946324387398,0.7027932960893855,0.6472424557752341,0.5705128205128205,0.6956004756242569,0.6708571428571428,0.7736077481840193,0.8013182674199624,0.7895335608646189,0.7355072463768115,0.7243367935409457,0.7332589285714286,0.6351791530944626,0.6384120171673819,0.735593220338983,0.7398081534772183,0.7243367935409457,0.7219626168224299
Faecalibacterium prausnitzii_H,0.6340621403912543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5526905829596412,0.5526905829596412,0.686411149825784,0.8247011952191234,0.8247011952191234,0.33251833740831294,0.6014319809069213,0.6014319809069213,0.5228070175438597,0.6721132897603486,0.6721132897603486,0.7607802874743327,0.6187192118226601,0.5178764897074757,0.5610766045548654,0.6288056206088992,0.5784418356456777,0.522271714922049,0.522271714922049,0.6542168674698795,0.6793422404933196,0.6697530864197531,0.6239224137931034,0.5377875136911281,0.4748603351955307,0.4748603351955307,0.6310160427807487,0.6485819975339088,0.602308499475341,0.5819148936170213,0.6658624849215923,0.5672097759674135,0.706875753920386,0.6870389884088515,0.556338028169014,0.7847439916405434,0.791044776119403,0.7906746031746031,0.753968253968254,0.7806451612903226,0.7906746031746031,0.782010582010582,0.7783669141039237,0.7802197802197802,0.7895287958115184,0.7403141361256544,0.7985386221294364,0.782010582010582,0.7671381936887922,0.7709205020920502,0.7691466083150984,0.7783669141039237,0.7513751375137514,0.7895287958115184,0.7452025586353945,0.8005982053838485,0.7975077881619937,0.8050579557428872,0.772972972972973,0.7957671957671958,0.80927291886196,0.6796440489432702,0.6796440489432702,0.6796440489432702,0.8427230046948357,0.6796440489432702,0.6796440489432702,0.7188139059304703,0.7159090909090908,0.7588978185993112,0.7480225988700565,0.7848101265822784,0.8337182448036952,0.718,0.7872340425531915,0.6821266968325792,0.7872340425531915,0.7255813953488373,0.7841880341880342,0.7896440129449838,0.6821266968325792,0.7386877828054299,0.8179848320693391,0.8226495726495726,0.6915995397008055,0.5217391304347826,0.6698717948717949,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.7171052631578947,0.5581162324649298,0.703781512605042,0.7891231964483907,0.7891231964483907,0.6348862405200433,0.6398348813209495,0.6398348813209495,0.7531219980787704,0.7037037037037037,0.7058111380145278,0.7058111380145278,0.7771362586605081,0.7677946324387398,0.7027932960893855,0.6472424557752341,0.5705128205128205,0.6956004756242569,0.6708571428571428,0.7736077481840193,0.8013182674199624,0.7895335608646189,0.7355072463768115,0.7243367935409457,0.7332589285714286,0.6351791530944626,0.6384120171673819,0.735593220338983,0.7398081534772183,0.7243367935409457,0.7219626168224299
Faecalibacterium prausnitzii_E,0.6340621403912543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5526905829596412,0.5526905829596412,0.686411149825784,0.8247011952191234,0.8247011952191234,0.33251833740831294,0.6014319809069213,0.6014319809069213,0.5228070175438597,0.6721132897603486,0.6721132897603486,0.7607802874743327,0.6187192118226601,0.5178764897074757,0.5610766045548654,0.6288056206088992,0.5784418356456777,0.522271714922049,0.522271714922049,0.6542168674698795,0.6793422404933196,0.6697530864197531,0.6239224137931034,0.5377875136911281,0.4748603351955307,0.4748603351955307,0.6310160427807487,0.6485819975339088,0.602308499475341,0.5819148936170213,0.6658624849215923,0.5672097759674135,0.706875753920386,0.6870389884088515,0.556338028169014,0.7847439916405434,0.791044776119403,0.7906746031746031,0.753968253968254,0.7806451612903226,0.7906746031746031,0.782010582010582,0.7783669141039237,0.7802197802197802,0.7895287958115184,0.7403141361256544,0.7985386221294364,0.782010582010582,0.7671381936887922,0.7709205020920502,0.7691466083150984,0.7783669141039237,0.7513751375137514,0.7895287958115184,0.7452025586353945,0.8005982053838485,0.7975077881619937,0.8050579557428872,0.772972972972973,0.7957671957671958,0.80927291886196,0.6796440489432702,0.6796440489432702,0.6796440489432702,0.8427230046948357,0.6796440489432702,0.6796440489432702,0.7188139059304703,0.7159090909090908,0.7588978185993112,0.7480225988700565,0.7848101265822784,0.8337182448036952,0.718,0.7872340425531915,0.6821266968325792,0.7872340425531915,0.7255813953488373,0.7841880341880342,0.7896440129449838,0.6821266968325792,0.7386877828054299,0.8179848320693391,0.8226495726495726,0.6915995397008055,0.5217391304347826,0.6698717948717949,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.7171052631578947,0.5581162324649298,0.703781512605042,0.7891231964483907,0.7891231964483907,0.6348862405200433,0.6398348813209495,0.6398348813209495,0.7531219980787704,0.7037037037037037,0.7058111380145278,0.7058111380145278,0.7771362586605081,0.7677946324387398,0.7027932960893855,0.6472424557752341,0.5705128205128205,0.6956004756242569,0.6708571428571428,0.7736077481840193,0.8013182674199624,0.7895335608646189,0.7355072463768115,0.7243367935409457,0.7332589285714286,0.6351791530944626,0.6384120171673819,0.735593220338983,0.7398081534772183,0.7243367935409457,0.7219626168224299
