,Flavonifractor plautii,Faecalibacterium prausnitzii_C,Faecalibacterium prausnitzii,Faecalibacterium sp900539885,Faecalibacterium prausnitzii_G,Faecalibacterium prausnitzii_J,Faecalibacterium prausnitzii_A,Faecalibacterium sp900758465,Faecalibacterium prausnitzii_H,Faecalibacterium prausnitzii_E,Faecalibacterium prausnitzii_F,Gemmiger formicilis,Gemmiger sp900540775,Anaerotruncus colihominis,Ruminococcus_E bromii_B,Ruminococcus_E bromii,Blautia_A obeum,Blautia_A wexlerae,Blautia_A wexlerae_B,Agathobacter sp900317585,Mediterraneibacter faecis,Mediterraneibacter torques,Mediterraneibacter lactaris,Enterocloster bolteae,Enterocloster citroniae,Enterocloster clostridioformis,Coprococcus eutactus,Dorea_A longicatena_B,Dorea_A longicatena,Lachnospira eligens_A,Roseburia inulinivorans,Roseburia intestinalis,Anaerostipes hadrus,Eubacterium_G ventriosum,Bariatricus comes,Bariatricus comes_A,Anaerobutyricum hallii,Anaerobutyricum soehngenii,Dorea formicigenerans,Coprococcus_A catus,Eubacterium_I ramulus,Clostridium_Q symbiosum,Ruminococcus_B gnavus,Hungatella effluvii,Bacteroides uniformis,Bacteroides cellulosilyticus,Bacteroides timonensis,Bacteroides stercoris,Bacteroides sp900552405,Bacteroides xylanisolvens,Bacteroides eggerthii,Bacteroides fragilis,Bacteroides fluxus,Bacteroides finegoldii,Bacteroides intestinalis,Bacteroides faecis,Bacteroides nordii,Bacteroides salyersiae,Bacteroides sp902362375,Bacteroides fragilis_A,Bacteroides clarus,Phocaeicola dorei,Phocaeicola vulgatus,Phocaeicola plebeius,Phocaeicola massiliensis,Phocaeicola coprocola,Phocaeicola coprophilus,Prevotella sp900313215,Prevotella sp900551275,Prevotella copri_A,Prevotella stercorea,Prevotella sp015074785,Prevotella copri,Paraprevotella clara,Alistipes onderdonkii,Alistipes finegoldii,Alistipes shahii,Alistipes putredinis,Alistipes_A indistinctus,Parabacteroides distasonis,Parabacteroides distasonis_A,Parabacteroides gordonii,Parabacteroides merdae,Parabacteroides johnsonii,Butyricimonas virosa,Odoribacter splanchnicus,Barnesiella intestinihominis,Parasutterella excrementihominis,Escherichia coli,Escherichia fergusonii,Escherichia sp005843885,Escherichia coli_E,Escherichia albertii,Hafnia alvei,Klebsiella pneumoniae,Akkermansia muciniphila,Akkermansia muciniphila_B,Erysipelatoclostridium ramosum,Catenibacterium sp000437715,Catenibacterium mitsuokai,Holdemania filiformis,Holdemanella biformis,Streptococcus salivarius,Streptococcus sp001556435,Streptococcus thermophilus,Adlercreutzia celatus_A,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Bifidobacterium catenulatum,Bifidobacterium bifidum,Desulfovibrio sp900556755,Dialister invisus,Veillonella parvula_A,Phascolarctobacterium_A succinatutens,Acidaminococcus fermentans,Sutterella wadsworthensis,Acidaminococcus intestini
Flavonifractor plautii,0.0,0.5069278547539418,0.5069278547539418,0.5069278547539418,0.5069278547539418,0.5069278547539418,0.5069278547539418,0.5069278547539418,0.5069278547539418,0.5069278547539418,0.5069278547539418,0.6042755344418052,0.6042755344418052,0.44165535956580737,0.6487285629804849,0.6487285629804849,0.5045651129264777,0.3269754768392371,0.3269754768392371,0.6057395143487858,0.6938990182328191,0.6938990182328191,0.7013972055888223,0.6104471004869412,0.5310376076121432,0.3500321130378934,0.630558183538316,0.6229919678714859,0.6229919678714859,0.4018506278916061,0.6454018227009113,0.6483831354891527,0.5800000000000001,0.575192096597146,0.5906579608237067,0.5906579608237067,0.6185866408518876,0.36326250856751197,0.5656167979002624,0.4883720930232558,0.3709902370990237,0.5231545162769372,0.672340425531915,0.2964401294498382,0.7391304347826086,0.7373188405797102,0.4928348909657321,0.7412015641663704,0.7373188405797102,0.7443002455278849,0.7320163995527394,0.7312564190345772,0.7047483041770797,0.7490111470693994,0.7406755805770584,0.49194547707558856,0.49544072948328266,0.5183845690174804,0.7443002455278849,0.7312564190345772,0.7088833392793435,0.7381882770870338,0.7289364640883977,0.7552422270426609,0.5083076923076923,0.7470097861544038,0.7518959913326111,0.7033318119580101,0.7033318119580101,0.7033318119580101,0.5699588477366255,0.7033318119580101,0.7033318119580101,0.6846057571964956,0.5061488673139158,0.48422408242112036,0.7189249720044792,0.6028416779431665,0.6760343481654957,0.720467032967033,0.720467032967033,0.44561186650185414,0.7284974093264249,0.7245111731843575,0.45251752708731674,0.5669724770642202,0.7414990859232176,0.48241539482415396,0.6294760648322654,0.4863498483316482,0.6294760648322654,0.6294760648322654,0.49925779317169716,0.5921155347384855,0.508891928864569,0.7464890169247389,0.7464890169247389,0.676556623485165,0.6412322274881517,0.6412322274881517,0.7163984341017834,0.6842601319509896,0.4435064935064935,0.4435064935064935,0.5198630136986302,0.4801980198019802,0.7255291005291005,0.688293370944993,0.6249449096518289,0.7170837867247007,0.5312290127602417,0.5037904893177119,0.48194353250164146,0.46588559614059266,0.471872931833223,0.5441465009810333,0.519053876478318
Faecalibacterium prausnitzii_C,0.5069278547539418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31532779316712833,0.31532779316712833,0.5552353506243997,0.6103896103896104,0.6103896103896104,0.2009411764705883,0.4722624216111915,0.4722624216111915,0.291077738515901,0.4661134163208852,0.4661134163208852,0.5258460394198587,0.34976425203600514,0.29978494623655916,0.4835876098012021,0.35642661804922515,0.3281703775411423,0.3281703775411423,0.5,0.4005624748895139,0.4043737574552684,0.38807298620382735,0.3596230158730159,0.30750721847930707,0.30750721847930707,0.410610789121712,0.5043436293436294,0.40463814474210313,0.35218165627782727,0.5143832276938078,0.34650967199327165,0.4494760479041916,0.45802583025830257,0.5165925419089976,0.49874776386404296,0.5945217781769196,0.5158813263525306,0.49874776386404296,0.5177892918825562,0.49230205278592376,0.5052453468697123,0.5032769920662297,0.5339398180545836,0.5165975103734439,0.6034635879218473,0.6050788091068301,0.6058073031236252,0.5177892918825562,0.5052453468697123,0.4965277777777778,0.5254237288135593,0.515212981744422,0.5337098482174374,0.6097560975609756,0.527208480565371,0.5368679775280899,0.4234354194407457,0.4234354194407457,0.4234354194407457,0.6755092373282805,0.4234354194407457,0.4234354194407457,0.46848989298454224,0.5945065176908753,0.5882081989866421,0.5287642045454546,0.6799809795530195,0.46960089518836257,0.5060606060606061,0.5060606060606061,0.565584704313028,0.5066303978238694,0.5070133424563804,0.5992860330209728,0.6486725663716815,0.5350970017636685,0.5924882629107981,0.38880652335063015,0.5555555555555556,0.38880652335063015,0.38880652335063015,0.5622119815668203,0.3754702784048156,0.5507826720058245,0.5182043124779074,0.5182043124779074,0.41065573770491803,0.38319023949389963,0.38319023949389963,0.5328525641025641,0.501710863986313,0.5537459283387622,0.5537459283387622,0.62320230105465,0.6190246257846451,0.5101174934725848,0.434257602862254,0.3656143344709898,0.4774193548387097,0.6027000964320155,0.643126177024482,0.5760715967969854,0.5933908045977012,0.5881252921926134,0.6390176088971269,0.6033914272256241
Faecalibacterium prausnitzii,0.5069278547539418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31532779316712833,0.31532779316712833,0.5552353506243997,0.6103896103896104,0.6103896103896104,0.2009411764705883,0.4722624216111915,0.4722624216111915,0.291077738515901,0.4661134163208852,0.4661134163208852,0.5258460394198587,0.34976425203600514,0.29978494623655916,0.4835876098012021,0.35642661804922515,0.3281703775411423,0.3281703775411423,0.5,0.4005624748895139,0.4043737574552684,0.38807298620382735,0.3596230158730159,0.30750721847930707,0.30750721847930707,0.410610789121712,0.5043436293436294,0.40463814474210313,0.35218165627782727,0.5143832276938078,0.34650967199327165,0.4494760479041916,0.45802583025830257,0.5165925419089976,0.49874776386404296,0.5945217781769196,0.5158813263525306,0.49874776386404296,0.5177892918825562,0.49230205278592376,0.5052453468697123,0.5032769920662297,0.5339398180545836,0.5165975103734439,0.6034635879218473,0.6050788091068301,0.6058073031236252,0.5177892918825562,0.5052453468697123,0.4965277777777778,0.5254237288135593,0.515212981744422,0.5337098482174374,0.6097560975609756,0.527208480565371,0.5368679775280899,0.4234354194407457,0.4234354194407457,0.4234354194407457,0.6755092373282805,0.4234354194407457,0.4234354194407457,0.46848989298454224,0.5945065176908753,0.5882081989866421,0.5287642045454546,0.6799809795530195,0.46960089518836257,0.5060606060606061,0.5060606060606061,0.565584704313028,0.5066303978238694,0.5070133424563804,0.5992860330209728,0.6486725663716815,0.5350970017636685,0.5924882629107981,0.38880652335063015,0.5555555555555556,0.38880652335063015,0.38880652335063015,0.5622119815668203,0.3754702784048156,0.5507826720058245,0.5182043124779074,0.5182043124779074,0.41065573770491803,0.38319023949389963,0.38319023949389963,0.5328525641025641,0.501710863986313,0.5537459283387622,0.5537459283387622,0.62320230105465,0.6190246257846451,0.5101174934725848,0.434257602862254,0.3656143344709898,0.4774193548387097,0.6027000964320155,0.643126177024482,0.5760715967969854,0.5933908045977012,0.5881252921926134,0.6390176088971269,0.6033914272256241
Faecalibacterium sp900539885,0.5069278547539418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31532779316712833,0.31532779316712833,0.5552353506243997,0.6103896103896104,0.6103896103896104,0.2009411764705883,0.4722624216111915,0.4722624216111915,0.291077738515901,0.4661134163208852,0.4661134163208852,0.5258460394198587,0.34976425203600514,0.29978494623655916,0.4835876098012021,0.35642661804922515,0.3281703775411423,0.3281703775411423,0.5,0.4005624748895139,0.4043737574552684,0.38807298620382735,0.3596230158730159,0.30750721847930707,0.30750721847930707,0.410610789121712,0.5043436293436294,0.40463814474210313,0.35218165627782727,0.5143832276938078,0.34650967199327165,0.4494760479041916,0.45802583025830257,0.5165925419089976,0.49874776386404296,0.5945217781769196,0.5158813263525306,0.49874776386404296,0.5177892918825562,0.49230205278592376,0.5052453468697123,0.5032769920662297,0.5339398180545836,0.5165975103734439,0.6034635879218473,0.6050788091068301,0.6058073031236252,0.5177892918825562,0.5052453468697123,0.4965277777777778,0.5254237288135593,0.515212981744422,0.5337098482174374,0.6097560975609756,0.527208480565371,0.5368679775280899,0.4234354194407457,0.4234354194407457,0.4234354194407457,0.6755092373282805,0.4234354194407457,0.4234354194407457,0.46848989298454224,0.5945065176908753,0.5882081989866421,0.5287642045454546,0.6799809795530195,0.46960089518836257,0.5060606060606061,0.5060606060606061,0.565584704313028,0.5066303978238694,0.5070133424563804,0.5992860330209728,0.6486725663716815,0.5350970017636685,0.5924882629107981,0.38880652335063015,0.5555555555555556,0.38880652335063015,0.38880652335063015,0.5622119815668203,0.3754702784048156,0.5507826720058245,0.5182043124779074,0.5182043124779074,0.41065573770491803,0.38319023949389963,0.38319023949389963,0.5328525641025641,0.501710863986313,0.5537459283387622,0.5537459283387622,0.62320230105465,0.6190246257846451,0.5101174934725848,0.434257602862254,0.3656143344709898,0.4774193548387097,0.6027000964320155,0.643126177024482,0.5760715967969854,0.5933908045977012,0.5881252921926134,0.6390176088971269,0.6033914272256241
Faecalibacterium prausnitzii_G,0.5069278547539418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31532779316712833,0.31532779316712833,0.5552353506243997,0.6103896103896104,0.6103896103896104,0.2009411764705883,0.4722624216111915,0.4722624216111915,0.291077738515901,0.4661134163208852,0.4661134163208852,0.5258460394198587,0.34976425203600514,0.29978494623655916,0.4835876098012021,0.35642661804922515,0.3281703775411423,0.3281703775411423,0.5,0.4005624748895139,0.4043737574552684,0.38807298620382735,0.3596230158730159,0.30750721847930707,0.30750721847930707,0.410610789121712,0.5043436293436294,0.40463814474210313,0.35218165627782727,0.5143832276938078,0.34650967199327165,0.4494760479041916,0.45802583025830257,0.5165925419089976,0.49874776386404296,0.5945217781769196,0.5158813263525306,0.49874776386404296,0.5177892918825562,0.49230205278592376,0.5052453468697123,0.5032769920662297,0.5339398180545836,0.5165975103734439,0.6034635879218473,0.6050788091068301,0.6058073031236252,0.5177892918825562,0.5052453468697123,0.4965277777777778,0.5254237288135593,0.515212981744422,0.5337098482174374,0.6097560975609756,0.527208480565371,0.5368679775280899,0.4234354194407457,0.4234354194407457,0.4234354194407457,0.6755092373282805,0.4234354194407457,0.4234354194407457,0.46848989298454224,0.5945065176908753,0.5882081989866421,0.5287642045454546,0.6799809795530195,0.46960089518836257,0.5060606060606061,0.5060606060606061,0.565584704313028,0.5066303978238694,0.5070133424563804,0.5992860330209728,0.6486725663716815,0.5350970017636685,0.5924882629107981,0.38880652335063015,0.5555555555555556,0.38880652335063015,0.38880652335063015,0.5622119815668203,0.3754702784048156,0.5507826720058245,0.5182043124779074,0.5182043124779074,0.41065573770491803,0.38319023949389963,0.38319023949389963,0.5328525641025641,0.501710863986313,0.5537459283387622,0.5537459283387622,0.62320230105465,0.6190246257846451,0.5101174934725848,0.434257602862254,0.3656143344709898,0.4774193548387097,0.6027000964320155,0.643126177024482,0.5760715967969854,0.5933908045977012,0.5881252921926134,0.6390176088971269,0.6033914272256241
Faecalibacterium prausnitzii_J,0.5069278547539418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31532779316712833,0.31532779316712833,0.5552353506243997,0.6103896103896104,0.6103896103896104,0.2009411764705883,0.4722624216111915,0.4722624216111915,0.291077738515901,0.4661134163208852,0.4661134163208852,0.5258460394198587,0.34976425203600514,0.29978494623655916,0.4835876098012021,0.35642661804922515,0.3281703775411423,0.3281703775411423,0.5,0.4005624748895139,0.4043737574552684,0.38807298620382735,0.3596230158730159,0.30750721847930707,0.30750721847930707,0.410610789121712,0.5043436293436294,0.40463814474210313,0.35218165627782727,0.5143832276938078,0.34650967199327165,0.4494760479041916,0.45802583025830257,0.5165925419089976,0.49874776386404296,0.5945217781769196,0.5158813263525306,0.49874776386404296,0.5177892918825562,0.49230205278592376,0.5052453468697123,0.5032769920662297,0.5339398180545836,0.5165975103734439,0.6034635879218473,0.6050788091068301,0.6058073031236252,0.5177892918825562,0.5052453468697123,0.4965277777777778,0.5254237288135593,0.515212981744422,0.5337098482174374,0.6097560975609756,0.527208480565371,0.5368679775280899,0.4234354194407457,0.4234354194407457,0.4234354194407457,0.6755092373282805,0.4234354194407457,0.4234354194407457,0.46848989298454224,0.5945065176908753,0.5882081989866421,0.5287642045454546,0.6799809795530195,0.46960089518836257,0.5060606060606061,0.5060606060606061,0.565584704313028,0.5066303978238694,0.5070133424563804,0.5992860330209728,0.6486725663716815,0.5350970017636685,0.5924882629107981,0.38880652335063015,0.5555555555555556,0.38880652335063015,0.38880652335063015,0.5622119815668203,0.3754702784048156,0.5507826720058245,0.5182043124779074,0.5182043124779074,0.41065573770491803,0.38319023949389963,0.38319023949389963,0.5328525641025641,0.501710863986313,0.5537459283387622,0.5537459283387622,0.62320230105465,0.6190246257846451,0.5101174934725848,0.434257602862254,0.3656143344709898,0.4774193548387097,0.6027000964320155,0.643126177024482,0.5760715967969854,0.5933908045977012,0.5881252921926134,0.6390176088971269,0.6033914272256241
Faecalibacterium prausnitzii_A,0.5069278547539418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31532779316712833,0.31532779316712833,0.5552353506243997,0.6103896103896104,0.6103896103896104,0.2009411764705883,0.4722624216111915,0.4722624216111915,0.291077738515901,0.4661134163208852,0.4661134163208852,0.5258460394198587,0.34976425203600514,0.29978494623655916,0.4835876098012021,0.35642661804922515,0.3281703775411423,0.3281703775411423,0.5,0.4005624748895139,0.4043737574552684,0.38807298620382735,0.3596230158730159,0.30750721847930707,0.30750721847930707,0.410610789121712,0.5043436293436294,0.40463814474210313,0.35218165627782727,0.5143832276938078,0.34650967199327165,0.4494760479041916,0.45802583025830257,0.5165925419089976,0.49874776386404296,0.5945217781769196,0.5158813263525306,0.49874776386404296,0.5177892918825562,0.49230205278592376,0.5052453468697123,0.5032769920662297,0.5339398180545836,0.5165975103734439,0.6034635879218473,0.6050788091068301,0.6058073031236252,0.5177892918825562,0.5052453468697123,0.4965277777777778,0.5254237288135593,0.515212981744422,0.5337098482174374,0.6097560975609756,0.527208480565371,0.5368679775280899,0.4234354194407457,0.4234354194407457,0.4234354194407457,0.6755092373282805,0.4234354194407457,0.4234354194407457,0.46848989298454224,0.5945065176908753,0.5882081989866421,0.5287642045454546,0.6799809795530195,0.46960089518836257,0.5060606060606061,0.5060606060606061,0.565584704313028,0.5066303978238694,0.5070133424563804,0.5992860330209728,0.6486725663716815,0.5350970017636685,0.5924882629107981,0.38880652335063015,0.5555555555555556,0.38880652335063015,0.38880652335063015,0.5622119815668203,0.3754702784048156,0.5507826720058245,0.5182043124779074,0.5182043124779074,0.41065573770491803,0.38319023949389963,0.38319023949389963,0.5328525641025641,0.501710863986313,0.5537459283387622,0.5537459283387622,0.62320230105465,0.6190246257846451,0.5101174934725848,0.434257602862254,0.3656143344709898,0.4774193548387097,0.6027000964320155,0.643126177024482,0.5760715967969854,0.5933908045977012,0.5881252921926134,0.6390176088971269,0.6033914272256241
Faecalibacterium sp900758465,0.5069278547539418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31532779316712833,0.31532779316712833,0.5552353506243997,0.6103896103896104,0.6103896103896104,0.2009411764705883,0.4722624216111915,0.4722624216111915,0.291077738515901,0.4661134163208852,0.4661134163208852,0.5258460394198587,0.34976425203600514,0.29978494623655916,0.4835876098012021,0.35642661804922515,0.3281703775411423,0.3281703775411423,0.5,0.4005624748895139,0.4043737574552684,0.38807298620382735,0.3596230158730159,0.30750721847930707,0.30750721847930707,0.410610789121712,0.5043436293436294,0.40463814474210313,0.35218165627782727,0.5143832276938078,0.34650967199327165,0.4494760479041916,0.45802583025830257,0.5165925419089976,0.49874776386404296,0.5945217781769196,0.5158813263525306,0.49874776386404296,0.5177892918825562,0.49230205278592376,0.5052453468697123,0.5032769920662297,0.5339398180545836,0.5165975103734439,0.6034635879218473,0.6050788091068301,0.6058073031236252,0.5177892918825562,0.5052453468697123,0.4965277777777778,0.5254237288135593,0.515212981744422,0.5337098482174374,0.6097560975609756,0.527208480565371,0.5368679775280899,0.4234354194407457,0.4234354194407457,0.4234354194407457,0.6755092373282805,0.4234354194407457,0.4234354194407457,0.46848989298454224,0.5945065176908753,0.5882081989866421,0.5287642045454546,0.6799809795530195,0.46960089518836257,0.5060606060606061,0.5060606060606061,0.565584704313028,0.5066303978238694,0.5070133424563804,0.5992860330209728,0.6486725663716815,0.5350970017636685,0.5924882629107981,0.38880652335063015,0.5555555555555556,0.38880652335063015,0.38880652335063015,0.5622119815668203,0.3754702784048156,0.5507826720058245,0.5182043124779074,0.5182043124779074,0.41065573770491803,0.38319023949389963,0.38319023949389963,0.5328525641025641,0.501710863986313,0.5537459283387622,0.5537459283387622,0.62320230105465,0.6190246257846451,0.5101174934725848,0.434257602862254,0.3656143344709898,0.4774193548387097,0.6027000964320155,0.643126177024482,0.5760715967969854,0.5933908045977012,0.5881252921926134,0.6390176088971269,0.6033914272256241
Faecalibacterium prausnitzii_H,0.5069278547539418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31532779316712833,0.31532779316712833,0.5552353506243997,0.6103896103896104,0.6103896103896104,0.2009411764705883,0.4722624216111915,0.4722624216111915,0.291077738515901,0.4661134163208852,0.4661134163208852,0.5258460394198587,0.34976425203600514,0.29978494623655916,0.4835876098012021,0.35642661804922515,0.3281703775411423,0.3281703775411423,0.5,0.4005624748895139,0.4043737574552684,0.38807298620382735,0.3596230158730159,0.30750721847930707,0.30750721847930707,0.410610789121712,0.5043436293436294,0.40463814474210313,0.35218165627782727,0.5143832276938078,0.34650967199327165,0.4494760479041916,0.45802583025830257,0.5165925419089976,0.49874776386404296,0.5945217781769196,0.5158813263525306,0.49874776386404296,0.5177892918825562,0.49230205278592376,0.5052453468697123,0.5032769920662297,0.5339398180545836,0.5165975103734439,0.6034635879218473,0.6050788091068301,0.6058073031236252,0.5177892918825562,0.5052453468697123,0.4965277777777778,0.5254237288135593,0.515212981744422,0.5337098482174374,0.6097560975609756,0.527208480565371,0.5368679775280899,0.4234354194407457,0.4234354194407457,0.4234354194407457,0.6755092373282805,0.4234354194407457,0.4234354194407457,0.46848989298454224,0.5945065176908753,0.5882081989866421,0.5287642045454546,0.6799809795530195,0.46960089518836257,0.5060606060606061,0.5060606060606061,0.565584704313028,0.5066303978238694,0.5070133424563804,0.5992860330209728,0.6486725663716815,0.5350970017636685,0.5924882629107981,0.38880652335063015,0.5555555555555556,0.38880652335063015,0.38880652335063015,0.5622119815668203,0.3754702784048156,0.5507826720058245,0.5182043124779074,0.5182043124779074,0.41065573770491803,0.38319023949389963,0.38319023949389963,0.5328525641025641,0.501710863986313,0.5537459283387622,0.5537459283387622,0.62320230105465,0.6190246257846451,0.5101174934725848,0.434257602862254,0.3656143344709898,0.4774193548387097,0.6027000964320155,0.643126177024482,0.5760715967969854,0.5933908045977012,0.5881252921926134,0.6390176088971269,0.6033914272256241
Faecalibacterium prausnitzii_E,0.5069278547539418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31532779316712833,0.31532779316712833,0.5552353506243997,0.6103896103896104,0.6103896103896104,0.2009411764705883,0.4722624216111915,0.4722624216111915,0.291077738515901,0.4661134163208852,0.4661134163208852,0.5258460394198587,0.34976425203600514,0.29978494623655916,0.4835876098012021,0.35642661804922515,0.3281703775411423,0.3281703775411423,0.5,0.4005624748895139,0.4043737574552684,0.38807298620382735,0.3596230158730159,0.30750721847930707,0.30750721847930707,0.410610789121712,0.5043436293436294,0.40463814474210313,0.35218165627782727,0.5143832276938078,0.34650967199327165,0.4494760479041916,0.45802583025830257,0.5165925419089976,0.49874776386404296,0.5945217781769196,0.5158813263525306,0.49874776386404296,0.5177892918825562,0.49230205278592376,0.5052453468697123,0.5032769920662297,0.5339398180545836,0.5165975103734439,0.6034635879218473,0.6050788091068301,0.6058073031236252,0.5177892918825562,0.5052453468697123,0.4965277777777778,0.5254237288135593,0.515212981744422,0.5337098482174374,0.6097560975609756,0.527208480565371,0.5368679775280899,0.4234354194407457,0.4234354194407457,0.4234354194407457,0.6755092373282805,0.4234354194407457,0.4234354194407457,0.46848989298454224,0.5945065176908753,0.5882081989866421,0.5287642045454546,0.6799809795530195,0.46960089518836257,0.5060606060606061,0.5060606060606061,0.565584704313028,0.5066303978238694,0.5070133424563804,0.5992860330209728,0.6486725663716815,0.5350970017636685,0.5924882629107981,0.38880652335063015,0.5555555555555556,0.38880652335063015,0.38880652335063015,0.5622119815668203,0.3754702784048156,0.5507826720058245,0.5182043124779074,0.5182043124779074,0.41065573770491803,0.38319023949389963,0.38319023949389963,0.5328525641025641,0.501710863986313,0.5537459283387622,0.5537459283387622,0.62320230105465,0.6190246257846451,0.5101174934725848,0.434257602862254,0.3656143344709898,0.4774193548387097,0.6027000964320155,0.643126177024482,0.5760715967969854,0.5933908045977012,0.5881252921926134,0.6390176088971269,0.6033914272256241
