,Flavonifractor plautii,Faecalibacterium prausnitzii_C,Faecalibacterium prausnitzii,Faecalibacterium sp900539885,Faecalibacterium prausnitzii_G,Faecalibacterium prausnitzii_J,Faecalibacterium prausnitzii_A,Faecalibacterium sp900758465,Faecalibacterium prausnitzii_H,Faecalibacterium prausnitzii_E,Faecalibacterium prausnitzii_F,Gemmiger formicilis,Gemmiger sp900540775,Anaerotruncus colihominis,Ruminococcus_E bromii_B,Ruminococcus_E bromii,Blautia_A obeum,Blautia_A wexlerae,Blautia_A wexlerae_B,Agathobacter sp900317585,Mediterraneibacter faecis,Mediterraneibacter torques,Mediterraneibacter lactaris,Enterocloster bolteae,Enterocloster citroniae,Enterocloster asparagiformis,Enterocloster clostridioformis,Coprococcus eutactus,Dorea_A longicatena_B,Dorea_A longicatena,Lachnospira eligens_A,Roseburia inulinivorans,Roseburia intestinalis,Anaerostipes hadrus,Eubacterium_G ventriosum,Bariatricus comes,Bariatricus comes_A,Anaerobutyricum hallii,Anaerobutyricum soehngenii,Dorea formicigenerans,Coprococcus_A catus,Eubacterium_I ramulus,Clostridium_Q symbiosum,Bacteroides_F pectinophilus,Ruminococcus_B gnavus,Hungatella effluvii,Bacteroides uniformis,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides timonensis,Bacteroides stercoris,Bacteroides sp900552405,Bacteroides intestinalis_A,Bacteroides xylanisolvens,Bacteroides eggerthii,Bacteroides fragilis,Bacteroides fluxus,Bacteroides finegoldii,Bacteroides intestinalis,Bacteroides faecis,Bacteroides nordii,Bacteroides salyersiae,Bacteroides sp902362375,Bacteroides oleiciplenus,Bacteroides fragilis_A,Bacteroides clarus,Phocaeicola dorei,Phocaeicola vulgatus,Phocaeicola plebeius,Phocaeicola massiliensis,Phocaeicola coprocola,Phocaeicola coprophilus,Prevotella sp900313215,Prevotella sp900551275,Prevotella copri_A,Prevotella stercorea,Prevotella sp015074785,Prevotella copri,Paraprevotella clara,Paraprevotella xylaniphila,Alistipes onderdonkii,Alistipes finegoldii,Alistipes shahii,Alistipes putredinis,Alistipes_A indistinctus,Parabacteroides distasonis,Parabacteroides goldsteinii,Parabacteroides distasonis_A,Parabacteroides gordonii,Parabacteroides merdae,Parabacteroides johnsonii,Parabacteroides timonensis,Butyricimonas virosa,Odoribacter splanchnicus,Barnesiella intestinihominis,Parasutterella excrementihominis,Escherichia coli,Escherichia fergusonii,Escherichia ruysiae,Escherichia sp005843885,Escherichia coli_E,Escherichia albertii,Hafnia alvei,Klebsiella pneumoniae,Akkermansia muciniphila,Akkermansia muciniphila_B,Erysipelatoclostridium ramosum,Catenibacterium sp000437715,Catenibacterium mitsuokai,Holdemania filiformis,Holdemanella biformis,Streptococcus salivarius,Streptococcus sp001556435,Streptococcus thermophilus,Adlercreutzia celatus_A,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Bifidobacterium catenulatum,Bifidobacterium ruminantium,Bifidobacterium bifidum,Desulfovibrio sp900556755,Bilophila wadsworthia,Dialister invisus,Veillonella parvula_A,Phascolarctobacterium_A succinatutens,Acidaminococcus fermentans,Mitsuokella multacida,Ligilactobacillus ruminis,Sutterella wadsworthensis,Acidaminococcus intestini,Phascolarctobacterium_A succinatutens_A,Megasphaera elsdenii
Flavonifractor plautii,0.0,0.4805592260791842,0.4805592260791842,0.4805592260791842,0.4805592260791842,0.4805592260791842,0.4805592260791842,0.4805592260791842,0.4805592260791842,0.4805592260791842,0.4805592260791842,0.5262356741056791,0.5262356741056791,0.2264417405956662,0.31712298895634966,0.31712298895634966,0.480028724136925,0.22955905624534678,0.22955905624534678,0.5321301394543003,0.9304317633377955,0.9304317633377955,0.841247295172371,0.5307877379427784,0.5294672614147931,0.530732151989691,0.23385349707160105,0.5260674556718452,0.47387111880880955,0.47387111880880955,0.23022405731859255,0.7507472554464135,0.7516755412115463,0.49012498888942396,0.4290782959740555,0.4748379787180611,0.4748379787180611,0.49008668184208304,0.22784686773547305,0.6523077774800322,0.4892925042309325,0.2266903370870036,0.49585916704746164,0.22070750005957235,0.8356107874940052,0.23704307348582934,0.8684554547699572,0.8686777856941003,0.7571823953532995,0.23428891480805814,0.8673429452795091,0.7571823953532995,0.8680878663285314,0.8680785973815249,0.755313362404895,0.8700013296287143,0.8674913623116225,0.8663992846872566,0.8680878663285314,0.23496335917730246,0.23700912693958,0.2364539768084659,0.8680785973815249,0.23743875791871502,0.8700013296287143,0.8673089294659259,0.8673645910117661,0.8695264430875497,0.8660989541867171,0.23487202259108078,0.8659193253614118,0.8660772768225998,0.5270759609615171,0.5270759609615171,0.5270759609615171,0.2195133580771323,0.5270759609615171,0.5270759609615171,0.7161353289041436,0.7156857633813828,0.22706862744123604,0.22790571704495854,0.8643723559255522,0.2191832166471291,0.7530800703634526,0.8701153871298156,0.23928410632352556,0.8701153871298156,0.23725795548783687,0.8693012438992547,0.8689031464680625,0.23928410632352556,0.23333682000152128,0.23680534546961554,0.8659874648191908,0.2268677392300434,0.4980234288493151,0.26258469033827797,0.4980234288493151,0.4980234288493151,0.4980234288493151,0.26606506972715016,0.5420724102691772,0.2775895218988253,0.8665292924049586,0.8665292924049586,0.6802800012065809,0.5253583079808822,0.5253583079808822,0.721716405659372,0.6839132620479704,0.2304103792973493,0.2304103792973493,0.2226794921285527,0.22069534756664907,0.9894710778213066,0.5248730875090044,0.5308079495734216,0.22823499276245043,0.832852298899211,0.22499208029656845,0.3282768232614076,0.22105963174453028,0.22744628862101574,0.22453863517634845,0.22722212799992497,0.5280723823871122,0.526485353837675,0.22678496883276061,0.2256586544211759,0.22453863517634845,0.23312982854783804
Faecalibacterium prausnitzii_C,0.4805592260791842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3496640624617382,0.3496640624617382,0.47894355812558387,0.524382303356008,0.524382303356008,0.2782072032620174,0.4805480636521807,0.4805480636521807,0.35764983048144844,0.8437622213459772,0.8437622213459772,0.790177898813102,0.3577098187124106,0.35698178152393284,0.3575373254202659,0.48221397826018203,0.3520110070534078,0.26315605962821287,0.26315605962821287,0.4801404574665274,0.6405242109489269,0.6414614823103083,0.3964933757211016,0.3194823167557166,0.26554036565057965,0.26554036565057965,0.39712197430267054,0.4799113761434497,0.5871846241772168,0.398988384084168,0.47945288513405215,0.404529320283768,0.4755491439386678,0.7378576386806014,0.48312528458628357,0.7750854257896183,0.7748223940057706,0.6477318888056837,0.48330290010096677,0.7738525580870315,0.6477318888056837,0.7746666094060325,0.7746008242791758,0.6455377348228701,0.7765546850601514,0.7747739310425228,0.7733290346065793,0.7746666094060325,0.4837411091685218,0.4848155369066891,0.4844115215830721,0.7746008242791758,0.48431738744105735,0.7765546850601514,0.7743965085277915,0.7745211821760525,0.7765685001780586,0.7729786653733405,0.4837189309089146,0.7727912740794353,0.7732527300798474,0.35380458914849083,0.35380458914849083,0.35380458914849083,0.476349343327205,0.35380458914849083,0.35380458914849083,0.60104831096194,0.6006376368259375,0.4795535670527794,0.4801963143819279,0.7718154109327849,0.4761860315924631,0.644539814351709,0.7769448675883311,0.48557837352342254,0.7769448675883311,0.4849593514879944,0.776074456953943,0.7758636155230175,0.48557837352342254,0.4840514981059246,0.48436168813974967,0.7730966291814643,0.47993931874437024,0.30605342618179404,0.49598355706574687,0.30605342618179404,0.30605342618179404,0.30605342618179404,0.4978133526016819,0.3748802934088627,0.5028842960180832,0.7731833557936275,0.7731833557936275,0.5546618854392177,0.35107258402494873,0.35107258402494873,0.6615713729639064,0.6204151444648242,0.4801404574665274,0.4801404574665274,0.47636623444909043,0.47759205702074436,0.9086760197156722,0.3499630812407913,0.3582642336766843,0.4797828192185618,0.7343451907628716,0.4778783781710505,0.5326842791595086,0.47780541064184917,0.47971014136928947,0.47873071173748016,0.47993931874437024,0.35480382528965354,0.3522851945599052,0.48004548579428424,0.4788651520420389,0.47873071173748016,0.48223066396119785
Faecalibacterium prausnitzii,0.4805592260791842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3496640624617382,0.3496640624617382,0.47894355812558387,0.524382303356008,0.524382303356008,0.2782072032620174,0.4805480636521807,0.4805480636521807,0.35764983048144844,0.8437622213459772,0.8437622213459772,0.790177898813102,0.3577098187124106,0.35698178152393284,0.3575373254202659,0.48221397826018203,0.3520110070534078,0.26315605962821287,0.26315605962821287,0.4801404574665274,0.6405242109489269,0.6414614823103083,0.3964933757211016,0.3194823167557166,0.26554036565057965,0.26554036565057965,0.39712197430267054,0.4799113761434497,0.5871846241772168,0.398988384084168,0.47945288513405215,0.404529320283768,0.4755491439386678,0.7378576386806014,0.48312528458628357,0.7750854257896183,0.7748223940057706,0.6477318888056837,0.48330290010096677,0.7738525580870315,0.6477318888056837,0.7746666094060325,0.7746008242791758,0.6455377348228701,0.7765546850601514,0.7747739310425228,0.7733290346065793,0.7746666094060325,0.4837411091685218,0.4848155369066891,0.4844115215830721,0.7746008242791758,0.48431738744105735,0.7765546850601514,0.7743965085277915,0.7745211821760525,0.7765685001780586,0.7729786653733405,0.4837189309089146,0.7727912740794353,0.7732527300798474,0.35380458914849083,0.35380458914849083,0.35380458914849083,0.476349343327205,0.35380458914849083,0.35380458914849083,0.60104831096194,0.6006376368259375,0.4795535670527794,0.4801963143819279,0.7718154109327849,0.4761860315924631,0.644539814351709,0.7769448675883311,0.48557837352342254,0.7769448675883311,0.4849593514879944,0.776074456953943,0.7758636155230175,0.48557837352342254,0.4840514981059246,0.48436168813974967,0.7730966291814643,0.47993931874437024,0.30605342618179404,0.49598355706574687,0.30605342618179404,0.30605342618179404,0.30605342618179404,0.4978133526016819,0.3748802934088627,0.5028842960180832,0.7731833557936275,0.7731833557936275,0.5546618854392177,0.35107258402494873,0.35107258402494873,0.6615713729639064,0.6204151444648242,0.4801404574665274,0.4801404574665274,0.47636623444909043,0.47759205702074436,0.9086760197156722,0.3499630812407913,0.3582642336766843,0.4797828192185618,0.7343451907628716,0.4778783781710505,0.5326842791595086,0.47780541064184917,0.47971014136928947,0.47873071173748016,0.47993931874437024,0.35480382528965354,0.3522851945599052,0.48004548579428424,0.4788651520420389,0.47873071173748016,0.48223066396119785
Faecalibacterium sp900539885,0.4805592260791842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3496640624617382,0.3496640624617382,0.47894355812558387,0.524382303356008,0.524382303356008,0.2782072032620174,0.4805480636521807,0.4805480636521807,0.35764983048144844,0.8437622213459772,0.8437622213459772,0.790177898813102,0.3577098187124106,0.35698178152393284,0.3575373254202659,0.48221397826018203,0.3520110070534078,0.26315605962821287,0.26315605962821287,0.4801404574665274,0.6405242109489269,0.6414614823103083,0.3964933757211016,0.3194823167557166,0.26554036565057965,0.26554036565057965,0.39712197430267054,0.4799113761434497,0.5871846241772168,0.398988384084168,0.47945288513405215,0.404529320283768,0.4755491439386678,0.7378576386806014,0.48312528458628357,0.7750854257896183,0.7748223940057706,0.6477318888056837,0.48330290010096677,0.7738525580870315,0.6477318888056837,0.7746666094060325,0.7746008242791758,0.6455377348228701,0.7765546850601514,0.7747739310425228,0.7733290346065793,0.7746666094060325,0.4837411091685218,0.4848155369066891,0.4844115215830721,0.7746008242791758,0.48431738744105735,0.7765546850601514,0.7743965085277915,0.7745211821760525,0.7765685001780586,0.7729786653733405,0.4837189309089146,0.7727912740794353,0.7732527300798474,0.35380458914849083,0.35380458914849083,0.35380458914849083,0.476349343327205,0.35380458914849083,0.35380458914849083,0.60104831096194,0.6006376368259375,0.4795535670527794,0.4801963143819279,0.7718154109327849,0.4761860315924631,0.644539814351709,0.7769448675883311,0.48557837352342254,0.7769448675883311,0.4849593514879944,0.776074456953943,0.7758636155230175,0.48557837352342254,0.4840514981059246,0.48436168813974967,0.7730966291814643,0.47993931874437024,0.30605342618179404,0.49598355706574687,0.30605342618179404,0.30605342618179404,0.30605342618179404,0.4978133526016819,0.3748802934088627,0.5028842960180832,0.7731833557936275,0.7731833557936275,0.5546618854392177,0.35107258402494873,0.35107258402494873,0.6615713729639064,0.6204151444648242,0.4801404574665274,0.4801404574665274,0.47636623444909043,0.47759205702074436,0.9086760197156722,0.3499630812407913,0.3582642336766843,0.4797828192185618,0.7343451907628716,0.4778783781710505,0.5326842791595086,0.47780541064184917,0.47971014136928947,0.47873071173748016,0.47993931874437024,0.35480382528965354,0.3522851945599052,0.48004548579428424,0.4788651520420389,0.47873071173748016,0.48223066396119785
Faecalibacterium prausnitzii_G,0.4805592260791842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3496640624617382,0.3496640624617382,0.47894355812558387,0.524382303356008,0.524382303356008,0.2782072032620174,0.4805480636521807,0.4805480636521807,0.35764983048144844,0.8437622213459772,0.8437622213459772,0.790177898813102,0.3577098187124106,0.35698178152393284,0.3575373254202659,0.48221397826018203,0.3520110070534078,0.26315605962821287,0.26315605962821287,0.4801404574665274,0.6405242109489269,0.6414614823103083,0.3964933757211016,0.3194823167557166,0.26554036565057965,0.26554036565057965,0.39712197430267054,0.4799113761434497,0.5871846241772168,0.398988384084168,0.47945288513405215,0.404529320283768,0.4755491439386678,0.7378576386806014,0.48312528458628357,0.7750854257896183,0.7748223940057706,0.6477318888056837,0.48330290010096677,0.7738525580870315,0.6477318888056837,0.7746666094060325,0.7746008242791758,0.6455377348228701,0.7765546850601514,0.7747739310425228,0.7733290346065793,0.7746666094060325,0.4837411091685218,0.4848155369066891,0.4844115215830721,0.7746008242791758,0.48431738744105735,0.7765546850601514,0.7743965085277915,0.7745211821760525,0.7765685001780586,0.7729786653733405,0.4837189309089146,0.7727912740794353,0.7732527300798474,0.35380458914849083,0.35380458914849083,0.35380458914849083,0.476349343327205,0.35380458914849083,0.35380458914849083,0.60104831096194,0.6006376368259375,0.4795535670527794,0.4801963143819279,0.7718154109327849,0.4761860315924631,0.644539814351709,0.7769448675883311,0.48557837352342254,0.7769448675883311,0.4849593514879944,0.776074456953943,0.7758636155230175,0.48557837352342254,0.4840514981059246,0.48436168813974967,0.7730966291814643,0.47993931874437024,0.30605342618179404,0.49598355706574687,0.30605342618179404,0.30605342618179404,0.30605342618179404,0.4978133526016819,0.3748802934088627,0.5028842960180832,0.7731833557936275,0.7731833557936275,0.5546618854392177,0.35107258402494873,0.35107258402494873,0.6615713729639064,0.6204151444648242,0.4801404574665274,0.4801404574665274,0.47636623444909043,0.47759205702074436,0.9086760197156722,0.3499630812407913,0.3582642336766843,0.4797828192185618,0.7343451907628716,0.4778783781710505,0.5326842791595086,0.47780541064184917,0.47971014136928947,0.47873071173748016,0.47993931874437024,0.35480382528965354,0.3522851945599052,0.48004548579428424,0.4788651520420389,0.47873071173748016,0.48223066396119785
Faecalibacterium prausnitzii_J,0.4805592260791842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3496640624617382,0.3496640624617382,0.47894355812558387,0.524382303356008,0.524382303356008,0.2782072032620174,0.4805480636521807,0.4805480636521807,0.35764983048144844,0.8437622213459772,0.8437622213459772,0.790177898813102,0.3577098187124106,0.35698178152393284,0.3575373254202659,0.48221397826018203,0.3520110070534078,0.26315605962821287,0.26315605962821287,0.4801404574665274,0.6405242109489269,0.6414614823103083,0.3964933757211016,0.3194823167557166,0.26554036565057965,0.26554036565057965,0.39712197430267054,0.4799113761434497,0.5871846241772168,0.398988384084168,0.47945288513405215,0.404529320283768,0.4755491439386678,0.7378576386806014,0.48312528458628357,0.7750854257896183,0.7748223940057706,0.6477318888056837,0.48330290010096677,0.7738525580870315,0.6477318888056837,0.7746666094060325,0.7746008242791758,0.6455377348228701,0.7765546850601514,0.7747739310425228,0.7733290346065793,0.7746666094060325,0.4837411091685218,0.4848155369066891,0.4844115215830721,0.7746008242791758,0.48431738744105735,0.7765546850601514,0.7743965085277915,0.7745211821760525,0.7765685001780586,0.7729786653733405,0.4837189309089146,0.7727912740794353,0.7732527300798474,0.35380458914849083,0.35380458914849083,0.35380458914849083,0.476349343327205,0.35380458914849083,0.35380458914849083,0.60104831096194,0.6006376368259375,0.4795535670527794,0.4801963143819279,0.7718154109327849,0.4761860315924631,0.644539814351709,0.7769448675883311,0.48557837352342254,0.7769448675883311,0.4849593514879944,0.776074456953943,0.7758636155230175,0.48557837352342254,0.4840514981059246,0.48436168813974967,0.7730966291814643,0.47993931874437024,0.30605342618179404,0.49598355706574687,0.30605342618179404,0.30605342618179404,0.30605342618179404,0.4978133526016819,0.3748802934088627,0.5028842960180832,0.7731833557936275,0.7731833557936275,0.5546618854392177,0.35107258402494873,0.35107258402494873,0.6615713729639064,0.6204151444648242,0.4801404574665274,0.4801404574665274,0.47636623444909043,0.47759205702074436,0.9086760197156722,0.3499630812407913,0.3582642336766843,0.4797828192185618,0.7343451907628716,0.4778783781710505,0.5326842791595086,0.47780541064184917,0.47971014136928947,0.47873071173748016,0.47993931874437024,0.35480382528965354,0.3522851945599052,0.48004548579428424,0.4788651520420389,0.47873071173748016,0.48223066396119785
Faecalibacterium prausnitzii_A,0.4805592260791842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3496640624617382,0.3496640624617382,0.47894355812558387,0.524382303356008,0.524382303356008,0.2782072032620174,0.4805480636521807,0.4805480636521807,0.35764983048144844,0.8437622213459772,0.8437622213459772,0.790177898813102,0.3577098187124106,0.35698178152393284,0.3575373254202659,0.48221397826018203,0.3520110070534078,0.26315605962821287,0.26315605962821287,0.4801404574665274,0.6405242109489269,0.6414614823103083,0.3964933757211016,0.3194823167557166,0.26554036565057965,0.26554036565057965,0.39712197430267054,0.4799113761434497,0.5871846241772168,0.398988384084168,0.47945288513405215,0.404529320283768,0.4755491439386678,0.7378576386806014,0.48312528458628357,0.7750854257896183,0.7748223940057706,0.6477318888056837,0.48330290010096677,0.7738525580870315,0.6477318888056837,0.7746666094060325,0.7746008242791758,0.6455377348228701,0.7765546850601514,0.7747739310425228,0.7733290346065793,0.7746666094060325,0.4837411091685218,0.4848155369066891,0.4844115215830721,0.7746008242791758,0.48431738744105735,0.7765546850601514,0.7743965085277915,0.7745211821760525,0.7765685001780586,0.7729786653733405,0.4837189309089146,0.7727912740794353,0.7732527300798474,0.35380458914849083,0.35380458914849083,0.35380458914849083,0.476349343327205,0.35380458914849083,0.35380458914849083,0.60104831096194,0.6006376368259375,0.4795535670527794,0.4801963143819279,0.7718154109327849,0.4761860315924631,0.644539814351709,0.7769448675883311,0.48557837352342254,0.7769448675883311,0.4849593514879944,0.776074456953943,0.7758636155230175,0.48557837352342254,0.4840514981059246,0.48436168813974967,0.7730966291814643,0.47993931874437024,0.30605342618179404,0.49598355706574687,0.30605342618179404,0.30605342618179404,0.30605342618179404,0.4978133526016819,0.3748802934088627,0.5028842960180832,0.7731833557936275,0.7731833557936275,0.5546618854392177,0.35107258402494873,0.35107258402494873,0.6615713729639064,0.6204151444648242,0.4801404574665274,0.4801404574665274,0.47636623444909043,0.47759205702074436,0.9086760197156722,0.3499630812407913,0.3582642336766843,0.4797828192185618,0.7343451907628716,0.4778783781710505,0.5326842791595086,0.47780541064184917,0.47971014136928947,0.47873071173748016,0.47993931874437024,0.35480382528965354,0.3522851945599052,0.48004548579428424,0.4788651520420389,0.47873071173748016,0.48223066396119785
Faecalibacterium sp900758465,0.4805592260791842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3496640624617382,0.3496640624617382,0.47894355812558387,0.524382303356008,0.524382303356008,0.2782072032620174,0.4805480636521807,0.4805480636521807,0.35764983048144844,0.8437622213459772,0.8437622213459772,0.790177898813102,0.3577098187124106,0.35698178152393284,0.3575373254202659,0.48221397826018203,0.3520110070534078,0.26315605962821287,0.26315605962821287,0.4801404574665274,0.6405242109489269,0.6414614823103083,0.3964933757211016,0.3194823167557166,0.26554036565057965,0.26554036565057965,0.39712197430267054,0.4799113761434497,0.5871846241772168,0.398988384084168,0.47945288513405215,0.404529320283768,0.4755491439386678,0.7378576386806014,0.48312528458628357,0.7750854257896183,0.7748223940057706,0.6477318888056837,0.48330290010096677,0.7738525580870315,0.6477318888056837,0.7746666094060325,0.7746008242791758,0.6455377348228701,0.7765546850601514,0.7747739310425228,0.7733290346065793,0.7746666094060325,0.4837411091685218,0.4848155369066891,0.4844115215830721,0.7746008242791758,0.48431738744105735,0.7765546850601514,0.7743965085277915,0.7745211821760525,0.7765685001780586,0.7729786653733405,0.4837189309089146,0.7727912740794353,0.7732527300798474,0.35380458914849083,0.35380458914849083,0.35380458914849083,0.476349343327205,0.35380458914849083,0.35380458914849083,0.60104831096194,0.6006376368259375,0.4795535670527794,0.4801963143819279,0.7718154109327849,0.4761860315924631,0.644539814351709,0.7769448675883311,0.48557837352342254,0.7769448675883311,0.4849593514879944,0.776074456953943,0.7758636155230175,0.48557837352342254,0.4840514981059246,0.48436168813974967,0.7730966291814643,0.47993931874437024,0.30605342618179404,0.49598355706574687,0.30605342618179404,0.30605342618179404,0.30605342618179404,0.4978133526016819,0.3748802934088627,0.5028842960180832,0.7731833557936275,0.7731833557936275,0.5546618854392177,0.35107258402494873,0.35107258402494873,0.6615713729639064,0.6204151444648242,0.4801404574665274,0.4801404574665274,0.47636623444909043,0.47759205702074436,0.9086760197156722,0.3499630812407913,0.3582642336766843,0.4797828192185618,0.7343451907628716,0.4778783781710505,0.5326842791595086,0.47780541064184917,0.47971014136928947,0.47873071173748016,0.47993931874437024,0.35480382528965354,0.3522851945599052,0.48004548579428424,0.4788651520420389,0.47873071173748016,0.48223066396119785
Faecalibacterium prausnitzii_H,0.4805592260791842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3496640624617382,0.3496640624617382,0.47894355812558387,0.524382303356008,0.524382303356008,0.2782072032620174,0.4805480636521807,0.4805480636521807,0.35764983048144844,0.8437622213459772,0.8437622213459772,0.790177898813102,0.3577098187124106,0.35698178152393284,0.3575373254202659,0.48221397826018203,0.3520110070534078,0.26315605962821287,0.26315605962821287,0.4801404574665274,0.6405242109489269,0.6414614823103083,0.3964933757211016,0.3194823167557166,0.26554036565057965,0.26554036565057965,0.39712197430267054,0.4799113761434497,0.5871846241772168,0.398988384084168,0.47945288513405215,0.404529320283768,0.4755491439386678,0.7378576386806014,0.48312528458628357,0.7750854257896183,0.7748223940057706,0.6477318888056837,0.48330290010096677,0.7738525580870315,0.6477318888056837,0.7746666094060325,0.7746008242791758,0.6455377348228701,0.7765546850601514,0.7747739310425228,0.7733290346065793,0.7746666094060325,0.4837411091685218,0.4848155369066891,0.4844115215830721,0.7746008242791758,0.48431738744105735,0.7765546850601514,0.7743965085277915,0.7745211821760525,0.7765685001780586,0.7729786653733405,0.4837189309089146,0.7727912740794353,0.7732527300798474,0.35380458914849083,0.35380458914849083,0.35380458914849083,0.476349343327205,0.35380458914849083,0.35380458914849083,0.60104831096194,0.6006376368259375,0.4795535670527794,0.4801963143819279,0.7718154109327849,0.4761860315924631,0.644539814351709,0.7769448675883311,0.48557837352342254,0.7769448675883311,0.4849593514879944,0.776074456953943,0.7758636155230175,0.48557837352342254,0.4840514981059246,0.48436168813974967,0.7730966291814643,0.47993931874437024,0.30605342618179404,0.49598355706574687,0.30605342618179404,0.30605342618179404,0.30605342618179404,0.4978133526016819,0.3748802934088627,0.5028842960180832,0.7731833557936275,0.7731833557936275,0.5546618854392177,0.35107258402494873,0.35107258402494873,0.6615713729639064,0.6204151444648242,0.4801404574665274,0.4801404574665274,0.47636623444909043,0.47759205702074436,0.9086760197156722,0.3499630812407913,0.3582642336766843,0.4797828192185618,0.7343451907628716,0.4778783781710505,0.5326842791595086,0.47780541064184917,0.47971014136928947,0.47873071173748016,0.47993931874437024,0.35480382528965354,0.3522851945599052,0.48004548579428424,0.4788651520420389,0.47873071173748016,0.48223066396119785
Faecalibacterium prausnitzii_E,0.4805592260791842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3496640624617382,0.3496640624617382,0.47894355812558387,0.524382303356008,0.524382303356008,0.2782072032620174,0.4805480636521807,0.4805480636521807,0.35764983048144844,0.8437622213459772,0.8437622213459772,0.790177898813102,0.3577098187124106,0.35698178152393284,0.3575373254202659,0.48221397826018203,0.3520110070534078,0.26315605962821287,0.26315605962821287,0.4801404574665274,0.6405242109489269,0.6414614823103083,0.3964933757211016,0.3194823167557166,0.26554036565057965,0.26554036565057965,0.39712197430267054,0.4799113761434497,0.5871846241772168,0.398988384084168,0.47945288513405215,0.404529320283768,0.4755491439386678,0.7378576386806014,0.48312528458628357,0.7750854257896183,0.7748223940057706,0.6477318888056837,0.48330290010096677,0.7738525580870315,0.6477318888056837,0.7746666094060325,0.7746008242791758,0.6455377348228701,0.7765546850601514,0.7747739310425228,0.7733290346065793,0.7746666094060325,0.4837411091685218,0.4848155369066891,0.4844115215830721,0.7746008242791758,0.48431738744105735,0.7765546850601514,0.7743965085277915,0.7745211821760525,0.7765685001780586,0.7729786653733405,0.4837189309089146,0.7727912740794353,0.7732527300798474,0.35380458914849083,0.35380458914849083,0.35380458914849083,0.476349343327205,0.35380458914849083,0.35380458914849083,0.60104831096194,0.6006376368259375,0.4795535670527794,0.4801963143819279,0.7718154109327849,0.4761860315924631,0.644539814351709,0.7769448675883311,0.48557837352342254,0.7769448675883311,0.4849593514879944,0.776074456953943,0.7758636155230175,0.48557837352342254,0.4840514981059246,0.48436168813974967,0.7730966291814643,0.47993931874437024,0.30605342618179404,0.49598355706574687,0.30605342618179404,0.30605342618179404,0.30605342618179404,0.4978133526016819,0.3748802934088627,0.5028842960180832,0.7731833557936275,0.7731833557936275,0.5546618854392177,0.35107258402494873,0.35107258402494873,0.6615713729639064,0.6204151444648242,0.4801404574665274,0.4801404574665274,0.47636623444909043,0.47759205702074436,0.9086760197156722,0.3499630812407913,0.3582642336766843,0.4797828192185618,0.7343451907628716,0.4778783781710505,0.5326842791595086,0.47780541064184917,0.47971014136928947,0.47873071173748016,0.47993931874437024,0.35480382528965354,0.3522851945599052,0.48004548579428424,0.4788651520420389,0.47873071173748016,0.48223066396119785
